number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
69,-0.020794970337043583,2025-12-07 02:13:15.674592,2025-12-07 02:13:17.102404,0 days 00:00:01.427812,0.00022935365577139824,0.8675838879303823,48,extensive,48,COMPLETE
70,0.0021553623352481934,2025-12-07 02:13:17.103404,2025-12-07 02:13:18.572265,0 days 00:00:01.468861,0.0005127883725107987,0.7015614574850177,2,extensive,2,COMPLETE
71,0.0027454926692700443,2025-12-07 02:13:18.573272,2025-12-07 02:13:19.994988,0 days 00:00:01.421716,0.0003104617730487974,0.7149315543919139,3,extensive,3,COMPLETE
72,-0.012325070437505822,2025-12-07 02:13:19.995988,2025-12-07 02:13:21.473714,0 days 00:00:01.477726,0.00031358332711897815,0.7178700030256876,32,extensive,32,COMPLETE
73,0.00198663468875108,2025-12-07 02:13:21.474718,2025-12-07 02:13:22.900167,0 days 00:00:01.425449,0.0005186520975864009,0.8465510518034152,13,extensive,13,COMPLETE
74,-0.0004862300425264217,2025-12-07 02:13:22.901167,2025-12-07 02:13:24.332402,0 days 00:00:01.431235,0.0005466699928244087,0.916841274381806,59,extensive,59,COMPLETE
75,-0.000873239018719385,2025-12-07 02:13:24.333406,2025-12-07 02:13:25.749061,0 days 00:00:01.415655,0.00047345412238084504,0.9636734495441686,24,extensive,24,COMPLETE
76,-0.05306790463432479,2025-12-07 02:13:25.750061,2025-12-07 02:13:27.153049,0 days 00:00:01.402988,0.000154146386880438,0.854184270669152,38,extensive,38,COMPLETE
77,-0.10117761539542702,2025-12-07 02:13:27.154048,2025-12-07 02:13:28.604441,0 days 00:00:01.450393,0.00020032769838935346,0.6622635795342496,95,extensive,95,COMPLETE
78,0.0015883009542666156,2025-12-07 02:13:28.605441,2025-12-07 02:13:30.070886,0 days 00:00:01.465445,0.0006993467584168425,0.715022989095711,14,extensive,14,COMPLETE
79,0.0014928859078452799,2025-12-07 02:13:30.071891,2025-12-07 02:13:31.522049,0 days 00:00:01.450158,0.0006743944278471173,0.7592252588695143,16,extensive,16,COMPLETE
80,-0.011791408877407964,2025-12-07 02:13:31.523046,2025-12-07 02:13:33.046683,0 days 00:00:01.523637,0.0004177325922497103,0.7041304378766697,49,extensive,49,COMPLETE
81,0.00010069023678619764,2025-12-07 02:13:33.047683,2025-12-07 02:13:34.566701,0 days 00:00:01.519018,0.0006748002811695315,0.997098193259883,24,extensive,24,COMPLETE
82,0.00030734663967827797,2025-12-07 02:13:34.567204,2025-12-07 02:13:36.088926,0 days 00:00:01.521722,0.0003139623904501465,0.7617765863473083,15,extensive,15,COMPLETE
83,-0.00716114235035729,2025-12-07 02:13:36.089933,2025-12-07 02:13:37.634063,0 days 00:00:01.544130,0.0005224716976008759,0.6405900285993076,67,extensive,67,COMPLETE
84,-0.0015845992884657711,2025-12-07 02:13:37.634063,2025-12-07 02:13:39.173909,0 days 00:00:01.539846,0.0015390426683598924,0.6832879240009752,15,extensive,15,COMPLETE
85,-0.11184100582697047,2025-12-07 02:13:39.174916,2025-12-07 02:13:40.672079,0 days 00:00:01.497163,0.0001039421270219391,0.718529116777484,39,extensive,39,COMPLETE
86,-0.00018737520659739548,2025-12-07 02:13:40.672079,2025-12-07 02:13:42.095870,0 days 00:00:01.423791,0.0007806111655480456,0.822744140330133,79,extensive,79,COMPLETE
87,-0.001441574984037371,2025-12-07 02:13:42.096867,2025-12-07 02:13:43.675563,0 days 00:00:01.578696,0.001318813475006582,0.7539987988618737,455,extensive,455,COMPLETE
88,-0.0006225957874929448,2025-12-07 02:13:43.676569,2025-12-07 02:13:45.093333,0 days 00:00:01.416764,0.00058809706457494,0.7966201971316776,29,extensive,29,COMPLETE
89,0.0020698009540388584,2025-12-07 02:13:45.094340,2025-12-07 02:13:46.503838,0 days 00:00:01.409498,0.00039781819620102193,0.8764743625826608,11,extensive,11,COMPLETE
90,-0.029559519842551008,2025-12-07 02:13:46.504842,2025-12-07 02:13:47.904703,0 days 00:00:01.399861,0.00023291394246362283,0.8895240311459022,59,extensive,59,COMPLETE
91,0.001563671327660554,2025-12-07 02:13:47.905702,2025-12-07 02:13:49.346490,0 days 00:00:01.440788,0.00037636295363223805,0.8358612259668111,11,extensive,11,COMPLETE
92,0.0017399019266469324,2025-12-07 02:13:49.347496,2025-12-07 02:13:50.767947,0 days 00:00:01.420451,0.0003875392048991394,0.8429667530777527,10,extensive,10,COMPLETE
93,-0.002126020070931508,2025-12-07 02:13:50.768958,2025-12-07 02:13:52.222090,0 days 00:00:01.453132,0.00046082921271561157,0.9210975612093735,33,extensive,33,COMPLETE
94,0.0010363273576407723,2025-12-07 02:13:52.223099,2025-12-07 02:13:53.649055,0 days 00:00:01.425956,0.0003234886015955428,0.872876414715084,11,extensive,11,COMPLETE
