number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
82,-0.00021732139739068698,2025-12-07 02:06:07.464129,2025-12-07 02:06:08.865000,0 days 00:00:01.400871,0.0005130829800690132,76,extensive,76,COMPLETE
83,0.0002921899865839424,2025-12-07 02:06:08.866226,2025-12-07 02:06:10.310368,0 days 00:00:01.444142,0.000571972312103621,123,extensive,123,COMPLETE
84,-0.0012513711880986673,2025-12-07 02:06:10.312524,2025-12-07 02:06:11.793552,0 days 00:00:01.481028,0.0009090886163814056,166,extensive,166,COMPLETE
85,-0.00290905196848823,2025-12-07 02:06:11.795787,2025-12-07 02:06:13.313610,0 days 00:00:01.517823,0.0004014957925929708,127,extensive,127,COMPLETE
86,-0.0016559721242364045,2025-12-07 02:06:13.314614,2025-12-07 02:06:14.726037,0 days 00:00:01.411423,0.0016648916054394817,116,extensive,116,COMPLETE
87,-0.09717564021469653,2025-12-07 02:06:14.727042,2025-12-07 02:06:16.241688,0 days 00:00:01.514646,0.00018286532475073235,390,extensive,390,COMPLETE
88,-0.00022102999563074674,2025-12-07 02:06:16.241688,2025-12-07 02:06:17.796912,0 days 00:00:01.555224,0.000644139865713973,53,extensive,53,COMPLETE
89,-0.0016559721242364045,2025-12-07 02:06:17.797953,2025-12-07 02:06:19.445433,0 days 00:00:01.647480,0.002208534856699555,483,extensive,483,COMPLETE
90,-0.019248237772611903,2025-12-07 02:06:19.446434,2025-12-07 02:06:21.077516,0 days 00:00:01.631082,0.0002981125439327769,287,extensive,287,COMPLETE
91,0.0002412054000000182,2025-12-07 02:06:21.078784,2025-12-07 02:06:22.580115,0 days 00:00:01.501331,0.0005608678722445409,97,extensive,97,COMPLETE
92,-0.0012836287006915044,2025-12-07 02:06:22.582211,2025-12-07 02:06:24.080427,0 days 00:00:01.498216,0.0009244755921268204,179,extensive,179,COMPLETE
93,-0.0025929512882794845,2025-12-07 02:06:24.081549,2025-12-07 02:06:25.564510,0 days 00:00:01.482961,0.00041437560986184985,89,extensive,89,COMPLETE
94,8.96142723189423e-05,2025-12-07 02:06:25.565515,2025-12-07 02:06:27.078552,0 days 00:00:01.513037,0.0005952907029504683,101,extensive,101,COMPLETE
95,-0.022583860318312943,2025-12-07 02:06:27.079556,2025-12-07 02:06:28.562185,0 days 00:00:01.482629,0.00023856968374722437,131,extensive,131,COMPLETE
96,-0.0016559721242364045,2025-12-07 02:06:28.563284,2025-12-07 02:06:30.078251,0 days 00:00:01.514967,0.0011657605854920336,95,extensive,95,COMPLETE
97,-0.0016559721242364045,2025-12-07 02:06:30.079323,2025-12-07 02:06:31.597531,0 days 00:00:01.518208,0.09376513089390097,59,extensive,59,COMPLETE
