number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
77,-0.001130630223183086,2025-12-07 02:44:20.930267,2025-12-07 02:44:25.569235,0 days 00:00:04.638968,396,0.8191029988252957,0.001289667434858015,3,7,431,0.7527735845003002,6.027981536723063,0.7279593320931422,extensive,396,COMPLETE
78,0.0011404929390343617,2025-12-07 02:44:25.570919,2025-12-07 02:44:37.047301,0 days 00:00:11.476382,442,0.7275620606032565,0.0015533446635314645,4,8,754,0.1710038844651277,12.968532344944686,0.7364483871969512,extensive,442,COMPLETE
79,-0.00041997613323637345,2025-12-07 02:44:37.048308,2025-12-07 02:44:43.738437,0 days 00:00:06.690129,415,0.7813154637857159,0.002109739359021231,3,6,600,0.4624407750609896,3.866336672293358,0.8314716168210197,extensive,415,COMPLETE
80,-0.0014614598263708405,2025-12-07 02:44:43.739440,2025-12-07 02:44:52.229475,0 days 00:00:08.490035,430,0.7620994674978178,0.0016295375495790048,4,19,895,0.973681320017348,8.158804266000473,0.6775596035066832,extensive,430,COMPLETE
81,-0.0016559721404409238,2025-12-07 02:44:52.230478,2025-12-07 02:44:54.630685,0 days 00:00:02.400207,457,0.6137539558824535,0.002386291121842929,5,8,320,4.959631110905055,6.929475428744278,0.6592954342252887,extensive,457,COMPLETE
82,0.0010940212309566248,2025-12-07 02:44:54.631685,2025-12-07 02:45:06.947714,0 days 00:00:12.316029,490,0.6600723797879892,0.0018763117629786367,5,9,556,0.15344859345990558,11.734651265625917,0.6346660427157653,extensive,490,COMPLETE
83,0.00021924826973107603,2025-12-07 02:45:06.947714,2025-12-07 02:45:15.376835,0 days 00:00:08.429121,474,0.7022596395558317,0.0026722949715876514,6,12,289,0.285144747642621,14.704590935434064,0.6018049122794442,extensive,474,COMPLETE
84,-0.0016559721404409238,2025-12-07 02:45:15.377839,2025-12-07 02:45:18.289913,0 days 00:00:02.912074,456,0.724825330877453,0.0012843241559068199,4,10,413,4.066807173206135,10.940906203607547,0.7614798641634719,extensive,456,COMPLETE
85,-0.0018903535927137227,2025-12-07 02:45:18.290913,2025-12-07 02:45:30.085868,0 days 00:00:11.794955,489,0.6773162484370919,0.0038701555965712214,5,5,510,0.0933435790322923,8.421541107579984,0.7115696042803685,extensive,489,COMPLETE
86,-0.0008317564123152543,2025-12-07 02:45:30.087121,2025-12-07 02:45:36.938145,0 days 00:00:06.851024,442,0.7451769258713233,0.002870414209674541,7,11,276,0.6271399770917431,17.60791863769453,0.7896769686659036,extensive,442,COMPLETE
87,-0.00391807784808007,2025-12-07 02:45:36.938145,2025-12-07 02:46:03.769673,0 days 00:00:26.831528,468,0.796481429246529,0.0010646056411342014,6,9,1113,0.0017538315273189498,5.4110100747357235,0.6979070892901618,extensive,468,COMPLETE
88,-0.00028093850624085387,2025-12-07 02:46:03.770673,2025-12-07 02:46:10.076745,0 days 00:00:06.306072,477,0.6895019728402313,0.003265248684983931,4,10,386,0.44455962089029205,10.313305272239699,0.7242956165934906,extensive,477,COMPLETE
89,-0.020409151857996077,2025-12-07 02:46:10.078954,2025-12-07 02:46:23.481906,0 days 00:00:13.402952,458,0.661716812877699,0.009797919203904805,5,12,661,0.2605141679549463,14.381161164131733,0.6334172226990072,extensive,458,COMPLETE
90,-0.0016559721404409238,2025-12-07 02:46:23.482906,2025-12-07 02:46:26.286107,0 days 00:00:02.803201,232,0.7207287325537216,0.0049310768291537495,6,7,504,2.467798546468481,7.23511894724531,0.739630870743315,extensive,232,COMPLETE
91,0.00020748874147054805,2025-12-07 02:46:26.287613,2025-12-07 02:46:37.968262,0 days 00:00:11.680649,442,0.7283383978562892,0.0021682059858405796,4,8,778,0.15765495335597535,13.234076059117433,0.8197717619842375,extensive,442,COMPLETE
92,-0.00034784082623025753,2025-12-07 02:46:37.968262,2025-12-07 02:46:42.061783,0 days 00:00:04.093521,490,0.7547023640747623,0.0015162058849951497,4,8,208,0.32253149424964034,9.209749783759715,0.7436295967354587,extensive,490,COMPLETE
93,0.0010877217929892529,2025-12-07 02:46:42.062786,2025-12-07 02:46:46.315732,0 days 00:00:04.252946,439,0.7048028555209377,0.0015154298585775376,3,11,355,0.1210934093528641,12.493740866163785,0.6695668731374383,extensive,439,COMPLETE
94,-0.0002777176010409314,2025-12-07 02:46:46.317732,2025-12-07 02:47:02.158820,0 days 00:00:15.841088,471,0.732461923084988,0.0019350331156525265,5,10,760,0.22417920130879726,11.179665230293246,0.3833645591553117,extensive,471,COMPLETE
95,-0.047278872167790365,2025-12-07 02:47:02.159820,2025-12-07 02:47:49.019453,0 days 00:00:46.859633,427,0.774296248127048,0.005609462803942597,4,9,3997,0.4948375338030584,8.097754352414764,0.7742852617510747,extensive,427,COMPLETE
96,0.0021324830373360784,2025-12-07 02:47:49.020462,2025-12-07 02:47:54.889978,0 days 00:00:05.869516,408,0.682198481395436,0.0035696897029329124,5,11,278,0.09492239785926766,15.393744683291507,0.6983286737508523,extensive,408,COMPLETE
97,-0.0016559721404409238,2025-12-07 02:47:54.890981,2025-12-07 02:47:57.864001,0 days 00:00:02.973020,397,0.6423632954732695,0.003626734584146778,5,13,446,2.916275083184975,19.511003502172542,0.6487249588205782,extensive,397,COMPLETE
98,0.0008286183083353974,2025-12-07 02:47:57.865001,2025-12-07 02:48:02.743104,0 days 00:00:04.878103,360,0.6823438571027242,0.003076004661838612,5,12,270,0.00035998078502014197,15.041924415162581,0.6774629207234674,extensive,360,COMPLETE
99,-0.000767971803006621,2025-12-07 02:48:02.744617,2025-12-07 02:48:10.276245,0 days 00:00:07.531628,348,0.6171828967395709,0.0027036704692838423,5,11,560,0.6042173976379376,6.184146092867829,0.703060699559334,extensive,348,COMPLETE
100,-0.023389101966312238,2025-12-07 02:48:10.277247,2025-12-07 02:48:46.897707,0 days 00:00:36.620460,378,0.6676025677788504,0.004204419822801741,6,14,1991,0.39599345419634363,9.454553681492044,0.7184879263480454,extensive,378,COMPLETE
101,-0.041018597944480296,2025-12-07 02:48:46.899215,2025-12-07 02:48:53.613295,0 days 00:00:06.714080,414,0.7146673078835539,0.02862487415769727,5,10,294,0.19361508781824388,13.274221693023451,0.7352203505515604,extensive,414,COMPLETE
102,0.0017098642537320592,2025-12-07 02:48:53.614295,2025-12-07 02:48:59.750515,0 days 00:00:06.136220,451,0.739793669342268,0.0024190563289746923,4,11,388,0.09191389215815791,17.32657638375797,0.6925062505888118,extensive,451,COMPLETE
103,0.0011952107208649254,2025-12-07 02:48:59.751515,2025-12-07 02:49:08.737561,0 days 00:00:08.986046,493,0.7631934216819783,0.002419287383553111,5,11,380,0.07263855515094206,17.38510933912525,0.6951555710170049,extensive,493,COMPLETE
104,-4.039323937047682e-05,2025-12-07 02:49:08.738565,2025-12-07 02:49:17.473474,0 days 00:00:08.734909,453,0.7841075985709122,0.0023060974833720173,5,11,386,0.2964463175375296,17.458201032468978,0.6861097653268513,extensive,453,COMPLETE
105,-0.0010336657531953748,2025-12-07 02:49:17.474480,2025-12-07 02:49:27.256699,0 days 00:00:09.782219,483,0.7388677295554871,0.0028361774620427145,4,12,637,0.10212033285497668,17.2606659072779,0.7585838285918732,extensive,483,COMPLETE
106,-0.000531326438499069,2025-12-07 02:49:27.257699,2025-12-07 02:49:37.327526,0 days 00:00:10.069827,492,0.7629252876738964,0.00246065515352163,5,11,459,0.42253743965487206,15.659257747603228,0.6938614664571943,extensive,492,COMPLETE
107,0.0008307317569502167,2025-12-07 02:49:37.328529,2025-12-07 02:49:46.446830,0 days 00:00:09.118301,463,0.8110182706391735,0.0031251816222214357,6,10,271,0.09403470272497329,19.78271688995736,0.620688016707444,extensive,463,COMPLETE
108,0.0005375742697730038,2025-12-07 02:49:46.447825,2025-12-07 02:49:54.989687,0 days 00:00:08.541862,478,0.749383929691204,0.002039146521595265,5,13,366,0.2782122091703595,11.130762584701769,0.6593316511637419,extensive,478,COMPLETE
109,-0.0016331776817410937,2025-12-07 02:49:54.990682,2025-12-07 02:49:58.387471,0 days 00:00:03.396789,404,0.7911915464822357,0.0017593367953140904,4,9,519,1.6881448142280628,14.544906310806129,0.7221366764724644,extensive,404,COMPLETE
110,-0.0015501385055705825,2025-12-07 02:49:58.389007,2025-12-07 02:50:04.784605,0 days 00:00:06.395598,430,0.6870111775191271,0.003581739946081631,6,10,436,0.8519997686008752,11.842625181476699,0.6784930259705872,extensive,430,COMPLETE
111,0.0015970355545586272,2025-12-07 02:50:04.785607,2025-12-07 02:50:09.986414,0 days 00:00:05.200807,497,0.7055154387700833,0.00329768166094669,5,11,212,0.09071025504154276,9.951762106925433,0.5921633653236379,extensive,497,COMPLETE
112,0.00021458884003215198,2025-12-07 02:50:09.989880,2025-12-07 02:50:15.916709,0 days 00:00:05.926829,500,0.6977856818314141,0.003943891745573466,5,12,263,0.07572747268165395,1.3643974248275956,0.5557740925393763,extensive,500,COMPLETE
113,0.0002621871300811929,2025-12-07 02:50:15.917711,2025-12-07 02:50:24.135290,0 days 00:00:08.217579,488,0.7122828665667535,0.002703671458306086,5,11,349,0.21953604437695917,10.292864293458992,0.5920076193412209,extensive,488,COMPLETE
114,-0.00022539010898270373,2025-12-07 02:50:24.136295,2025-12-07 02:50:29.666187,0 days 00:00:05.529892,470,0.769414048827442,0.00340367265285349,5,10,225,0.3598865823566929,8.971265842019175,0.6064864236938998,extensive,470,COMPLETE
115,0.0005462413999018553,2025-12-07 02:50:29.668186,2025-12-07 02:50:33.360416,0 days 00:00:03.692230,118,0.6515881493863319,0.002313225569215798,5,12,323,0.48361829988445126,15.929773492137787,0.6303642763169983,extensive,118,COMPLETE
116,0.0017316214996847175,2025-12-07 02:50:33.361419,2025-12-07 02:50:37.117659,0 days 00:00:03.756240,454,0.7399360997087355,0.0030105842008640873,4,11,202,0.10580801227925948,13.118839050498403,0.7077079106299604,extensive,454,COMPLETE
117,-0.0015850414544902325,2025-12-07 02:50:37.118659,2025-12-07 02:50:39.244897,0 days 00:00:02.126238,452,0.7404757934246753,0.003083320876506777,3,11,205,1.3189802096218743,7.371092616857022,0.5758521611840777,extensive,452,COMPLETE
118,0.00040965032254491884,2025-12-07 02:50:39.246399,2025-12-07 02:50:47.794111,0 days 00:00:08.547712,447,0.6780459826302189,0.002911996974147922,4,9,553,0.23289122030486906,8.368654988279715,0.7109911203289194,extensive,447,COMPLETE
119,-0.0004995839987194476,2025-12-07 02:50:47.795111,2025-12-07 02:50:53.211742,0 days 00:00:05.416631,325,0.7219020731477951,0.0036302745881296667,4,10,459,0.5805449619093624,13.446017030536922,0.6528522659448106,extensive,325,COMPLETE
120,-0.001147401465304417,2025-12-07 02:50:53.212742,2025-12-07 02:50:57.960786,0 days 00:00:04.748044,418,0.7015963243121017,0.004567619464930763,4,12,301,0.375689813056707,10.196580161050923,0.4536550537827638,extensive,418,COMPLETE
121,0.0012503685540341536,2025-12-07 02:50:57.962212,2025-12-07 02:51:06.389175,0 days 00:00:08.426963,478,0.7595631437287522,0.0025700721192226553,5,11,367,0.08146051019142876,12.284748498179715,0.6988398008423601,extensive,478,COMPLETE
122,0.0014413395298776832,2025-12-07 02:51:06.390493,2025-12-07 02:51:15.359319,0 days 00:00:08.968826,462,0.7538436400348902,0.0025886368227019878,7,11,201,0.14519277234730316,11.05139947662496,0.7461165470356769,extensive,462,COMPLETE
123,0.0015038677043798243,2025-12-07 02:51:15.360319,2025-12-07 02:51:22.667876,0 days 00:00:07.307557,463,0.7525810090384338,0.002622458835523319,7,13,210,0.007664244668509512,11.972230333138395,0.6721988068451606,extensive,463,COMPLETE
124,-0.00025516688740171806,2025-12-07 02:51:22.668876,2025-12-07 02:51:30.174044,0 days 00:00:07.505168,462,0.7467995692223914,0.0032410645973299694,7,13,201,0.3063911714632137,11.65909223643252,0.6690234551903731,extensive,462,COMPLETE
