number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
33,-0.0011655336186545684,2025-12-07 02:37:22.737504,2025-12-07 02:37:26.113542,0 days 00:00:03.376038,382,0.7844458029921781,0.0021145204492599443,6,14,284,1.2175727723938592,2.1564961712602075,0.8972317723759511,extensive,382,COMPLETE
34,-0.0006941390835125683,2025-12-07 02:37:26.114541,2025-12-07 02:37:29.777791,0 days 00:00:03.663250,331,0.8044394686077682,0.0033981032178137917,6,10,393,1.2013536897911479,4.016488349427745,0.7495866854851633,extensive,331,COMPLETE
35,0.0014593489156557633,2025-12-07 02:37:29.778792,2025-12-07 02:37:36.491493,0 days 00:00:06.712701,395,0.7627213918970774,0.0030616817097758628,6,10,229,0.24436720101717335,9.893218454597832,0.7446555465366368,extensive,395,COMPLETE
36,0.001809277556235574,2025-12-07 02:37:36.493013,2025-12-07 02:37:43.510899,0 days 00:00:07.017886,457,0.7518841592894242,0.0030518401321160517,6,10,237,0.044478676920706395,10.622724116844935,0.7504078593694409,extensive,457,COMPLETE
37,-0.012435938692724783,2025-12-07 02:37:43.511858,2025-12-07 02:37:57.432700,0 days 00:00:13.920842,435,0.6258330995300498,0.005184832871026895,5,10,707,0.12585554053829917,10.421740469402085,0.6689892642028903,extensive,435,COMPLETE
38,-0.002252500185388954,2025-12-07 02:37:57.433723,2025-12-07 02:38:06.808140,0 days 00:00:09.374417,453,0.7518651852803822,0.006197222530192859,6,9,344,0.3901957489951759,11.060049000801053,0.7385502835270898,extensive,453,COMPLETE
39,0.0011753329900738112,2025-12-07 02:38:06.809140,2025-12-07 02:38:11.539278,0 days 00:00:04.730138,500,0.7009134602647052,0.003407924898332975,5,11,205,0.014676933775968487,9.644168128887143,0.6450429960807045,extensive,500,COMPLETE
40,0.0017239587087979717,2025-12-07 02:38:11.540034,2025-12-07 02:38:17.023605,0 days 00:00:05.483571,497,0.688257830172034,0.003183102859180377,5,11,237,0.04830980082119448,10.906535113662644,0.6348283475212521,extensive,497,COMPLETE
41,0.0022438032007674837,2025-12-07 02:38:17.024605,2025-12-07 02:38:22.271152,0 days 00:00:05.246547,497,0.672155612221834,0.0030896085010668054,5,11,217,0.07400315321265749,9.711867302805613,0.651370389056572,extensive,497,COMPLETE
42,0.0015024203296724048,2025-12-07 02:38:22.271152,2025-12-07 02:38:27.478505,0 days 00:00:05.207353,500,0.6712761545299539,0.003000532442720799,5,11,213,0.09583662040126455,11.336952518666145,0.641688282560861,extensive,500,COMPLETE
43,-0.0032414139414846943,2025-12-07 02:38:27.479508,2025-12-07 02:38:35.750287,0 days 00:00:08.270779,461,0.6554575841278953,0.004683955896097232,5,12,567,0.6330286904087521,13.80661316692455,0.5908144335568986,extensive,461,COMPLETE
44,-0.001379818729230986,2025-12-07 02:38:35.751799,2025-12-07 02:38:48.159836,0 days 00:00:12.408037,421,0.6536006796080238,0.0029393288652505983,5,7,630,0.23039522690884404,7.532472165053956,0.585079872859054,extensive,421,COMPLETE
45,-0.002918208304792206,2025-12-07 02:38:48.160836,2025-12-07 02:38:57.030002,0 days 00:00:08.869166,468,0.6044266138670182,0.004188826061940106,4,11,818,0.7573936800048429,18.738162354591463,0.6842145781462252,extensive,468,COMPLETE
46,-0.0022843310905616234,2025-12-07 02:38:57.031520,2025-12-07 02:39:03.966765,0 days 00:00:06.935245,494,0.7228960964250344,0.006266614478079844,6,12,246,0.40743381545254437,13.895521880416187,0.6459262111990562,extensive,494,COMPLETE
47,-0.0015802633002595101,2025-12-07 02:39:03.969016,2025-12-07 02:39:13.031850,0 days 00:00:09.062834,407,0.6745894925544194,0.002297637458350511,5,8,525,0.009495465552769575,5.242463464728255,0.709123033925116,extensive,407,COMPLETE
48,-0.0009968793843162145,2025-12-07 02:39:13.033453,2025-12-07 02:39:17.802337,0 days 00:00:04.768884,448,0.7584522475785916,0.0031300089850317646,3,6,389,0.5085499348058333,7.926856334747486,0.5494717047713873,extensive,448,COMPLETE
49,-0.0016559721404409238,2025-12-07 02:39:17.803342,2025-12-07 02:39:22.803603,0 days 00:00:05.000261,477,0.630198857654422,0.007923415972988282,5,8,859,3.7925423189066736,14.79241269216077,0.7151834016850037,extensive,477,COMPLETE
50,6.211711031741303e-05,2025-12-07 02:39:22.804603,2025-12-07 02:39:33.134790,0 days 00:00:10.330187,433,0.7130764470893125,0.0036543621212118066,5,11,498,0.26635462171416235,8.774031757261032,0.6191398318205067,extensive,433,COMPLETE
51,0.0008821774193729093,2025-12-07 02:39:33.135805,2025-12-07 02:39:38.232758,0 days 00:00:05.096953,499,0.697067390878288,0.003202563153138821,5,11,211,0.05278554039355263,10.30938138594574,0.6442940481338554,extensive,499,COMPLETE
52,0.000251123836795523,2025-12-07 02:39:38.233762,2025-12-07 02:39:46.336623,0 days 00:00:08.102861,500,0.749972504792003,0.0024914997645001076,6,10,251,0.2720794658413661,5.988274708739232,0.6471373333715669,extensive,500,COMPLETE
53,-0.0016473644359455235,2025-12-07 02:39:46.337623,2025-12-07 02:39:53.212640,0 days 00:00:06.875017,472,0.6680563025938558,0.003854465507160351,5,9,438,0.6730030354261414,9.142578935318841,0.683813461556812,extensive,472,COMPLETE
54,-0.011169716423169884,2025-12-07 02:39:53.214642,2025-12-07 02:40:03.467752,0 days 00:00:10.253110,451,0.76706947532318,0.0050818586457022,4,12,708,0.03236470582875828,12.396374166807885,0.5709872346801067,extensive,451,COMPLETE
55,-0.0006733435039173822,2025-12-07 02:40:03.468752,2025-12-07 02:40:07.638428,0 days 00:00:04.169676,394,0.5513407324219485,0.0020349752755006766,6,14,202,0.45758961848812185,19.425721595549806,0.5266551628117873,extensive,394,COMPLETE
56,-0.0018158454677083362,2025-12-07 02:40:07.639938,2025-12-07 02:40:15.260274,0 days 00:00:07.620336,423,0.7133384463752905,0.002908227926342366,5,11,613,0.8150611692830313,3.936695070874088,0.6130781630422604,extensive,423,COMPLETE
57,-0.02026169590598322,2025-12-07 02:40:15.261280,2025-12-07 02:40:54.989786,0 days 00:00:39.728506,481,0.8219309772818058,0.005720873653717643,7,10,966,0.23143364087029436,16.204294349904405,0.7503877485386217,extensive,481,COMPLETE
58,-0.005589972763831552,2025-12-07 02:40:54.993422,2025-12-07 02:41:04.195160,0 days 00:00:09.201738,463,0.7375482070888639,0.00436085106331786,6,15,390,0.005564180185847756,6.54659679860633,0.6349911489849172,extensive,463,COMPLETE
59,-0.0016559721404409238,2025-12-07 02:41:04.196161,2025-12-07 02:41:11.664611,0 days 00:00:07.468450,406,0.6809951702114375,0.003409641351773602,4,13,1460,3.253909307755533,11.569856315478997,0.6997598419134796,extensive,406,COMPLETE
60,-0.014975863513476165,2025-12-07 02:41:11.665611,2025-12-07 02:41:19.497228,0 days 00:00:07.831617,435,0.63274617805784,0.01607408851179759,5,9,508,0.5470771691120171,8.869702592790832,0.6553569827027534,extensive,435,COMPLETE
61,0.0012596292342085629,2025-12-07 02:41:19.498233,2025-12-07 02:41:26.046934,0 days 00:00:06.548701,496,0.7046030622856235,0.0029870195082365098,5,11,266,0.1839044905436836,9.329416150311035,0.6657731138501183,extensive,496,COMPLETE
62,0.00072541283403497,2025-12-07 02:41:26.047934,2025-12-07 02:41:31.108472,0 days 00:00:05.060538,500,0.6475593366818273,0.0028471373041550024,5,11,200,0.20661663870273594,5.49116729650084,0.6650601079836401,extensive,500,COMPLETE
63,0.000267560818494846,2025-12-07 02:41:31.109473,2025-12-07 02:41:38.520829,0 days 00:00:07.411356,480,0.6018986763659552,0.002233977953121605,5,10,355,0.3595376134493043,7.612812821543754,0.7293426238004138,extensive,480,COMPLETE
64,-0.001971843565816108,2025-12-07 02:41:38.520829,2025-12-07 02:41:55.400251,0 days 00:00:16.879422,443,0.7110890215676282,0.0036319687586435917,6,12,591,0.15693427399076051,16.689530222146495,0.6052221442162597,extensive,443,COMPLETE
65,-0.0008490372504744345,2025-12-07 02:41:55.401250,2025-12-07 02:42:02.068071,0 days 00:00:06.666821,464,0.7731210243105568,0.002568814478378835,4,8,444,0.537457850806587,12.894798381907886,0.623969449809101,extensive,464,COMPLETE
66,-0.002948520428418089,2025-12-07 02:42:02.069070,2025-12-07 02:42:11.315457,0 days 00:00:09.246387,487,0.7306319312137758,0.0040776183858851405,5,12,779,0.9084732494192354,6.756286666952404,0.6691817873836946,extensive,487,COMPLETE
67,-0.0011086279061207627,2025-12-07 02:42:11.316444,2025-12-07 02:42:17.823966,0 days 00:00:06.507522,465,0.5822512016032305,0.0030610108236279257,7,11,333,0.7097829306980123,10.248690483516699,0.7838615590478479,extensive,465,COMPLETE
68,-0.0931353101109409,2025-12-07 02:42:17.825969,2025-12-07 02:42:36.362573,0 days 00:00:18.536604,487,0.687614804884072,0.04286379513793641,6,7,1004,0.3601245216460883,3.1949385812343722,0.7089733269108378,extensive,487,COMPLETE
69,-0.03958032894324822,2025-12-07 02:42:36.363573,2025-12-07 02:43:21.462491,0 days 00:00:45.098918,421,0.8547165065933015,0.0019265738300367247,4,13,3522,0.00014562966341812034,16.147180337402613,0.5750882921027054,extensive,421,COMPLETE
70,0.0012002185327218233,2025-12-07 02:43:21.463489,2025-12-07 02:43:29.036601,0 days 00:00:07.573112,453,0.7024069308638882,0.001584858430769413,5,9,331,0.18581125886751,8.671887157701764,0.7529260271775396,extensive,453,COMPLETE
71,0.000848831765688729,2025-12-07 02:43:29.038601,2025-12-07 02:43:36.361192,0 days 00:00:07.322591,450,0.7444424805037595,0.0011682741588797485,5,9,312,0.15478591468872682,9.271776468447898,0.7535573270197676,extensive,450,COMPLETE
72,0.0007548793185424193,2025-12-07 02:43:36.362189,2025-12-07 02:43:41.655302,0 days 00:00:05.293113,69,0.7102730123615691,0.0017111894840319795,5,10,476,0.3258452820256724,4.784435023523627,0.7958872701802487,extensive,69,COMPLETE
73,-0.0019039051663621482,2025-12-07 02:43:41.656302,2025-12-07 02:44:00.108369,0 days 00:00:18.452067,483,0.6707627444950364,0.0025007141758973087,6,10,683,0.13244530170036992,11.95976028461487,0.3078092083278463,extensive,483,COMPLETE
74,-0.000872642320930872,2025-12-07 02:44:00.109374,2025-12-07 02:44:06.154695,0 days 00:00:06.045321,500,0.6419485975318515,0.004596587211604215,5,9,317,0.5528212081370767,7.666475105546104,0.6932852946537652,extensive,500,COMPLETE
75,-6.376689721210305e-05,2025-12-07 02:44:06.155197,2025-12-07 02:44:12.190230,0 days 00:00:06.035033,472,0.6955922936342445,0.0033666423205555734,6,11,203,0.3683408337061722,9.761933791321756,0.7661294899783669,extensive,472,COMPLETE
76,0.0013946047778867765,2025-12-07 02:44:12.191233,2025-12-07 02:44:20.929265,0 days 00:00:08.738032,454,0.7274433359386708,0.0015928287850793226,4,8,560,0.16291191390446838,5.968474420393452,0.7252330612841891,extensive,454,COMPLETE
