number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
56,-0.0016559720935109083,2025-12-07 02:21:48.973054,2025-12-07 02:21:50.779500,0 days 00:00:01.806446,0.8944125700767395,0.07220536514396414,5,24,352,109,1.5000169658867148,0.551616825414434,0.587299462903327,74,extensive,74,COMPLETE
57,-0.0023922647193699667,2025-12-07 02:21:50.781509,2025-12-07 02:21:52.707441,0 days 00:00:01.925932,0.8159460678505578,0.05170654586972395,3,17,914,128,0.8105890960312608,0.1454834183609155,0.5227896486602732,41,extensive,41,COMPLETE
58,-0.002204142621884323,2025-12-07 02:21:52.709442,2025-12-07 02:21:54.526941,0 days 00:00:01.817499,0.8486261215054209,0.08137100306895621,4,27,712,121,0.5120358294446617,0.27355593423808433,0.5989423937378495,22,extensive,22,COMPLETE
59,-0.0016559720935109083,2025-12-07 02:21:54.528945,2025-12-07 02:21:56.605976,0 days 00:00:02.077031,0.942124040815587,0.05792984260733222,6,35,1118,118,1.9605384928553387,1.0658317813742009,0.5569368735339275,165,extensive,165,COMPLETE
60,-0.0016559720935109083,2025-12-07 02:21:56.606976,2025-12-07 02:21:58.483493,0 days 00:00:01.876517,0.7847533034622507,0.08547999686325457,7,30,556,114,1.4723164738378238,0.779642324627623,0.5183927318363305,127,extensive,127,COMPLETE
61,-0.0007143778406567177,2025-12-07 02:21:58.484014,2025-12-07 02:22:00.334046,0 days 00:00:01.850032,0.8734282714285819,0.0963937523684844,5,13,409,126,1.1053703755581559,0.38173223081648266,0.5385960026030049,104,extensive,104,COMPLETE
62,-0.0006431523119668029,2025-12-07 02:22:00.335050,2025-12-07 02:22:02.286399,0 days 00:00:01.951349,0.9196404814031727,0.0932399445105316,5,13,343,125,1.103111134348137,0.3797863412058404,0.5326170069483919,103,extensive,103,COMPLETE
63,-0.0012872010175702941,2025-12-07 02:22:02.287398,2025-12-07 02:22:04.219130,0 days 00:00:01.931732,0.9165056193583073,0.09990703660887029,6,13,320,123,1.06640904301159,0.3751512070916032,0.574341696223626,149,extensive,149,COMPLETE
64,-0.002368233076067816,2025-12-07 02:22:04.220127,2025-12-07 02:22:06.142876,0 days 00:00:01.922749,0.8560355564768733,0.07099319641113604,5,20,203,125,0.6663100564806285,0.48379280116628465,0.5336998112179219,105,extensive,105,COMPLETE
65,-0.00231179853505481,2025-12-07 02:22:06.144881,2025-12-07 02:22:08.480654,0 days 00:00:02.335773,0.9969247858076077,0.09087380388759991,4,13,721,121,0.963603168295109,0.5946802443238686,0.5156581917276791,241,extensive,241,COMPLETE
66,-0.18365012106088993,2025-12-07 02:22:08.482658,2025-12-07 02:22:10.737530,0 days 00:00:02.254872,0.9714339351792117,0.0627775829126184,5,17,547,114,0.16278007428309704,0.30243936601682503,0.603406360053373,71,extensive,71,COMPLETE
67,-0.002745061960896041,2025-12-07 02:22:10.738529,2025-12-07 02:22:12.609187,0 days 00:00:01.870658,0.903318059438313,0.07816860548229251,6,13,315,119,0.8389147311600107,0.3913332691255952,0.5744079758428032,48,extensive,48,COMPLETE
68,-0.0016559720935109083,2025-12-07 02:22:12.611695,2025-12-07 02:22:15.303508,0 days 00:00:02.691813,0.818374242756869,0.042654961619772135,4,21,3943,125,1.4777845522541024,0.2127445523659696,0.5557247751157176,105,extensive,105,COMPLETE
69,-0.007387853689202843,2025-12-07 02:22:15.304506,2025-12-07 02:22:17.414022,0 days 00:00:02.109516,0.9472921060688426,0.09239997850258688,6,16,927,116,0.5034140794064784,0.2421580606664332,0.8662255823702268,152,extensive,152,COMPLETE
70,-0.0008777231809221631,2025-12-07 02:22:17.415025,2025-12-07 02:22:19.362390,0 days 00:00:01.947365,0.9232619259989834,0.07177101560659108,7,24,386,122,1.1118783665106435,0.10152718593488082,0.5341895659659416,115,extensive,115,COMPLETE
71,-0.0008383244457057515,2025-12-07 02:22:19.363394,2025-12-07 02:22:21.331217,0 days 00:00:01.967823,0.9294417974958257,0.06951501414452237,7,18,378,122,1.1018714594587953,0.16328402598552544,0.5352581631879333,74,extensive,74,COMPLETE
72,-0.0014508282340551422,2025-12-07 02:22:21.332217,2025-12-07 02:22:23.336040,0 days 00:00:02.003823,0.9383808055825507,0.0823089950237058,7,12,554,120,1.3744403175693887,0.16520309863640728,0.5110314336042374,74,extensive,74,COMPLETE
73,-0.0014538644970350696,2025-12-07 02:22:23.337042,2025-12-07 02:22:25.387586,0 days 00:00:02.050544,0.889428429941294,0.04825971195084404,6,22,788,126,0.8802612184297502,0.8572412982171899,0.5340965286380494,54,extensive,54,COMPLETE
74,-0.0016559720935109083,2025-12-07 02:22:25.389591,2025-12-07 02:22:27.350982,0 days 00:00:01.961391,0.9751340353378306,0.05961527545575076,8,18,315,118,1.6693485169626887,0.5807333918827499,0.5547384447665182,99,extensive,99,COMPLETE
75,-0.004566065942731901,2025-12-07 02:22:27.351982,2025-12-07 02:22:29.222199,0 days 00:00:01.870217,0.9611578557150806,0.09112469521183506,5,16,648,123,0.7721442672026866,0.1362954157184563,0.6180620793918715,28,extensive,28,COMPLETE
76,-0.0009289240114128683,2025-12-07 02:22:29.223713,2025-12-07 02:22:31.273654,0 days 00:00:02.049941,0.8630985566598567,0.06684439423913623,5,12,432,128,1.1254211679154584,0.16576274307840086,0.9473175742903664,125,extensive,125,COMPLETE
77,-0.006576817264995223,2025-12-07 02:22:31.274652,2025-12-07 02:22:33.424095,0 days 00:00:02.149443,0.9270250939533915,0.08125434171484731,6,15,513,110,0.6676771915291841,0.4428255241284021,0.5115047236362454,74,extensive,74,COMPLETE
78,-0.0016559720935109083,2025-12-07 02:22:33.425094,2025-12-07 02:22:35.497451,0 days 00:00:02.072357,0.9040362109068645,0.09349126864201682,5,10,701,112,1.859332147153256,0.33387184597522,0.6627744800221997,14,extensive,14,COMPLETE
79,-0.011951907206586823,2025-12-07 02:22:35.499456,2025-12-07 02:22:37.628197,0 days 00:00:02.128741,0.8874886503598605,0.07190052391595467,6,25,255,126,0.3751738233589017,1.043168378887022,0.5791721431156532,82,extensive,82,COMPLETE
80,-0.0016559720935109083,2025-12-07 02:22:37.629197,2025-12-07 02:22:39.814008,0 days 00:00:02.184811,0.9853699492222299,0.099986881541393,8,19,1237,67,1.6014634989807566,0.29114302055580704,0.5402884582380333,178,extensive,178,COMPLETE
81,-0.0008934245471539833,2025-12-07 02:22:39.816127,2025-12-07 02:22:41.595625,0 days 00:00:01.779498,0.92428458808935,0.07562214263015046,7,32,392,122,1.1706138546745204,0.11013094405171595,0.5327052868579234,115,extensive,115,COMPLETE
82,-0.0015304973147320193,2025-12-07 02:22:41.596629,2025-12-07 02:22:43.441717,0 days 00:00:01.845088,0.9332646927923739,0.06962227866553124,7,23,384,123,1.3667533745515112,0.1261086842008201,0.5010180784798202,96,extensive,96,COMPLETE
83,-0.0016110163036010168,2025-12-07 02:22:43.442716,2025-12-07 02:22:45.181020,0 days 00:00:01.738304,0.9155581038169128,0.08598626904563228,7,25,288,119,0.9663544733380429,17.3153261086175,0.549740702645121,139,extensive,139,COMPLETE
84,-0.0008232400295717183,2025-12-07 02:22:45.183024,2025-12-07 02:22:46.886359,0 days 00:00:01.703335,0.9520736451684901,0.07808564951220034,5,21,501,121,1.1235108365306017,0.23457866169802494,0.5291485855603303,53,extensive,53,COMPLETE
85,-0.0035594993306625744,2025-12-07 02:22:46.888363,2025-12-07 02:22:48.644193,0 days 00:00:01.755830,0.95209014384731,0.08099139520104177,4,20,532,116,0.5771296797570937,0.22981157300955055,0.5657168097774125,48,extensive,48,COMPLETE
86,-0.006199587123744206,2025-12-07 02:22:48.646197,2025-12-07 02:22:50.407585,0 days 00:00:01.761388,0.9072358308160399,0.06358199549878203,5,16,627,121,0.7251844104117899,0.4015615156794182,0.5143475732616314,61,extensive,61,COMPLETE
87,-0.0003758194774295953,2025-12-07 02:22:50.408585,2025-12-07 02:22:52.545864,0 days 00:00:02.137279,0.9662386431329025,0.09245621896770025,5,14,3454,124,0.9551797453225513,0.18456757855308345,0.528559667635601,79,extensive,79,COMPLETE
88,-0.002319270011057991,2025-12-07 02:22:52.546868,2025-12-07 02:22:54.493552,0 days 00:00:01.946684,0.9670882543116642,0.09300846881788288,5,10,3248,124,0.9323851749864146,0.3579817358661615,0.5503446317799657,32,extensive,32,COMPLETE
89,-0.0024321191000612843,2025-12-07 02:22:54.495556,2025-12-07 02:22:56.405853,0 days 00:00:01.910297,0.9982001555631961,0.07738853488847892,4,14,3733,126,0.41876626425170427,0.5111102656471558,0.5901848122747148,13,extensive,13,COMPLETE
90,-0.0013573519475638858,2025-12-07 02:22:56.406852,2025-12-07 02:22:58.263619,0 days 00:00:01.856767,0.9503371278904434,0.052773938081909166,5,12,1948,128,1.267622132575723,0.18630025136591807,0.5247712827741833,83,extensive,83,COMPLETE
91,-0.0008806742535005426,2025-12-07 02:22:58.263619,2025-12-07 02:23:00.142888,0 days 00:00:01.879269,0.9803804502012472,0.08684206970003766,5,18,2639,124,1.0602945698792892,0.17427058705410267,0.5371700683374482,69,extensive,69,COMPLETE
92,-0.0015731172165212026,2025-12-07 02:23:00.143891,2025-12-07 02:23:02.004610,0 days 00:00:01.860719,0.8744449440869417,0.09410886112354727,6,21,2942,120,1.3892284940389692,0.6435224903521403,0.7990215920128545,44,extensive,44,COMPLETE
93,-0.0012819113459665206,2025-12-07 02:23:02.005610,2025-12-07 02:23:03.763836,0 days 00:00:01.758226,0.9429451452242718,0.07715383427756442,5,15,467,118,0.8675860201434449,0.2360342879951201,0.5121605647883405,95,extensive,95,COMPLETE
