number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
107,-0.5366087686561688,2025-12-07 01:51:14.589832,2025-12-07 01:51:16.197066,0 days 00:00:01.607234,49,extensive,49,COMPLETE
108,-0.4530154297209716,2025-12-07 01:51:16.198194,2025-12-07 01:51:17.745936,0 days 00:00:01.547742,35,extensive,35,COMPLETE
109,-0.1386605928207478,2025-12-07 01:51:17.746941,2025-12-07 01:51:19.445982,0 days 00:00:01.699041,22,extensive,22,COMPLETE
110,-0.01102976205781018,2025-12-07 01:51:19.446982,2025-12-07 01:51:21.154991,0 days 00:00:01.708009,8,extensive,8,COMPLETE
111,0.000799304423594919,2025-12-07 01:51:21.155995,2025-12-07 01:51:22.817975,0 days 00:00:01.661980,2,extensive,2,COMPLETE
112,-0.04807846876274654,2025-12-07 01:51:22.818980,2025-12-07 01:51:24.449917,0 days 00:00:01.630937,18,extensive,18,COMPLETE
113,0.00013629396337352015,2025-12-07 01:51:24.449917,2025-12-07 01:51:26.145790,0 days 00:00:01.695873,1,extensive,1,COMPLETE
114,-0.33982639641997886,2025-12-07 01:51:26.147398,2025-12-07 01:51:27.683571,0 days 00:00:01.536173,29,extensive,29,COMPLETE
115,-0.011992748964072689,2025-12-07 01:51:27.684738,2025-12-07 01:51:29.245173,0 days 00:00:01.560435,16,extensive,16,COMPLETE
116,-0.4807108000418112,2025-12-07 01:51:29.245173,2025-12-07 01:51:30.764819,0 days 00:00:01.519646,39,extensive,39,COMPLETE
117,-97121962.85869212,2025-12-07 01:51:30.765833,2025-12-07 01:51:32.430052,0 days 00:00:01.664219,314,extensive,314,COMPLETE
118,-0.34061329142113594,2025-12-07 01:51:32.431053,2025-12-07 01:51:33.998709,0 days 00:00:01.567656,30,extensive,30,COMPLETE
119,-0.49026481398380467,2025-12-07 01:51:33.999717,2025-12-07 01:51:35.582303,0 days 00:00:01.582586,57,extensive,57,COMPLETE
120,-0.01102976205781018,2025-12-07 01:51:35.583304,2025-12-07 01:51:37.117146,0 days 00:00:01.533842,8,extensive,8,COMPLETE
121,-0.04807846876274654,2025-12-07 01:51:37.118146,2025-12-07 01:51:38.648807,0 days 00:00:01.530661,18,extensive,18,COMPLETE
122,0.001391881667360891,2025-12-07 01:51:38.649811,2025-12-07 01:51:40.213821,0 days 00:00:01.564010,3,extensive,3,COMPLETE
123,0.0008291072913103233,2025-12-07 01:51:40.214327,2025-12-07 01:51:41.749081,0 days 00:00:01.534754,4,extensive,4,COMPLETE
124,-0.16363893036512547,2025-12-07 01:51:41.750085,2025-12-07 01:51:43.396668,0 days 00:00:01.646583,25,extensive,25,COMPLETE
125,-0.010750185032226356,2025-12-07 01:51:43.397672,2025-12-07 01:51:44.968303,0 days 00:00:01.570631,12,extensive,12,COMPLETE
126,-0.5366087686561688,2025-12-07 01:51:44.969300,2025-12-07 01:51:46.499240,0 days 00:00:01.529940,49,extensive,49,COMPLETE
127,-0.4530154297209716,2025-12-07 01:51:46.500790,2025-12-07 01:51:47.943808,0 days 00:00:01.443018,35,extensive,35,COMPLETE
128,-0.011992748964072689,2025-12-07 01:51:47.944811,2025-12-07 01:51:49.433141,0 days 00:00:01.488330,16,extensive,16,COMPLETE
129,0.000799304423594919,2025-12-07 01:51:49.434461,2025-12-07 01:51:50.903168,0 days 00:00:01.468707,2,extensive,2,COMPLETE
130,-74780973.38149793,2025-12-07 01:51:50.903168,2025-12-07 01:51:52.532095,0 days 00:00:01.628927,382,extensive,382,COMPLETE
131,0.00013629396337352015,2025-12-07 01:51:52.533176,2025-12-07 01:51:54.016245,0 days 00:00:01.483069,1,extensive,1,COMPLETE
132,-0.010409126173960429,2025-12-07 01:51:54.017248,2025-12-07 01:51:55.532218,0 days 00:00:01.514970,11,extensive,11,COMPLETE
133,-125765402.21044789,2025-12-07 01:51:55.533322,2025-12-07 01:51:57.117649,0 days 00:00:01.584327,258,extensive,258,COMPLETE
134,-0.16363893036512547,2025-12-07 01:51:57.118654,2025-12-07 01:51:58.652895,0 days 00:00:01.534241,25,extensive,25,COMPLETE
135,-0.010674821554269206,2025-12-07 01:51:58.653923,2025-12-07 01:52:00.160693,0 days 00:00:01.506770,10,extensive,10,COMPLETE
136,0.00013629396337352015,2025-12-07 01:52:00.162167,2025-12-07 01:52:01.685133,0 days 00:00:01.522966,1,extensive,1,COMPLETE
137,-0.4731315592445832,2025-12-07 01:52:01.686172,2025-12-07 01:52:03.246354,0 days 00:00:01.560182,42,extensive,42,COMPLETE
138,-0.14697050684435572,2025-12-07 01:52:03.246354,2025-12-07 01:52:04.848785,0 days 00:00:01.602431,23,extensive,23,COMPLETE
139,-0.33890227150881974,2025-12-07 01:52:04.849581,2025-12-07 01:52:06.331751,0 days 00:00:01.482170,31,extensive,31,COMPLETE
140,-0.011992748964072689,2025-12-07 01:52:06.332752,2025-12-07 01:52:07.898970,0 days 00:00:01.566218,16,extensive,16,COMPLETE
141,0.000799304423594919,2025-12-07 01:52:07.898970,2025-12-07 01:52:09.598610,0 days 00:00:01.699640,2,extensive,2,COMPLETE
142,0.000799304423594919,2025-12-07 01:52:09.599616,2025-12-07 01:52:11.240515,0 days 00:00:01.640899,2,extensive,2,COMPLETE
143,-0.010409126173960429,2025-12-07 01:52:11.242161,2025-12-07 01:52:12.899453,0 days 00:00:01.657292,11,extensive,11,COMPLETE
144,-34158914.45776662,2025-12-07 01:52:12.899453,2025-12-07 01:52:14.633685,0 days 00:00:01.734232,460,extensive,460,COMPLETE
145,-0.1386605928207478,2025-12-07 01:52:14.634698,2025-12-07 01:52:16.133505,0 days 00:00:01.498807,22,extensive,22,COMPLETE
146,0.00013629396337352015,2025-12-07 01:52:16.134514,2025-12-07 01:52:17.500771,0 days 00:00:01.366257,1,extensive,1,COMPLETE
147,-0.04800100759305718,2025-12-07 01:52:17.501776,2025-12-07 01:52:18.984748,0 days 00:00:01.482972,17,extensive,17,COMPLETE
148,-0.4530154297209716,2025-12-07 01:52:18.984748,2025-12-07 01:52:20.451405,0 days 00:00:01.466657,35,extensive,35,COMPLETE
149,-0.011010024908003365,2025-12-07 01:52:20.452909,2025-12-07 01:52:21.948220,0 days 00:00:01.495311,9,extensive,9,COMPLETE
150,-0.16363893036512547,2025-12-07 01:52:21.949226,2025-12-07 01:52:23.385992,0 days 00:00:01.436766,25,extensive,25,COMPLETE
151,0.00013629396337352015,2025-12-07 01:52:23.388219,2025-12-07 01:52:24.818755,0 days 00:00:01.430536,1,extensive,1,COMPLETE
152,0.00013629396337352015,2025-12-07 01:52:24.819347,2025-12-07 01:52:26.247538,0 days 00:00:01.428191,1,extensive,1,COMPLETE
153,-0.010750185032226356,2025-12-07 01:52:26.248737,2025-12-07 01:52:27.692920,0 days 00:00:01.444183,12,extensive,12,COMPLETE
154,-0.11122591597735006,2025-12-07 01:52:27.693936,2025-12-07 01:52:29.148651,0 days 00:00:01.454715,19,extensive,19,COMPLETE
155,-0.33982639641997886,2025-12-07 01:52:29.149656,2025-12-07 01:52:30.665984,0 days 00:00:01.516328,29,extensive,29,COMPLETE
