number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
87,-0.011008718367716663,2025-12-07 01:58:06.302917,2025-12-07 01:58:07.721913,0 days 00:00:01.418996,0.11954875652583813,9,extensive,9,COMPLETE
88,-0.08570681901970072,2025-12-07 01:58:07.722941,2025-12-07 01:58:09.185394,0 days 00:00:01.462453,667.6351629860554,76,extensive,76,COMPLETE
89,-0.13865991189101556,2025-12-07 01:58:09.186397,2025-12-07 01:58:10.619302,0 days 00:00:01.432905,0.0014248968409122788,22,extensive,22,COMPLETE
90,-0.5320095955946581,2025-12-07 01:58:10.619895,2025-12-07 01:58:12.035492,0 days 00:00:01.415597,0.0002341768984075224,50,extensive,50,COMPLETE
91,0.0008889043548310586,2025-12-07 01:58:12.036599,2025-12-07 01:58:13.370693,0 days 00:00:01.334094,975.8647959681655,1,extensive,1,COMPLETE
92,-2.1608948111476667,2025-12-07 01:58:13.372203,2025-12-07 01:58:14.868173,0 days 00:00:01.495970,434.2087206859106,464,extensive,464,COMPLETE
93,-0.004757540773349556,2025-12-07 01:58:14.871679,2025-12-07 01:58:16.285098,0 days 00:00:01.413419,876.9625759067186,10,extensive,10,COMPLETE
94,-0.04705162582103062,2025-12-07 01:58:16.286060,2025-12-07 01:58:17.737810,0 days 00:00:01.451750,979.5628520014653,32,extensive,32,COMPLETE
95,0.0006758690313780255,2025-12-07 01:58:17.739902,2025-12-07 01:58:19.121566,0 days 00:00:01.381664,471.376096525458,1,extensive,1,COMPLETE
96,-0.08604757597935127,2025-12-07 01:58:19.122569,2025-12-07 01:58:20.503467,0 days 00:00:01.380898,264.3350036281955,25,extensive,25,COMPLETE
97,-0.009146600686581574,2025-12-07 01:58:20.504907,2025-12-07 01:58:21.949615,0 days 00:00:01.444708,156.66228985547104,12,extensive,12,COMPLETE
98,-57206.186929789685,2025-12-07 01:58:21.951408,2025-12-07 01:58:23.505286,0 days 00:00:01.553878,0.004743396193582956,376,extensive,376,COMPLETE
99,-0.21821972453064087,2025-12-07 01:58:23.506394,2025-12-07 01:58:25.022308,0 days 00:00:01.515914,75.66049761044592,42,extensive,42,COMPLETE
100,-0.07284430438935381,2025-12-07 01:58:25.023505,2025-12-07 01:58:26.637147,0 days 00:00:01.613642,689.4054013422655,60,extensive,60,COMPLETE
101,0.0029835097639926054,2025-12-07 01:58:26.638146,2025-12-07 01:58:28.089247,0 days 00:00:01.451101,959.5097223194565,3,extensive,3,COMPLETE
102,-0.07549421641515841,2025-12-07 01:58:28.091332,2025-12-07 01:58:29.554268,0 days 00:00:01.462936,328.4128943881316,24,extensive,24,COMPLETE
103,-0.008208504779469402,2025-12-07 01:58:29.555270,2025-12-07 01:58:31.136459,0 days 00:00:01.581189,523.8691940767227,13,extensive,13,COMPLETE
104,-0.005506715200583286,2025-12-07 01:58:31.138714,2025-12-07 01:58:32.688607,0 days 00:00:01.549893,695.5585397314222,8,extensive,8,COMPLETE
105,-0.08354948289272231,2025-12-07 01:58:32.689869,2025-12-07 01:58:34.303617,0 days 00:00:01.613748,424.81878279686964,35,extensive,35,COMPLETE
106,-0.05249338086563878,2025-12-07 01:58:34.305629,2025-12-07 01:58:35.929193,0 days 00:00:01.623564,695.5297949833747,21,extensive,21,COMPLETE
107,0.0008937391663761396,2025-12-07 01:58:35.929193,2025-12-07 01:58:37.589733,0 days 00:00:01.660540,997.4833275694638,1,extensive,1,COMPLETE
108,-0.16224756300446175,2025-12-07 01:58:37.590885,2025-12-07 01:58:39.266026,0 days 00:00:01.675141,214.5356417052335,51,extensive,51,COMPLETE
109,-0.21929940847485066,2025-12-07 01:58:39.267031,2025-12-07 01:58:40.822852,0 days 00:00:01.555821,0.07650699147945163,27,extensive,27,COMPLETE
110,-1705.5684304830065,2025-12-07 01:58:40.823967,2025-12-07 01:58:42.539429,0 days 00:00:01.715462,1.4889914492883745,326,extensive,326,COMPLETE
111,0.0008812051575039689,2025-12-07 01:58:42.541567,2025-12-07 01:58:44.106141,0 days 00:00:01.564574,943.633437973618,1,extensive,1,COMPLETE
112,-0.004319506611615287,2025-12-07 01:58:44.107654,2025-12-07 01:58:45.654796,0 days 00:00:01.547142,993.2102978492387,10,extensive,10,COMPLETE
113,-0.10331565759498502,2025-12-07 01:58:45.655801,2025-12-07 01:58:47.203104,0 days 00:00:01.547303,330.2001003024912,40,extensive,40,COMPLETE
114,-0.007450002281543022,2025-12-07 01:58:47.204063,2025-12-07 01:58:48.737382,0 days 00:00:01.533319,584.3906831122696,15,extensive,15,COMPLETE
115,-0.007017273581276869,2025-12-07 01:58:48.739478,2025-12-07 01:58:50.235249,0 days 00:00:01.495771,457.17092298935984,7,extensive,7,COMPLETE
116,-0.051600985313599246,2025-12-07 01:58:50.235249,2025-12-07 01:58:51.821606,0 days 00:00:01.586357,727.0978810435928,24,extensive,24,COMPLETE
117,0.0005067898162607332,2025-12-07 01:58:51.822611,2025-12-07 01:58:53.337742,0 days 00:00:01.515131,270.2197055430934,1,extensive,1,COMPLETE
118,-0.07565833206172008,2025-12-07 01:58:53.338752,2025-12-07 01:58:54.807451,0 days 00:00:01.468699,496.7250208660889,37,extensive,37,COMPLETE
119,-0.045236063146580685,2025-12-07 01:58:54.807451,2025-12-07 01:58:56.305234,0 days 00:00:01.497783,740.6405529963783,20,extensive,20,COMPLETE
120,-0.1527752282914279,2025-12-07 01:58:56.306238,2025-12-07 01:58:57.789016,0 days 00:00:01.482778,142.69893660156052,30,extensive,30,COMPLETE
121,0.0008888913531041043,2025-12-07 01:58:57.789986,2025-12-07 01:58:59.259520,0 days 00:00:01.469534,975.8081845919334,1,extensive,1,COMPLETE
122,-0.007568931093012006,2025-12-07 01:58:59.260026,2025-12-07 01:59:00.786488,0 days 00:00:01.526462,355.2871512939992,12,extensive,12,COMPLETE
123,0.0007321310761792358,2025-12-07 01:59:00.787486,2025-12-07 01:59:02.421345,0 days 00:00:01.633859,561.6831767733222,1,extensive,1,COMPLETE
124,-0.02757239920692604,2025-12-07 01:59:02.422639,2025-12-07 01:59:04.005658,0 days 00:00:01.583019,918.281204904362,18,extensive,18,COMPLETE
125,-0.004234666889515311,2025-12-07 01:59:04.006665,2025-12-07 01:59:05.621622,0 days 00:00:01.614957,994.6530946397545,9,extensive,9,COMPLETE
126,-0.08857214343623372,2025-12-07 01:59:05.623794,2025-12-07 01:59:07.138383,0 days 00:00:01.514589,406.36895582807574,48,extensive,48,COMPLETE
127,-0.12736812694560354,2025-12-07 01:59:07.140596,2025-12-07 01:59:08.638565,0 days 00:00:01.497969,203.82434374374083,29,extensive,29,COMPLETE
128,-0.05071312581048778,2025-12-07 01:59:08.640792,2025-12-07 01:59:10.235417,0 days 00:00:01.594625,648.1315689579217,19,extensive,19,COMPLETE
129,-0.09819554461987767,2025-12-07 01:59:10.235417,2025-12-07 01:59:11.740706,0 days 00:00:01.505289,321.8537619164289,36,extensive,36,COMPLETE
130,0.0015403964946328157,2025-12-07 01:59:11.741902,2025-12-07 01:59:13.056779,0 days 00:00:01.314877,522.7247731542881,2,extensive,2,COMPLETE
131,-0.006261859706604422,2025-12-07 01:59:13.057778,2025-12-07 01:59:14.490777,0 days 00:00:01.432999,571.1270868842561,7,extensive,7,COMPLETE
132,0.0008188660241346865,2025-12-07 01:59:14.492199,2025-12-07 01:59:15.885942,0 days 00:00:01.393743,745.1615291257899,1,extensive,1,COMPLETE
133,-0.03412030965402143,2025-12-07 01:59:15.886929,2025-12-07 01:59:17.290719,0 days 00:00:01.403790,532.3478569085784,18,extensive,18,COMPLETE
134,-0.004382891100196111,2025-12-07 01:59:17.291816,2025-12-07 01:59:18.822290,0 days 00:00:01.530474,988.7339423568105,12,extensive,12,COMPLETE
135,-0.08380710258902446,2025-12-07 01:59:18.824183,2025-12-07 01:59:20.237774,0 days 00:00:01.413591,391.5226118989925,26,extensive,26,COMPLETE
136,0.0012489824596849664,2025-12-07 01:59:20.238774,2025-12-07 01:59:21.691513,0 days 00:00:01.452739,254.823769439784,2,extensive,2,COMPLETE
137,-0.47035739558814255,2025-12-07 01:59:21.692617,2025-12-07 01:59:23.221625,0 days 00:00:01.529008,0.27572482520031655,40,extensive,40,COMPLETE
138,-0.04092704977232294,2025-12-07 01:59:23.221625,2025-12-07 01:59:24.741927,0 days 00:00:01.520302,230.7624611264991,17,extensive,17,COMPLETE
139,-0.07983106613354223,2025-12-07 01:59:24.743045,2025-12-07 01:59:26.237443,0 days 00:00:01.494398,460.0889650903001,28,extensive,28,COMPLETE
140,-0.1362304204557084,2025-12-07 01:59:26.237443,2025-12-07 01:59:27.658524,0 days 00:00:01.421081,288.96978509343813,54,extensive,54,COMPLETE
141,0.0008110616374779797,2025-12-07 01:59:27.659568,2025-12-07 01:59:29.073065,0 days 00:00:01.413497,725.4521114845844,1,extensive,1,COMPLETE
142,-0.005476389220526586,2025-12-07 01:59:29.074078,2025-12-07 01:59:30.556662,0 days 00:00:01.482584,710.4995639355666,10,extensive,10,COMPLETE
