number,value,datetime_start,datetime_complete,duration,params_feature_level,params_ridge_alpha,user_attrs_feature_level,state
53,-0.08466505163095601,2025-12-04 20:18:39.123443,2025-12-04 20:18:39.252826,0 days 00:00:00.129383,simple,910.0167824719281,simple,COMPLETE
54,-0.116148455737395,2025-12-04 20:18:39.253827,2025-12-04 20:18:39.391842,0 days 00:00:00.138015,simple,573.4595101955599,simple,COMPLETE
55,-0.20386367549231096,2025-12-04 20:18:39.392843,2025-12-04 20:18:39.531212,0 days 00:00:00.138369,simple,239.89545892914535,simple,COMPLETE
56,-0.4796567724636563,2025-12-04 20:18:39.531212,2025-12-04 20:18:39.670728,0 days 00:00:00.139516,simple,62.768460125717496,simple,COMPLETE
57,-0.08434974500254404,2025-12-04 20:18:39.671728,2025-12-04 20:18:39.808591,0 days 00:00:00.136863,simple,914.8549796889854,simple,COMPLETE
58,-0.1177860970094824,2025-12-04 20:18:39.808591,2025-12-04 20:18:39.942367,0 days 00:00:00.133776,simple,561.5472525575415,simple,COMPLETE
59,-9.937064537937768,2025-12-04 20:18:39.943367,2025-12-04 20:18:40.085194,0 days 00:00:00.141827,simple,0.004896425116889243,simple,COMPLETE
60,-0.25518991352214254,2025-12-04 20:18:40.086199,2025-12-04 20:18:40.227760,0 days 00:00:00.141561,simple,167.84591147417913,simple,COMPLETE
61,-0.07407802930306051,2025-12-04 20:18:40.228760,2025-12-04 20:18:40.323381,0 days 00:00:00.094621,none,948.8885185198363,none,COMPLETE
62,-0.11028820370998837,2025-12-04 20:18:40.324381,2025-12-04 20:18:40.418276,0 days 00:00:00.093895,none,541.8156129561936,none,COMPLETE
63,-0.07316277237540499,2025-12-04 20:18:40.419276,2025-12-04 20:18:40.517233,0 days 00:00:00.097957,none,965.1763723499888,none,COMPLETE
64,-0.19750214884697495,2025-12-04 20:18:40.518232,2025-12-04 20:18:40.609751,0 days 00:00:00.091519,none,225.13574429555138,none,COMPLETE
65,-0.161523516522133,2025-12-04 20:18:40.610751,2025-12-04 20:18:40.711173,0 days 00:00:00.100422,none,307.73640574663574,none,COMPLETE
66,-0.2957827309648659,2025-12-04 20:18:40.712172,2025-12-04 20:18:40.808265,0 days 00:00:00.096093,none,115.45618999433691,none,COMPLETE
67,-0.07344874860562205,2025-12-04 20:18:40.809548,2025-12-04 20:18:40.900618,0 days 00:00:00.091070,none,960.0388308300312,none,COMPLETE
68,-0.11043673517154821,2025-12-04 20:18:40.901618,2025-12-04 20:18:41.001724,0 days 00:00:00.100106,none,540.7635062252004,none,COMPLETE
69,-0.20735791704952714,2025-12-04 20:18:41.002232,2025-12-04 20:18:41.100870,0 days 00:00:00.098638,none,208.34125099816052,none,COMPLETE
70,-0.10631314153726128,2025-12-04 20:18:41.101868,2025-12-04 20:18:41.190161,0 days 00:00:00.088293,none,571.2422679583769,none,COMPLETE
71,-0.07262465059128043,2025-12-04 20:18:41.191166,2025-12-04 20:18:41.287648,0 days 00:00:00.096482,none,974.9651982438345,none,COMPLETE
72,-0.15295511147711327,2025-12-04 20:18:41.287648,2025-12-04 20:18:41.385585,0 days 00:00:00.097937,none,334.30218840676037,none,COMPLETE
73,-0.07134510660022235,2025-12-04 20:18:41.386587,2025-12-04 20:18:41.482161,0 days 00:00:00.095574,none,998.8973245084276,none,COMPLETE
74,-0.12508651188601072,2025-12-04 20:18:41.483482,2025-12-04 20:18:41.579917,0 days 00:00:00.096435,none,451.06817789185936,none,COMPLETE
75,-0.23290083923079674,2025-12-04 20:18:41.580917,2025-12-04 20:18:41.677635,0 days 00:00:00.096718,none,172.61006560526172,none,COMPLETE
76,-0.07254781855314718,2025-12-04 20:18:41.678634,2025-12-04 20:18:41.775387,0 days 00:00:00.096753,none,976.3759376563579,none,COMPLETE
77,-0.4641725373413,2025-12-04 20:18:41.775387,2025-12-04 20:18:41.870779,0 days 00:00:00.095392,none,51.59755649057204,none,COMPLETE
78,-6.411053707837226,2025-12-04 20:18:41.871779,2025-12-04 20:18:41.968991,0 days 00:00:00.097212,none,0.2510164281018381,none,COMPLETE
79,-0.1703951177631103,2025-12-04 20:18:41.969991,2025-12-04 20:18:42.068019,0 days 00:00:00.098028,none,283.51547340959684,none,COMPLETE
80,-0.0961345878865066,2025-12-04 20:18:42.068019,2025-12-04 20:18:42.167263,0 days 00:00:00.099244,none,659.5601640883255,none,COMPLETE
81,-0.07350576400157127,2025-12-04 20:18:42.168264,2025-12-04 20:18:42.267483,0 days 00:00:00.099219,none,959.0198466127536,none,COMPLETE
82,-0.1264260210681066,2025-12-04 20:18:42.268483,2025-12-04 20:18:42.364933,0 days 00:00:00.096450,none,444.0647687295631,none,COMPLETE
83,-0.08881305389265474,2025-12-04 20:18:42.365938,2025-12-04 20:18:42.460638,0 days 00:00:00.094700,none,737.6419177151132,none,COMPLETE
84,-0.3087840060039171,2025-12-04 20:18:42.461639,2025-12-04 20:18:42.560475,0 days 00:00:00.098836,none,107.16407358548695,none,COMPLETE
85,-0.16098144300179965,2025-12-04 20:18:42.561475,2025-12-04 20:18:42.653355,0 days 00:00:00.091880,none,309.3187314514072,none,COMPLETE
86,-7722.18426092996,2025-12-04 20:18:42.654353,2025-12-04 20:18:44.365949,0 days 00:00:01.711596,medium,976.4255933474764,medium,COMPLETE
87,-0.12116904503152177,2025-12-04 20:18:44.366947,2025-12-04 20:18:44.467589,0 days 00:00:00.100642,none,472.5903283595514,none,COMPLETE
88,-7.640312973980826,2025-12-04 20:18:44.468103,2025-12-04 20:18:44.565017,0 days 00:00:00.096914,none,0.00011573532513510408,none,COMPLETE
89,-0.0973392180357971,2025-12-04 20:18:44.565017,2025-12-04 20:18:44.662843,0 days 00:00:00.097826,none,647.9947537038196,none,COMPLETE
90,-0.22616346782343455,2025-12-04 20:18:44.663841,2025-12-04 20:18:44.757487,0 days 00:00:00.093646,none,181.09403673541013,none,COMPLETE
91,-0.07373815070062761,2025-12-04 20:18:44.758488,2025-12-04 20:18:44.856554,0 days 00:00:00.098066,none,954.8846698568731,none,COMPLETE
92,-0.08797860920151941,2025-12-04 20:18:44.857135,2025-12-04 20:18:44.956169,0 days 00:00:00.099034,none,747.4863939325415,none,COMPLETE
93,-0.14006769068518463,2025-12-04 20:18:44.957169,2025-12-04 20:18:45.055901,0 days 00:00:00.098732,none,381.54872344363866,none,COMPLETE
94,-0.07458318944622262,2025-12-04 20:18:45.056902,2025-12-04 20:18:45.153027,0 days 00:00:00.096125,none,940.0884321739804,none,COMPLETE
95,-0.09221948739192405,2025-12-04 20:18:45.154027,2025-12-04 20:18:45.246714,0 days 00:00:00.092687,none,699.5509922925578,none,COMPLETE
96,-0.12625255145655237,2025-12-04 20:18:45.248219,2025-12-04 20:18:45.342888,0 days 00:00:00.094669,none,444.9619596183535,none,COMPLETE
97,-0.1840130562631217,2025-12-04 20:18:45.344440,2025-12-04 20:18:45.440023,0 days 00:00:00.095583,none,251.63892168453336,none,COMPLETE
98,-4.9016185202517315,2025-12-04 20:18:45.441023,2025-12-04 20:18:45.538102,0 days 00:00:00.097079,none,0.7647012493484104,none,COMPLETE
99,-7691.003339834259,2025-12-04 20:18:45.539108,2025-12-04 20:18:47.285293,0 days 00:00:01.746185,medium,993.3059310276024,medium,COMPLETE
