number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
58,-0.0022352445993939485,2025-12-04 19:12:08.209168,2025-12-04 19:12:08.666821,0 days 00:00:00.457653,0.0006365605978339866,0.4151281067566902,simple2,COMPLETE
59,-0.2810805224846657,2025-12-04 19:12:08.668323,2025-12-04 19:12:10.824197,0 days 00:00:02.155874,0.00016952035119912712,0.6419604177466672,medium,COMPLETE
60,0.0023508416416762787,2025-12-04 19:12:10.825196,2025-12-04 19:12:10.928479,0 days 00:00:00.103283,0.0011689574942573295,0.46961592081725567,none,COMPLETE
61,0.002865576638954518,2025-12-04 19:12:10.929479,2025-12-04 19:12:11.075457,0 days 00:00:00.145978,0.000888043374952661,0.5302226963276091,simple,COMPLETE
62,0.0014002633464869074,2025-12-04 19:12:11.076457,2025-12-04 19:12:11.454580,0 days 00:00:00.378123,0.0011366069035902782,0.5352389832619757,simple2,COMPLETE
63,-0.027637666683715145,2025-12-04 19:12:11.455587,2025-12-04 19:12:13.713059,0 days 00:00:02.257472,0.0007624457257988493,0.4698148342752704,medium,COMPLETE
64,-0.0009470627492772868,2025-12-04 19:12:13.714055,2025-12-04 19:12:13.813925,0 days 00:00:00.099870,0.0038745421970128304,0.5885879555208144,none,COMPLETE
65,0.0013395070523753994,2025-12-04 19:12:13.814925,2025-12-04 19:12:13.965924,0 days 00:00:00.150999,0.0014009341988308818,0.5093468484774213,simple,COMPLETE
66,-0.016420048004048615,2025-12-04 19:12:13.970438,2025-12-04 19:12:14.391201,0 days 00:00:00.420763,0.0004158436421470267,0.45233567896927485,simple2,COMPLETE
67,-0.3118671567679594,2025-12-04 19:12:14.392204,2025-12-04 19:12:16.640540,0 days 00:00:02.248336,0.0002542915890110117,0.398772624558722,medium,COMPLETE
68,0.0034711710321517764,2025-12-04 19:12:16.641540,2025-12-04 19:12:16.744893,0 days 00:00:00.103353,0.000608055846873448,0.6704242037219785,none,COMPLETE
69,0.0036760204006370443,2025-12-04 19:12:16.745893,2025-12-04 19:12:16.912736,0 days 00:00:00.166843,0.0006252526011662769,0.5708637629944079,simple,COMPLETE
70,0.0020713658486411677,2025-12-04 19:12:16.913740,2025-12-04 19:12:17.287486,0 days 00:00:00.373746,0.0005830234247947722,0.6521625653604918,simple2,COMPLETE
71,-0.011606967250485822,2025-12-04 19:12:17.288486,2025-12-04 19:12:19.133706,0 days 00:00:01.845220,0.0007442079993408243,0.5708089375119428,medium,COMPLETE
72,-0.11891437253794386,2025-12-04 19:12:19.134285,2025-12-04 19:12:19.253124,0 days 00:00:00.118839,0.00014090236022221866,0.6104882040131514,none,COMPLETE
73,0.0008571108460809403,2025-12-04 19:12:19.254631,2025-12-04 19:12:19.401839,0 days 00:00:00.147208,0.00036972067842576086,0.7498017446822927,simple,COMPLETE
74,-0.0009470627492772868,2025-12-04 19:12:19.402846,2025-12-04 19:12:19.768685,0 days 00:00:00.365839,0.0017231556025243606,0.6956531955264325,simple2,COMPLETE
75,-0.0009470627492772868,2025-12-04 19:12:19.769189,2025-12-04 19:12:21.565150,0 days 00:00:01.795961,0.002686799894773381,0.6646131194648597,medium,COMPLETE
76,-0.04931273987040471,2025-12-04 19:12:21.566270,2025-12-04 19:12:21.684865,0 days 00:00:00.118595,0.00024787788506768215,0.4934462833553016,none,COMPLETE
77,0.0036921291694593053,2025-12-04 19:12:21.685445,2025-12-04 19:12:21.848629,0 days 00:00:00.163184,0.0005919408424679933,0.6152315921664707,simple,COMPLETE
78,0.0016508359381923743,2025-12-04 19:12:21.849632,2025-12-04 19:12:22.245648,0 days 00:00:00.396016,0.0008496282295253489,0.621064074184439,simple2,COMPLETE
79,-0.020475400034599727,2025-12-04 19:12:22.246649,2025-12-04 19:12:24.051012,0 days 00:00:01.804363,0.0005616098325457164,0.6811379111222836,medium,COMPLETE
80,-0.20151120373502338,2025-12-04 19:12:24.052516,2025-12-04 19:12:24.178515,0 days 00:00:00.125999,0.00010240081602034804,0.5943950649161159,none,COMPLETE
81,0.00041064874677154695,2025-12-04 19:12:24.179136,2025-12-04 19:12:24.320443,0 days 00:00:00.141307,0.0014974705155101722,0.5467502466117774,simple,COMPLETE
82,0.001945480491779672,2025-12-04 19:12:24.321443,2025-12-04 19:12:24.689178,0 days 00:00:00.367735,0.0010121957313952012,0.4322286904593451,simple2,COMPLETE
83,-0.09825366421167432,2025-12-04 19:12:24.690819,2025-12-04 19:12:26.866113,0 days 00:00:02.175294,0.00041899456614234525,0.4650249820207242,medium,COMPLETE
84,0.0034382117343319716,2025-12-04 19:12:26.867616,2025-12-04 19:12:26.985155,0 days 00:00:00.117539,0.0006367691998870893,0.5713047012413989,none,COMPLETE
85,0.002918168857136768,2025-12-04 19:12:26.986157,2025-12-04 19:12:27.133302,0 days 00:00:00.147145,0.0006472126587926861,0.719464811641582,simple,COMPLETE
86,-0.01179019540681081,2025-12-04 19:12:27.134862,2025-12-04 19:12:27.562429,0 days 00:00:00.427567,0.00027856819347290364,0.7333231668119031,simple2,COMPLETE
87,0.00030973132356019545,2025-12-04 19:12:27.563429,2025-12-04 19:12:29.317260,0 days 00:00:01.753831,0.0007280425018427317,0.8221513529595387,medium,COMPLETE
88,0.003381512090111246,2025-12-04 19:12:29.317260,2025-12-04 19:12:29.418748,0 days 00:00:00.101488,0.000561848668675477,0.6244408237575501,none,COMPLETE
89,0.0034845608467560054,2025-12-04 19:12:29.419753,2025-12-04 19:12:29.567472,0 days 00:00:00.147719,0.0005271869606931304,0.7887768030381578,simple,COMPLETE
90,-0.048596780953198936,2025-12-04 19:12:29.568568,2025-12-04 19:12:30.014687,0 days 00:00:00.446119,0.00021757286758785266,0.6744176378178642,simple2,COMPLETE
91,-0.0161963795608685,2025-12-04 19:12:30.016191,2025-12-04 19:12:31.855163,0 days 00:00:01.838972,0.0005600308024182748,0.7136369529962852,medium,COMPLETE
92,-0.006961488992118754,2025-12-04 19:12:31.856164,2025-12-04 19:12:31.970820,0 days 00:00:00.114656,0.0003397307252493003,0.6297427250297067,none,COMPLETE
93,0.0037012269080534863,2025-12-04 19:12:31.971821,2025-12-04 19:12:32.116691,0 days 00:00:00.144870,0.0004999732379442992,0.7859194059054108,simple,COMPLETE
94,0.001997023849996301,2025-12-04 19:12:32.117690,2025-12-04 19:12:32.487690,0 days 00:00:00.370000,0.0004616591521912299,0.8021185637963019,simple2,COMPLETE
95,-0.0015007985994786033,2025-12-04 19:12:32.488691,2025-12-04 19:12:34.306236,0 days 00:00:01.817545,0.0006447241704001435,0.7873633514686709,medium,COMPLETE
96,-0.0009470627492772868,2025-12-04 19:12:34.307236,2025-12-04 19:12:34.409420,0 days 00:00:00.102184,7.42027159169058,0.8613739113903136,none,COMPLETE
97,-0.0009470627492772868,2025-12-04 19:12:34.411004,2025-12-04 19:12:34.556936,0 days 00:00:00.145932,0.002034414776155517,0.7373402591839265,simple,COMPLETE
98,-0.0030957704817364076,2025-12-04 19:12:34.557937,2025-12-04 19:12:34.936973,0 days 00:00:00.379036,0.00033064830181135223,0.7734291031918956,simple2,COMPLETE
99,-0.2657786151830815,2025-12-04 19:12:34.938979,2025-12-04 19:12:37.031939,0 days 00:00:02.092960,0.0001600872703600031,0.7102457360432763,medium,COMPLETE
