number,value,datetime_start,datetime_complete,duration,params_feature_level,user_attrs_feature_level,state
63,-7.64101011520447,2025-12-04 20:18:05.583176,2025-12-04 20:18:05.714824,0 days 00:00:00.131648,none,none,COMPLETE
64,-9.96272628844387,2025-12-04 20:18:05.715852,2025-12-04 20:18:05.908870,0 days 00:00:00.193018,simple,simple,COMPLETE
65,-7.64101011520447,2025-12-04 20:18:05.909874,2025-12-04 20:18:06.048421,0 days 00:00:00.138547,none,none,COMPLETE
66,-7.64101011520447,2025-12-04 20:18:06.049425,2025-12-04 20:18:06.177461,0 days 00:00:00.128036,none,none,COMPLETE
67,-21745751.799559038,2025-12-04 20:18:06.178461,2025-12-04 20:18:08.790935,0 days 00:00:02.612474,medium,medium,COMPLETE
68,-7.64101011520447,2025-12-04 20:18:08.790935,2025-12-04 20:18:08.940374,0 days 00:00:00.149439,none,none,COMPLETE
69,-7.64101011520447,2025-12-04 20:18:08.941374,2025-12-04 20:18:09.073619,0 days 00:00:00.132245,none,none,COMPLETE
70,-11.280007133069331,2025-12-04 20:18:09.074619,2025-12-04 20:18:09.492891,0 days 00:00:00.418272,simple2,simple2,COMPLETE
71,-7.64101011520447,2025-12-04 20:18:09.493891,2025-12-04 20:18:09.622865,0 days 00:00:00.128974,none,none,COMPLETE
72,-7.64101011520447,2025-12-04 20:18:09.623866,2025-12-04 20:18:09.751722,0 days 00:00:00.127856,none,none,COMPLETE
73,-7.64101011520447,2025-12-04 20:18:09.752727,2025-12-04 20:18:09.883414,0 days 00:00:00.130687,none,none,COMPLETE
74,-7.64101011520447,2025-12-04 20:18:09.884917,2025-12-04 20:18:10.023087,0 days 00:00:00.138170,none,none,COMPLETE
75,-7.64101011520447,2025-12-04 20:18:10.024088,2025-12-04 20:18:10.154589,0 days 00:00:00.130501,none,none,COMPLETE
76,-9.96272628844387,2025-12-04 20:18:10.155590,2025-12-04 20:18:10.340268,0 days 00:00:00.184678,simple,simple,COMPLETE
77,-7.64101011520447,2025-12-04 20:18:10.341268,2025-12-04 20:18:10.470537,0 days 00:00:00.129269,none,none,COMPLETE
78,-7.64101011520447,2025-12-04 20:18:10.471536,2025-12-04 20:18:10.602433,0 days 00:00:00.130897,none,none,COMPLETE
79,-7.64101011520447,2025-12-04 20:18:10.603434,2025-12-04 20:18:10.731468,0 days 00:00:00.128034,none,none,COMPLETE
80,-21745751.799559038,2025-12-04 20:18:10.732468,2025-12-04 20:18:13.413365,0 days 00:00:02.680897,medium,medium,COMPLETE
81,-7.64101011520447,2025-12-04 20:18:13.413365,2025-12-04 20:18:13.552538,0 days 00:00:00.139173,none,none,COMPLETE
82,-7.64101011520447,2025-12-04 20:18:13.553541,2025-12-04 20:18:13.686564,0 days 00:00:00.133023,none,none,COMPLETE
