number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
64,-7.64101011520447,2025-12-04 19:08:54.493129,2025-12-04 19:08:54.630384,0 days 00:00:00.137255,none,COMPLETE
65,-9.96272628844387,2025-12-04 19:08:54.630886,2025-12-04 19:08:54.836564,0 days 00:00:00.205678,simple,COMPLETE
66,-11.280007133069331,2025-12-04 19:08:54.837568,2025-12-04 19:08:55.293678,0 days 00:00:00.456110,simple2,COMPLETE
67,-21745751.799559038,2025-12-04 19:08:55.294678,2025-12-04 19:08:57.920892,0 days 00:00:02.626214,medium,COMPLETE
68,-7.64101011520447,2025-12-04 19:08:57.921889,2025-12-04 19:08:58.055701,0 days 00:00:00.133812,none,COMPLETE
69,-9.96272628844387,2025-12-04 19:08:58.056702,2025-12-04 19:08:58.251667,0 days 00:00:00.194965,simple,COMPLETE
70,-11.280007133069331,2025-12-04 19:08:58.251667,2025-12-04 19:08:58.703791,0 days 00:00:00.452124,simple2,COMPLETE
71,-21745751.799559038,2025-12-04 19:08:58.704792,2025-12-04 19:09:01.341603,0 days 00:00:02.636811,medium,COMPLETE
72,-7.64101011520447,2025-12-04 19:09:01.342604,2025-12-04 19:09:01.476513,0 days 00:00:00.133909,none,COMPLETE
73,-9.96272628844387,2025-12-04 19:09:01.477513,2025-12-04 19:09:01.681152,0 days 00:00:00.203639,simple,COMPLETE
74,-11.280007133069331,2025-12-04 19:09:01.682153,2025-12-04 19:09:02.128712,0 days 00:00:00.446559,simple2,COMPLETE
75,-21745751.799559038,2025-12-04 19:09:02.130215,2025-12-04 19:09:04.838821,0 days 00:00:02.708606,medium,COMPLETE
76,-7.64101011520447,2025-12-04 19:09:04.839821,2025-12-04 19:09:05.021720,0 days 00:00:00.181899,none,COMPLETE
77,-9.96272628844387,2025-12-04 19:09:05.022729,2025-12-04 19:09:05.221270,0 days 00:00:00.198541,simple,COMPLETE
78,-11.280007133069331,2025-12-04 19:09:05.222270,2025-12-04 19:09:05.670327,0 days 00:00:00.448057,simple2,COMPLETE
79,-21745751.799559038,2025-12-04 19:09:05.671328,2025-12-04 19:09:08.366204,0 days 00:00:02.694876,medium,COMPLETE
80,-7.64101011520447,2025-12-04 19:09:08.367204,2025-12-04 19:09:08.498316,0 days 00:00:00.131112,none,COMPLETE
81,-9.96272628844387,2025-12-04 19:09:08.499316,2025-12-04 19:09:08.699606,0 days 00:00:00.200290,simple,COMPLETE
82,-11.280007133069331,2025-12-04 19:09:08.701111,2025-12-04 19:09:09.153252,0 days 00:00:00.452141,simple2,COMPLETE
83,-21745751.799559038,2025-12-04 19:09:09.153755,2025-12-04 19:09:11.844434,0 days 00:00:02.690679,medium,COMPLETE
84,-7.64101011520447,2025-12-04 19:09:11.845425,2025-12-04 19:09:11.982007,0 days 00:00:00.136582,none,COMPLETE
85,-9.96272628844387,2025-12-04 19:09:11.983007,2025-12-04 19:09:12.186003,0 days 00:00:00.202996,simple,COMPLETE
86,-11.280007133069331,2025-12-04 19:09:12.187003,2025-12-04 19:09:12.643670,0 days 00:00:00.456667,simple2,COMPLETE
87,-21745751.799559038,2025-12-04 19:09:12.644670,2025-12-04 19:09:15.355442,0 days 00:00:02.710772,medium,COMPLETE
88,-7.64101011520447,2025-12-04 19:09:15.356442,2025-12-04 19:09:15.488802,0 days 00:00:00.132360,none,COMPLETE
89,-9.96272628844387,2025-12-04 19:09:15.489802,2025-12-04 19:09:15.692567,0 days 00:00:00.202765,simple,COMPLETE
90,-11.280007133069331,2025-12-04 19:09:15.693567,2025-12-04 19:09:16.147337,0 days 00:00:00.453770,simple2,COMPLETE
91,-21745751.799559038,2025-12-04 19:09:16.148337,2025-12-04 19:09:18.860589,0 days 00:00:02.712252,medium,COMPLETE
92,-7.64101011520447,2025-12-04 19:09:18.861591,2025-12-04 19:09:18.999764,0 days 00:00:00.138173,none,COMPLETE
93,-9.96272628844387,2025-12-04 19:09:19.000764,2025-12-04 19:09:19.191859,0 days 00:00:00.191095,simple,COMPLETE
94,-11.280007133069331,2025-12-04 19:09:19.192859,2025-12-04 19:09:19.617041,0 days 00:00:00.424182,simple2,COMPLETE
95,-21745751.799559038,2025-12-04 19:09:19.618107,2025-12-04 19:09:22.272408,0 days 00:00:02.654301,medium,COMPLETE
96,-7.64101011520447,2025-12-04 19:09:22.272408,2025-12-04 19:09:22.406226,0 days 00:00:00.133818,none,COMPLETE
97,-9.96272628844387,2025-12-04 19:09:22.407225,2025-12-04 19:09:22.611198,0 days 00:00:00.203973,simple,COMPLETE
98,-11.280007133069331,2025-12-04 19:09:22.612197,2025-12-04 19:09:23.076008,0 days 00:00:00.463811,simple2,COMPLETE
99,-21745751.799559038,2025-12-04 19:09:23.077007,2025-12-04 19:09:25.733726,0 days 00:00:02.656719,medium,COMPLETE
