number,value,datetime_start,datetime_complete,duration,params_feature_level,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
27,-0.003956088832073694,2025-12-04 21:20:40.067892,2025-12-04 21:22:05.968926,0 days 00:01:25.901034,advanced,0.8335069501753098,0.017856731705023346,7,16,3197,1.2731195405452498,15.402704125401575,0.7515818604626588,advanced,COMPLETE
28,-0.024155502577960137,2025-12-04 21:22:05.970926,2025-12-04 21:23:22.702096,0 days 00:01:16.731170,medium,0.5394149190533061,0.011181265811498963,5,14,2740,0.7462162750352495,6.3151868899959505,0.8563315013576789,medium,COMPLETE
29,-0.0009650073081608479,2025-12-04 21:23:22.703097,2025-12-04 21:24:19.656665,0 days 00:00:56.953568,extensive,0.7833427443874608,0.00365848568431283,10,17,2414,1.8872731611968752,3.4538726224771716,0.8066042419948417,extensive,COMPLETE
30,-0.0009470627425554786,2025-12-04 21:24:19.658666,2025-12-04 21:24:55.342487,0 days 00:00:35.683821,advanced,0.6594080935262543,0.007455004255058162,6,19,1833,2.360876983984982,1.8385065277410564,0.6719099377120754,advanced,COMPLETE
31,-0.0004916151317659138,2025-12-04 21:24:55.343990,2025-12-04 21:26:42.897994,0 days 00:01:47.554004,advanced,0.7290836888448678,0.003917585023002092,6,7,3995,1.389480559571393,14.314897971078796,0.747053838068998,advanced,COMPLETE
32,-0.0011194038567460634,2025-12-04 21:26:42.900504,2025-12-04 21:28:33.125088,0 days 00:01:50.224584,advanced,0.737060356226175,0.0040885714621578285,7,5,3740,1.3428059303987965,12.021596534155167,0.7549527002195807,advanced,COMPLETE
33,-0.0277824701590057,2025-12-04 21:28:33.126595,2025-12-04 21:32:42.761529,0 days 00:04:09.634934,advanced,0.7092179439548278,0.005871576376792625,6,6,3420,0.644624780651041,8.404855799101908,0.5531041689717652,advanced,COMPLETE
34,-0.02317813418326768,2025-12-04 21:32:42.763518,2025-12-04 21:35:59.302253,0 days 00:03:16.538735,advanced,0.8433575416767418,0.008820012361503109,5,10,3965,0.8558059808550146,5.355198912262599,0.602525917861536,advanced,COMPLETE
35,-0.0010019748196467375,2025-12-04 21:35:59.303251,2025-12-04 21:37:24.596774,0 days 00:01:25.293523,advanced,0.6411751582484176,0.0017457808048577095,7,12,3737,1.7880481709783045,14.520974048382895,0.8656063914879104,advanced,COMPLETE
36,-0.001656152320934634,2025-12-04 21:37:24.599440,2025-12-04 21:38:47.372472,0 days 00:01:22.773032,medium,0.8925873599114315,0.004522710130066737,4,3,3500,1.1562148812818136,14.495537486741336,0.8185578002178922,medium,COMPLETE
37,-0.0009470627425554786,2025-12-04 21:38:47.374153,2025-12-04 21:39:44.333850,0 days 00:00:56.959697,advanced,0.5726865538373536,0.01637013112651553,8,15,2681,2.888717419789387,3.457288569060832,0.6926943840858089,advanced,COMPLETE
38,-0.0005105778675063751,2025-12-04 21:39:44.334869,2025-12-04 21:40:24.257009,0 days 00:00:39.922140,extensive,0.7701190876882721,0.00648946729929852,9,19,1043,1.4719497026410187,9.234374345001081,0.7667856467909088,extensive,COMPLETE
39,-0.011157849542141607,2025-12-04 21:40:24.258014,2025-12-04 21:42:37.841164,0 days 00:02:13.583150,extensive,0.6700884224728136,0.006405306213343755,9,5,745,0.4951547187039298,0.18224780682598768,0.7355648562927571,extensive,COMPLETE
40,-0.013822065359110866,2025-12-04 21:42:37.842670,2025-12-04 21:45:32.125905,0 days 00:02:54.283235,extensive,0.6268262634086222,0.002965481573343496,9,17,1120,0.12408157095577588,5.437850348794593,0.6397684261556966,extensive,COMPLETE
41,-0.0002505616757061402,2025-12-04 21:45:32.127905,2025-12-04 21:46:14.906586,0 days 00:00:42.778681,extensive,0.7491465543952058,0.010622214508162899,10,19,1971,1.469084059507108,8.985351190423495,0.7850667962683822,extensive,COMPLETE
42,-0.00015539469725104707,2025-12-04 21:46:14.907586,2025-12-04 21:46:43.810749,0 days 00:00:28.903163,extensive,0.7873665403462494,0.009991664995260848,10,19,1115,1.396337387406754,8.809027776001075,0.7689051860317547,extensive,COMPLETE
43,-0.0012528405072632272,2025-12-04 21:46:43.812253,2025-12-04 21:47:11.689147,0 days 00:00:27.876894,extensive,0.7212101797056043,0.02129468120325739,10,20,1061,1.3219312715209914,9.412204255702214,0.7845108643035373,extensive,COMPLETE
44,-0.0009307507855488654,2025-12-04 21:47:11.690651,2025-12-04 21:47:46.645164,0 days 00:00:34.954513,extensive,0.7965046620399795,0.010410536871023954,9,18,1981,1.927304726587999,3.9130756431831073,0.5634302886824186,extensive,COMPLETE
45,-0.0009470627425554786,2025-12-04 21:47:46.646168,2025-12-04 21:48:18.856334,0 days 00:00:32.210166,extensive,0.8621981779972799,0.006237301733646894,10,16,1674,2.4429499138304753,0.708111283261187,0.7151518886699508,extensive,COMPLETE
46,-0.0003330373307352345,2025-12-04 21:48:18.858008,2025-12-04 21:48:40.188834,0 days 00:00:21.330826,extensive,0.7815934703029643,0.004516470338776829,10,10,239,0.9762162257203592,6.3605494456466305,0.7814193263701122,extensive,COMPLETE
47,-0.0001874094333242556,2025-12-04 21:48:40.189834,2025-12-04 21:49:08.810775,0 days 00:00:28.620941,extensive,0.38287392054459174,0.0018776575170946623,10,10,539,1.0244332803476726,6.309819444901805,0.8284331438064274,extensive,COMPLETE
48,0.00010741610827635917,2025-12-04 21:49:08.811777,2025-12-04 21:49:35.537257,0 days 00:00:26.725480,extensive,0.30772985787886054,0.0015944633829823559,10,10,330,0.5653141462664635,2.7511313122378387,0.7291618755219131,extensive,COMPLETE
49,-0.00037925605824584707,2025-12-04 21:49:35.538761,2025-12-04 21:50:02.844694,0 days 00:00:27.305933,extensive,0.40942527145520347,0.0014159252289785297,10,11,203,0.36291770051108174,2.651888159387086,0.6878415848745272,extensive,COMPLETE
50,4.305614389758331e-05,2025-12-04 21:50:02.846196,2025-12-04 21:50:36.273435,0 days 00:00:33.427239,extensive,0.3615604310850698,0.0020785587705261593,10,10,407,0.6259597935770496,4.511293622584965,0.8001946590403743,extensive,COMPLETE
51,-0.00010235887557648778,2025-12-04 21:50:36.274436,2025-12-04 21:51:23.680311,0 days 00:00:47.405875,extensive,0.36177355283500107,0.0020211939819807095,10,10,497,0.49137330134244916,4.824192354212384,0.7984947965363687,extensive,COMPLETE
52,9.57726161073813e-05,2025-12-04 21:51:23.681816,2025-12-04 21:52:09.624953,0 days 00:00:45.943137,extensive,0.35445308455711344,0.0021624400885364454,10,9,498,0.5053636400738376,4.02492257070373,0.824139605163984,extensive,COMPLETE
53,0.00026836160722243374,2025-12-04 21:52:09.625413,2025-12-04 21:52:47.662185,0 days 00:00:38.036772,extensive,0.3652889520069668,0.002003037319184333,10,9,437,0.5635028367427792,4.387770789027782,0.8118822733553704,extensive,COMPLETE
54,-0.000737114520800645,2025-12-04 21:52:47.663781,2025-12-04 21:53:28.591329,0 days 00:00:40.927548,extensive,0.3036155251835401,0.0010702405097148182,9,9,468,0.013471494692259722,4.415076686161777,0.72393222427646,extensive,COMPLETE
55,-3.764626429884436e-05,2025-12-04 21:53:28.592330,2025-12-04 21:54:05.887599,0 days 00:00:37.295269,extensive,0.35823000948918804,0.002022130996137733,10,12,438,0.5707543271175466,2.3083715645683145,0.8001823113239774,extensive,COMPLETE
56,0.00012146918377068754,2025-12-04 21:54:05.889113,2025-12-04 21:54:42.053661,0 days 00:00:36.164548,extensive,0.36517950395108406,0.0020859902381274364,10,12,443,0.6068268781001992,2.0883397805387562,0.804093108684072,extensive,COMPLETE
57,-0.0009899494199158514,2025-12-04 21:54:42.056173,2025-12-04 21:56:36.122618,0 days 00:01:54.066445,extensive,0.42322523870170964,0.0014975951230506849,9,12,789,0.20601303439256125,2.0947923797744985,0.8756094429929033,extensive,COMPLETE
58,0.00014622170815100274,2025-12-04 21:56:36.124125,2025-12-04 21:57:04.829445,0 days 00:00:28.705320,extensive,0.3326633110987589,0.0013092408452031006,9,12,389,0.6542174271123183,1.5787360330045686,0.8446777756983938,extensive,COMPLETE
59,5.631035011995541e-05,2025-12-04 21:57:04.830949,2025-12-04 21:57:56.096422,0 days 00:00:51.265473,extensive,0.3201170084492222,0.0012653600499725843,9,9,908,0.7532354599072477,1.2502485098453748,0.833024662018064,extensive,COMPLETE
60,-0.00040986287376224934,2025-12-04 21:57:56.098426,2025-12-04 21:58:32.358601,0 days 00:00:36.260175,extensive,0.32300621970590726,0.001291100878489556,8,8,894,0.7976070157077759,1.159344524247269,0.4651518809276669,extensive,COMPLETE
61,-0.0005378709332815775,2025-12-04 21:58:32.359601,2025-12-04 21:59:19.589745,0 days 00:00:47.230144,extensive,0.3385537880207284,0.0022897518964884486,9,9,408,0.32031939651496444,1.506798858752914,0.8417751128177894,extensive,COMPLETE
62,0.0003178698848971632,2025-12-04 21:59:19.591133,2025-12-04 22:00:40.203960,0 days 00:01:20.612827,extensive,0.3905558340653929,0.0010016483104445999,9,13,613,0.22296932208448578,2.8846710544616174,0.829798588417914,extensive,COMPLETE
63,4.263152904585935e-05,2025-12-04 22:00:40.204462,2025-12-04 22:01:59.191050,0 days 00:01:18.986588,extensive,0.3902636476097762,0.0011940921960442259,9,13,616,0.24661176087000375,1.73858874059552,0.8379451957591371,extensive,COMPLETE
