number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
45,-0.0007475543465608562,2025-12-04 19:20:02.620951,2025-12-04 19:20:07.860623,0 days 00:00:05.239672,0.6076978950068089,0.03588520152940266,7,24,1695,69,1.1865293674360475,1.6012846726270518,0.8194303327978071,medium,COMPLETE
46,-0.0006785333316695249,2025-12-04 19:20:07.861625,2025-12-04 19:20:17.872730,0 days 00:00:10.011105,0.6885273623227558,0.026159369819115895,8,25,1809,69,1.3099020743593384,1.7278201468226957,0.8457893461842667,advanced,COMPLETE
47,-0.0009492669777335649,2025-12-04 19:20:17.873232,2025-12-04 19:20:28.553303,0 days 00:00:10.680071,0.6768327812068917,0.04384908133527582,6,24,1814,69,1.8259414086783448,1.7168318773802034,0.8474138050832299,extensive,COMPLETE
48,-0.010135683909394086,2025-12-04 19:20:28.553303,2025-12-04 19:20:33.703024,0 days 00:00:05.149721,0.6519948792121484,0.02661969651406998,7,31,1341,61,0.6175724355116722,2.6974189755034157,0.7867806698927493,medium,COMPLETE
49,-0.0008675246273212404,2025-12-04 19:20:33.705024,2025-12-04 19:20:44.520893,0 days 00:00:10.815869,0.6861109332629941,0.023041892047468975,7,35,2037,84,1.3731368650411557,1.8046363155129919,0.8642988060545811,advanced,COMPLETE
50,-0.0009470627455911244,2025-12-04 19:20:44.521893,2025-12-04 19:20:54.603185,0 days 00:00:10.081292,0.7268566668874217,0.03609540637991434,9,25,1608,71,2.1284887157572467,1.034562851654899,0.9400541927375621,extensive,COMPLETE
51,-0.0005420934878601624,2025-12-04 19:20:54.605185,2025-12-04 19:20:59.965293,0 days 00:00:05.360108,0.6206159089728702,0.029339426553910933,8,16,1777,66,1.1096024176456103,1.1446407408004025,0.8249277545980963,medium,COMPLETE
52,-0.004484651800208368,2025-12-04 19:20:59.966293,2025-12-04 19:21:10.090673,0 days 00:00:10.124380,0.6000142478834717,0.029476018862396144,8,20,1804,61,0.7741896084426361,0.7136300050754585,0.816670104453846,advanced,COMPLETE
53,-0.0004279362659858806,2025-12-04 19:21:10.092179,2025-12-04 19:21:18.222930,0 days 00:00:08.130751,0.6810145200138557,0.04571394146833006,9,33,1087,66,1.282236945929099,1.4274040685722784,0.8374256250232149,extensive,COMPLETE
54,-0.000995607847322703,2025-12-04 19:21:18.224439,2025-12-04 19:21:22.365393,0 days 00:00:04.140954,0.7331019944483848,0.059635916625548874,9,34,1079,66,1.4363767738189166,0.5048541482537237,0.9031830820447495,medium,COMPLETE
55,-0.04575773216791686,2025-12-04 19:21:22.366395,2025-12-04 19:21:36.400663,0 days 00:00:14.034268,0.6609561011468018,0.04658246749962375,8,14,1507,53,0.29752027375134227,0.9575771833744052,0.7735982514286406,advanced,COMPLETE
56,-0.0009605273482798937,2025-12-04 19:21:36.401665,2025-12-04 19:21:45.123978,0 days 00:00:08.722313,0.6878913172127422,0.025186850971487915,9,40,1215,80,0.9537076306229799,2.966958494907513,0.8400660340197824,extensive,COMPLETE
57,-0.0009811911014355375,2025-12-04 19:21:45.126016,2025-12-04 19:21:50.703036,0 days 00:00:05.577020,0.663775979702301,0.020394774197358155,8,18,1942,73,1.7674182670406462,2.0208930700292758,0.89563571811426,medium,COMPLETE
58,-0.0006188072636907534,2025-12-04 19:21:50.704037,2025-12-04 19:22:01.906116,0 days 00:00:11.202079,0.6410534359646193,0.04146705765018729,10,30,2172,88,1.2490933822029016,1.44464500340468,0.7284629203446314,advanced,COMPLETE
59,-0.013006507223828493,2025-12-04 19:22:01.907620,2025-12-04 19:22:14.251555,0 days 00:00:12.343935,0.6414329768470556,0.04184948387356312,10,31,2106,88,0.6357253094700599,1.2932508152274436,0.7337211227051411,extensive,COMPLETE
60,-0.0009470627455911244,2025-12-04 19:22:14.252556,2025-12-04 19:22:21.507060,0 days 00:00:07.254504,0.624125086043557,0.05930034273115741,10,10,2831,96,2.014238463834163,3.914516526986746,0.7958568263635406,medium,COMPLETE
61,-0.0006860760942721811,2025-12-04 19:22:21.508063,2025-12-04 19:22:30.548891,0 days 00:00:09.040828,0.6907741680465428,0.030587860335498675,9,26,1538,59,1.291774059271409,1.4530705219186668,0.8608598458641437,advanced,COMPLETE
62,-0.0009880734278816898,2025-12-04 19:22:30.551442,2025-12-04 19:22:42.241743,0 days 00:00:11.690301,0.6715380827921733,0.0339354397349009,11,37,2171,74,1.5500309513970023,0.6910997237177893,0.7681817628804158,extensive,COMPLETE
63,-0.0005916114206941936,2025-12-04 19:22:42.242744,2025-12-04 19:22:47.810117,0 days 00:00:05.567373,0.6513066950871288,0.04713411341474715,8,22,1875,64,1.0217183948383737,2.1235338863748416,0.7998255989043644,medium,COMPLETE
64,-0.000945434889575251,2025-12-04 19:22:47.812120,2025-12-04 19:22:57.897938,0 days 00:00:10.085818,0.5921846668298735,0.06899542221788413,9,22,1934,56,1.0335480265864532,2.321089261975908,0.7297199775277625,advanced,COMPLETE
65,-0.0059428803761436555,2025-12-04 19:22:57.900448,2025-12-04 19:23:07.374657,0 days 00:00:09.474209,0.6078327030565549,0.04795059909289068,7,19,1408,65,0.7741782574028689,0.9207562594280692,0.7971918690656163,extensive,COMPLETE
66,-0.03437790341459901,2025-12-04 19:23:07.376661,2025-12-04 19:23:15.533955,0 days 00:00:08.157294,0.6524514300483795,0.05581386782796991,10,13,2343,94,0.3572178021033663,1.1884020493603495,0.8330387274398515,medium,COMPLETE
67,-0.0019518457138330374,2025-12-04 19:23:15.535957,2025-12-04 19:23:22.633842,0 days 00:00:07.097885,0.5170992535086407,0.03988383980686956,9,31,1050,78,0.82912348641627,1.9313195777633334,0.8674512368033642,advanced,COMPLETE
