number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
51,-0.000906351468928405,2025-12-04 20:30:38.775548,2025-12-04 20:30:46.928477,0 days 00:00:08.152929,medium,0.9344754884704645,0.014012844132837293,6,11,2528,30,1.0313249292216924,0.5348422903435479,0.536160067553485,medium,COMPLETE
52,-0.000738814095854227,2025-12-04 20:30:46.930477,2025-12-04 20:30:55.146920,0 days 00:00:08.216443,medium,0.8623002221625247,0.01324494670163798,7,19,2695,16,0.9855681974558516,0.49063743112610425,0.5125979674611725,medium,COMPLETE
53,-0.0006107394070643165,2025-12-04 20:30:55.147920,2025-12-04 20:31:03.715009,0 days 00:00:08.567089,medium,0.8588097757339195,0.012880496813908295,8,18,2883,17,0.9565287724302842,0.6493518044523136,0.5052305520070346,medium,COMPLETE
54,-0.001649505401417765,2025-12-04 20:31:03.716008,2025-12-04 20:31:12.119387,0 days 00:00:08.403379,medium,0.9477025299207755,0.010114473676583888,8,24,2403,17,0.7917175812562085,0.6285490749206564,0.5036044829312805,medium,COMPLETE
55,-0.06714591623791104,2025-12-04 20:31:12.120387,2025-12-04 20:31:51.394539,0 days 00:00:39.274152,medium,0.7691833549145657,0.008397728051342028,7,19,2992,21,0.21743749215518737,0.5707857023433408,0.5152840556570066,medium,COMPLETE
56,-0.02073581563789399,2025-12-04 20:31:51.395543,2025-12-04 20:32:02.726995,0 days 00:00:11.331452,medium,0.8640562385229903,0.012987079621741587,8,29,2880,29,0.5232000890303805,0.8935592583715304,0.5258009461929399,medium,COMPLETE
57,-0.0007734525200082665,2025-12-04 20:32:02.727995,2025-12-04 20:32:12.249265,0 days 00:00:09.521270,medium,0.8880546138300925,0.02206828767862947,9,15,3219,17,0.9094109029598483,0.7005997136838334,0.5618447414526158,medium,COMPLETE
58,-0.0008714791343360506,2025-12-04 20:32:12.251265,2025-12-04 20:32:21.170814,0 days 00:00:08.919549,medium,0.8147869997293863,0.022062025721262785,9,27,3209,16,1.2733649839932757,2.1900923835604194,0.5662256963856719,medium,COMPLETE
59,-0.0004662388354261064,2025-12-04 20:32:21.171814,2025-12-04 20:32:30.853713,0 days 00:00:09.681899,medium,0.8804540469054727,0.018974412569447253,9,18,3278,22,0.9066851915706197,1.5651170604250502,0.6884386904358007,medium,COMPLETE
60,-0.0013665045939509717,2025-12-04 20:32:30.856221,2025-12-04 20:32:40.927877,0 days 00:00:10.071656,medium,0.8846467059993419,0.025123075619777016,9,23,3476,21,0.8335962153261463,0.7144834348790668,0.6646424250436387,medium,COMPLETE
61,-0.0007466132437098002,2025-12-04 20:32:40.929877,2025-12-04 20:32:50.349395,0 days 00:00:09.419518,medium,0.842767253457143,0.019592778552809356,10,17,3269,24,0.926320708221654,1.4431532799688502,0.693015604413318,medium,COMPLETE
62,-0.0014034316894930843,2025-12-04 20:32:50.350394,2025-12-04 20:32:59.579425,0 days 00:00:09.229031,medium,0.8388648286093126,0.01845969537235169,10,33,3233,23,0.9380560375534762,1.390195125359223,0.6914789738608442,medium,COMPLETE
63,-0.015896114089575326,2025-12-04 20:32:59.580428,2025-12-04 20:33:11.008957,0 days 00:00:11.428529,medium,0.9031593098857398,0.02892657935921772,9,18,3584,20,0.5698194905715873,1.676188212785611,0.6983679696141478,medium,COMPLETE
64,-0.0009611585236182959,2025-12-04 20:33:11.010960,2025-12-04 20:33:20.588953,0 days 00:00:09.577993,medium,0.8772460759185187,0.03341920569584709,10,21,3335,16,1.430633617954388,2.1069299816062887,0.6544180904689061,medium,COMPLETE
65,-0.06382241099691795,2025-12-04 20:33:20.589953,2025-12-04 20:33:38.942763,0 days 00:00:18.352810,medium,0.8314241586834082,0.020259808303254877,9,27,3116,24,0.2719118492381911,1.2237087212307962,0.7284262661410182,medium,COMPLETE
66,-0.0009470627455911244,2025-12-04 20:33:38.943769,2025-12-04 20:33:49.083908,0 days 00:00:10.140139,medium,0.8069747522014322,0.01759775343109886,8,16,3854,26,1.915091608772395,3.417316728658829,0.7153258843154845,medium,COMPLETE
67,-0.0004344732559931064,2025-12-04 20:33:49.084908,2025-12-04 20:33:59.132157,0 days 00:00:10.047249,medium,0.89167515669786,0.02317620840422141,10,14,3436,21,0.8730068804164528,2.5117142788677653,0.5561754281716309,medium,COMPLETE
68,-0.008835987394547828,2025-12-04 20:33:59.133158,2025-12-04 20:34:11.427721,0 days 00:00:12.294563,medium,0.9123371872750665,0.016086182931251615,12,20,3765,33,0.6247507286656583,2.327031299556712,0.6795019553928423,medium,COMPLETE
69,-0.0008856376067927219,2025-12-04 20:34:11.429728,2025-12-04 20:34:20.690661,0 days 00:00:09.260933,medium,0.7889942418414002,0.0249948183439484,11,60,3488,21,1.3160675997503197,5.161897178070827,0.602773942962961,medium,COMPLETE
70,-0.029531175759195765,2025-12-04 20:34:20.691663,2025-12-04 20:34:41.180985,0 days 00:00:20.489322,advanced,0.8466089602446911,0.010960742321512612,10,13,1032,26,0.45118670780991976,1.5963562522801023,0.5106645229743423,advanced,COMPLETE
71,-0.0006976406816378381,2025-12-04 20:34:41.181985,2025-12-04 20:34:50.828439,0 days 00:00:09.646454,medium,0.8809452082661045,0.02253121411966398,9,17,3255,16,0.9404369658221379,0.948131037649232,0.5799670171123018,medium,COMPLETE
72,-0.002908443063756705,2025-12-04 20:34:50.829442,2025-12-04 20:34:59.931671,0 days 00:00:09.102229,medium,0.8693435896835502,0.026634296857601325,8,18,3069,20,0.759869722740298,0.9999682578376096,0.5511461030109455,medium,COMPLETE
73,-0.00741426255278325,2025-12-04 20:34:59.933670,2025-12-04 20:35:10.196477,0 days 00:00:10.262807,medium,0.8937436865096934,0.03240369226837855,10,23,3335,37,0.6540678715958539,2.746893940235742,0.5823438095165521,medium,COMPLETE
74,-0.0009470627455911244,2025-12-04 20:35:10.197482,2025-12-04 20:35:20.234913,0 days 00:00:10.037431,medium,0.8576877483923443,0.022551199618761227,9,26,3575,25,2.344033768436952,1.7966666789740244,0.6467003052897157,medium,COMPLETE
75,-0.0009793354147632864,2025-12-04 20:35:20.235913,2025-12-04 20:35:29.293832,0 days 00:00:09.057919,medium,0.9411761942632707,0.041296445078475706,10,32,2911,31,1.4910383365565825,1.253815975844514,0.6259237602484439,medium,COMPLETE
76,-0.0008594995430461309,2025-12-04 20:35:29.294834,2025-12-04 20:35:38.839821,0 days 00:00:09.544987,medium,0.8449530945081238,0.018358503572500684,11,13,3413,16,1.2396253211230712,4.340095656114346,0.7600149681025538,medium,COMPLETE
77,-0.0008315819338196769,2025-12-04 20:35:38.841822,2025-12-04 20:35:42.516370,0 days 00:00:03.674548,medium,0.8074620138898232,0.06584959929238912,8,91,754,20,0.9665339115900863,3.341086485962703,0.5746440712385902,medium,COMPLETE
78,-0.0010940184738034524,2025-12-04 20:35:42.517371,2025-12-04 20:35:51.053972,0 days 00:00:08.536601,medium,0.8953742237759861,0.020414372978407893,7,40,2806,28,0.8787881634138107,0.8890969504636166,0.5187368941673478,medium,COMPLETE
79,-0.05743605018246023,2025-12-04 20:35:51.055972,2025-12-04 20:36:36.577740,0 days 00:00:45.521768,medium,0.9814485960096313,0.007212628542603857,9,17,3725,127,0.24827187241779225,1.1110456385380147,0.7399754404752137,medium,COMPLETE
80,-0.0010407694002321961,2025-12-04 20:36:36.578740,2025-12-04 20:36:54.063770,0 days 00:00:17.485030,advanced,0.9145983833139649,0.023761525639799972,10,13,3170,38,1.6880052717193132,2.5179385847849156,0.6102085136834497,advanced,COMPLETE
81,-0.0009065110821629604,2025-12-04 20:36:54.064771,2025-12-04 20:37:03.741608,0 days 00:00:09.676837,medium,0.8884397953089582,0.021050969646244595,9,16,3301,18,1.0751235492077629,0.6111186142704008,0.5582343168362445,medium,COMPLETE
