number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lasso_alpha,user_attrs_feature_level,state
65,0.00018203713866645396,2025-12-04 20:19:07.603081,2025-12-04 20:19:07.734080,0 days 00:00:00.130999,simple,0.0008413983410681888,simple,COMPLETE
66,-0.0009470627492772868,2025-12-04 20:19:07.734080,2025-12-04 20:19:07.874924,0 days 00:00:00.140844,simple,0.0015368291140434817,simple,COMPLETE
67,-0.0009470627492772868,2025-12-04 20:19:07.875923,2025-12-04 20:19:07.979348,0 days 00:00:00.103425,none,9.712905031234849,none,COMPLETE
68,-0.08370892669413695,2025-12-04 20:19:07.981348,2025-12-04 20:19:10.094708,0 days 00:00:02.113360,medium,0.00020636796973157144,medium,COMPLETE
69,0.0037157472386087167,2025-12-04 20:19:10.095709,2025-12-04 20:19:10.255312,0 days 00:00:00.159603,simple,0.00038462888866232155,simple,COMPLETE
70,-0.000771095357407677,2025-12-04 20:19:10.256313,2025-12-04 20:19:10.444530,0 days 00:00:00.188217,simple,0.0009574512108925298,simple,COMPLETE
71,0.0036708241015409224,2025-12-04 20:19:10.445530,2025-12-04 20:19:10.594709,0 days 00:00:00.149179,simple,0.0003550099989781301,simple,COMPLETE
72,0.0036020702025352977,2025-12-04 20:19:10.596463,2025-12-04 20:19:10.730616,0 days 00:00:00.134153,simple,0.00034401633629097954,simple,COMPLETE
73,-0.05610579660952061,2025-12-04 20:19:10.731613,2025-12-04 20:19:10.883806,0 days 00:00:00.152193,simple,0.00012519159499971142,simple,COMPLETE
74,0.0020273180817297343,2025-12-04 20:19:10.883806,2025-12-04 20:19:11.028412,0 days 00:00:00.144606,simple,0.0006127419746071252,simple,COMPLETE
75,-0.004913319222509001,2025-12-04 20:19:11.029412,2025-12-04 20:19:11.171697,0 days 00:00:00.142285,simple,0.00022671336848762675,simple,COMPLETE
76,-0.0009470627492772868,2025-12-04 20:19:11.172701,2025-12-04 20:19:11.309412,0 days 00:00:00.136711,simple,0.5897039046263632,simple,COMPLETE
77,-0.0009470627492772868,2025-12-04 20:19:11.310412,2025-12-04 20:19:11.673596,0 days 00:00:00.363184,simple2,0.0012482316468637375,simple2,COMPLETE
78,-0.0009470627492772868,2025-12-04 20:19:11.674596,2025-12-04 20:19:11.813800,0 days 00:00:00.139204,simple,0.026813819112335407,simple,COMPLETE
79,0.003699256353126993,2025-12-04 20:19:11.815303,2025-12-04 20:19:11.961020,0 days 00:00:00.145717,simple,0.00039387907018301156,simple,COMPLETE
80,0.0006884692638241541,2025-12-04 20:19:11.962019,2025-12-04 20:19:12.108318,0 days 00:00:00.146299,simple,0.00027538663648221407,simple,COMPLETE
81,0.003561414904776313,2025-12-04 20:19:12.109316,2025-12-04 20:19:12.250525,0 days 00:00:00.141209,simple,0.0004082221442700512,simple,COMPLETE
82,0.0018672959064031474,2025-12-04 20:19:12.250525,2025-12-04 20:19:12.394015,0 days 00:00:00.143490,simple,0.0006393047552854836,simple,COMPLETE
83,0.0037162808470669515,2025-12-04 20:19:12.395016,2025-12-04 20:19:12.537894,0 days 00:00:00.142878,simple,0.0003803991692997585,simple,COMPLETE
84,-0.01473731205657088,2025-12-04 20:19:12.539617,2025-12-04 20:19:12.686565,0 days 00:00:00.146948,simple,0.0001881429479494766,simple,COMPLETE
85,-0.05436830435893569,2025-12-04 20:19:12.688068,2025-12-04 20:19:12.836310,0 days 00:00:00.148242,simple,0.000126693881472077,simple,COMPLETE
86,-0.0009470627492772868,2025-12-04 20:19:12.837813,2025-12-04 20:19:14.505977,0 days 00:00:01.668164,medium,0.10018277271402255,medium,COMPLETE
87,0.0021757929487157637,2025-12-04 20:19:14.507788,2025-12-04 20:19:14.658570,0 days 00:00:00.150782,simple,0.0005783039846722129,simple,COMPLETE
88,-0.0009470627492772868,2025-12-04 20:19:14.659571,2025-12-04 20:19:14.758337,0 days 00:00:00.098766,none,0.0017722174739907169,none,COMPLETE
89,-0.0012896304552052484,2025-12-04 20:19:14.758337,2025-12-04 20:19:14.895876,0 days 00:00:00.137539,simple,0.000255787966313965,simple,COMPLETE
90,0.0036969126875096756,2025-12-04 20:19:14.896876,2025-12-04 20:19:15.042748,0 days 00:00:00.145872,simple,0.0003671363022609463,simple,COMPLETE
91,0.0037122678755305096,2025-12-04 20:19:15.043748,2025-12-04 20:19:15.178542,0 days 00:00:00.134794,simple,0.0003879443351963521,simple,COMPLETE
92,0.002537310676634208,2025-12-04 20:19:15.179127,2025-12-04 20:19:15.310546,0 days 00:00:00.131419,simple,0.0005149120853269522,simple,COMPLETE
93,-0.00044771420109390725,2025-12-04 20:19:15.310546,2025-12-04 20:19:15.452905,0 days 00:00:00.142359,simple,0.000914378975761849,simple,COMPLETE
94,-0.027854330976368285,2025-12-04 20:19:15.452905,2025-12-04 20:19:15.597114,0 days 00:00:00.144209,simple,0.00016225209224068885,simple,COMPLETE
95,0.002136493877773704,2025-12-04 20:19:15.597114,2025-12-04 20:19:15.738839,0 days 00:00:00.141725,simple,0.0002934416316231596,simple,COMPLETE
96,0.0010618608716161197,2025-12-04 20:19:15.739839,2025-12-04 20:19:15.880639,0 days 00:00:00.140800,simple,0.0007478905973594945,simple,COMPLETE
97,0.00292763834963794,2025-12-04 20:19:15.881643,2025-12-04 20:19:16.032181,0 days 00:00:00.150538,simple,0.00046483669120816757,simple,COMPLETE
98,-0.0009470627492772868,2025-12-04 20:19:16.033184,2025-12-04 20:19:16.381380,0 days 00:00:00.348196,simple2,0.05941864093493942,simple2,COMPLETE
99,-0.0009470627492772868,2025-12-04 20:19:16.381380,2025-12-04 20:19:16.520402,0 days 00:00:00.139022,simple,0.001118587365041194,simple,COMPLETE
