number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
70,-20430.243531469892,2025-12-08 12:31:51.965717,2025-12-08 12:31:53.307641,0 days 00:00:01.341924,extensive,final,ols,pca_hybrid,True,COMPLETE
71,-20437.016924509284,2025-12-08 12:31:53.308644,2025-12-08 12:31:54.699915,0 days 00:00:01.391271,extensive,final,ols,pca_hybrid,True,COMPLETE
72,-20429.433835417654,2025-12-08 12:31:54.700917,2025-12-08 12:31:56.035094,0 days 00:00:01.334177,extensive,final,ols,pca_hybrid,True,COMPLETE
73,-20580.87485033111,2025-12-08 12:31:56.036230,2025-12-08 12:31:57.405590,0 days 00:00:01.369360,extensive,final,ols,pca_hybrid,True,COMPLETE
74,-20189.057558280107,2025-12-08 12:31:57.406593,2025-12-08 12:31:58.801833,0 days 00:00:01.395240,extensive,final,ols,pca_hybrid,True,COMPLETE
75,-20919.424906052507,2025-12-08 12:31:58.802833,2025-12-08 12:32:00.150726,0 days 00:00:01.347893,extensive,final,ols,pca_hybrid,True,COMPLETE
76,-20402.48108848564,2025-12-08 12:32:00.150726,2025-12-08 12:32:01.504357,0 days 00:00:01.353631,extensive,final,ols,pca_hybrid,True,COMPLETE
77,-20118.229797560674,2025-12-08 12:32:01.504357,2025-12-08 12:32:02.874213,0 days 00:00:01.369856,extensive,final,ols,pca_hybrid,True,COMPLETE
78,-20477.94021990636,2025-12-08 12:32:02.874213,2025-12-08 12:32:04.214595,0 days 00:00:01.340382,extensive,final,ols,pca_hybrid,True,COMPLETE
79,-20419.0742832655,2025-12-08 12:32:04.214595,2025-12-08 12:32:05.552914,0 days 00:00:01.338319,extensive,final,ols,pca_hybrid,True,COMPLETE
80,-20575.57448202119,2025-12-08 12:32:05.552914,2025-12-08 12:32:06.910577,0 days 00:00:01.357663,extensive,final,ols,pca_hybrid,True,COMPLETE
81,-20255.548926234445,2025-12-08 12:32:06.910577,2025-12-08 12:32:08.278625,0 days 00:00:01.368048,extensive,final,ols,pca_hybrid,True,COMPLETE
82,-20766.663408122546,2025-12-08 12:32:08.278625,2025-12-08 12:32:09.620700,0 days 00:00:01.342075,extensive,final,ols,pca_hybrid,True,COMPLETE
83,-20309.362092480817,2025-12-08 12:32:09.620700,2025-12-08 12:32:10.953055,0 days 00:00:01.332355,extensive,final,ols,pca_hybrid,True,COMPLETE
84,-21089.869025400563,2025-12-08 12:32:10.954307,2025-12-08 12:32:12.279354,0 days 00:00:01.325047,extensive,final,ols,pca_hybrid,True,COMPLETE
85,-20507.12095898617,2025-12-08 12:32:12.279354,2025-12-08 12:32:13.620672,0 days 00:00:01.341318,extensive,final,ols,pca_hybrid,True,COMPLETE
86,-20371.399636056478,2025-12-08 12:32:13.620672,2025-12-08 12:32:14.955852,0 days 00:00:01.335180,extensive,final,ols,pca_hybrid,True,COMPLETE
87,-20304.570968191645,2025-12-08 12:32:14.956654,2025-12-08 12:32:16.302049,0 days 00:00:01.345395,extensive,final,ols,pca_hybrid,True,COMPLETE
88,-20286.58316872453,2025-12-08 12:32:16.302049,2025-12-08 12:32:17.669833,0 days 00:00:01.367784,extensive,final,ols,pca_hybrid,True,COMPLETE
89,-20857.231029221017,2025-12-08 12:32:17.670907,2025-12-08 12:32:19.054830,0 days 00:00:01.383923,extensive,final,ols,pca_hybrid,True,COMPLETE
90,-20408.109695239884,2025-12-08 12:32:19.054830,2025-12-08 12:32:20.406019,0 days 00:00:01.351189,extensive,final,ols,pca_hybrid,True,COMPLETE
91,-20307.629752225672,2025-12-08 12:32:20.406019,2025-12-08 12:32:21.797800,0 days 00:00:01.391781,extensive,final,ols,pca_hybrid,True,COMPLETE
92,-20486.696050711922,2025-12-08 12:32:21.797800,2025-12-08 12:32:23.137330,0 days 00:00:01.339530,extensive,final,ols,pca_hybrid,True,COMPLETE
93,-20971.38719031691,2025-12-08 12:32:23.137836,2025-12-08 12:32:24.572054,0 days 00:00:01.434218,extensive,final,ols,pca_hybrid,True,COMPLETE
