number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
54,-0.0016559720935109083,2025-12-08 14:11:17.506117,2025-12-08 14:11:19.904212,0 days 00:00:02.398095,0.6879381278401,0.05752066211327284,9,71,3842,85,3.66587770020748,0.4332914355456109,0.8498095900707838,extensive,final,lgbm,pca_hybrid,True,COMPLETE
55,-0.5280677732934684,2025-12-08 14:11:19.904212,2025-12-08 14:11:24.793519,0 days 00:00:04.889307,0.7779304146575554,0.07898162491786327,11,53,3410,92,0.03744681936641214,0.9428695976683437,0.5729832318096466,extensive,final,lgbm,pca_hybrid,True,COMPLETE
56,-0.0016559720935109083,2025-12-08 14:11:24.794563,2025-12-08 14:11:26.743930,0 days 00:00:01.949367,0.8717782474931884,0.03134787940533165,8,92,2617,74,3.4802845929111066,2.0389527407750117,0.8217588286346466,extensive,final,lgbm,pca_hybrid,True,COMPLETE
57,-0.0016559720935109083,2025-12-08 14:11:26.745019,2025-12-08 14:11:28.524204,0 days 00:00:01.779185,0.8248453464831264,0.013761258889349329,3,75,619,81,4.916878143623001,0.3230596904637225,0.8734748193785045,extensive,final,lgbm,pca_hybrid,True,COMPLETE
58,-0.0016559720935109083,2025-12-08 14:11:28.524645,2025-12-08 14:11:30.207703,0 days 00:00:01.683058,0.8052448872466297,0.040680820535817445,7,68,2126,78,2.384546788448388,0.7023545363172593,0.6714858869113158,extensive,final,lgbm,pca_hybrid,True,COMPLETE
59,-0.0019080071260386688,2025-12-08 14:11:30.208987,2025-12-08 14:11:32.141188,0 days 00:00:01.932201,0.8557955126272938,0.0197887363537935,9,83,3142,115,1.1542629412587766,0.1927491241540315,0.72154847478558,extensive,final,lgbm,pca_hybrid,True,COMPLETE
60,-0.0016559720935109083,2025-12-08 14:11:32.141188,2025-12-08 14:11:33.958056,0 days 00:00:01.816868,0.746704515077046,0.06907965319711001,10,99,203,97,1.9426835319520341,0.15605954404743286,0.555504875321381,extensive,final,lgbm,pca_hybrid,True,COMPLETE
61,-0.0016559720935109083,2025-12-08 14:11:33.959112,2025-12-08 14:11:35.776391,0 days 00:00:01.817279,0.8440830926757208,0.011501239812728378,3,37,584,128,3.129144888586379,0.4997255888875977,0.9306173370846043,extensive,final,lgbm,pca_hybrid,True,COMPLETE
62,-0.0016559720935109083,2025-12-08 14:11:35.777482,2025-12-08 14:11:37.440494,0 days 00:00:01.663012,0.9209596943094978,0.006769860828102771,4,26,366,117,3.7882955764160435,1.4401802723545696,0.9554456966458401,extensive,final,lgbm,pca_hybrid,True,COMPLETE
63,-0.0016559720935109083,2025-12-08 14:11:37.440494,2025-12-08 14:11:39.388977,0 days 00:00:01.948483,0.8835819807133196,0.017538289875944784,4,30,2435,90,3.358312253594367,0.7406545775162429,0.982838594111325,extensive,final,lgbm,pca_hybrid,True,COMPLETE
64,-0.0016559720935109083,2025-12-08 14:11:39.388977,2025-12-08 14:11:41.038753,0 days 00:00:01.649776,0.78760037906875,0.005707451640235006,5,60,512,110,4.125401421247298,0.6553758330737312,0.633275383877834,extensive,final,lgbm,pca_hybrid,True,COMPLETE
65,-0.0016559720935109083,2025-12-08 14:11:41.038753,2025-12-08 14:11:42.724188,0 days 00:00:01.685435,0.8337045780453879,0.010271774220032148,3,41,762,105,1.5362682409843988,3.174068284726098,0.5050098472641368,extensive,final,lgbm,pca_hybrid,True,COMPLETE
66,-0.003064699863870738,2025-12-08 14:11:42.725411,2025-12-08 14:11:44.474152,0 days 00:00:01.748741,0.8605664137828921,0.008699303843613393,11,22,1186,86,0.8686448373472235,0.3811476450874771,0.5906299025547843,extensive,final,lgbm,pca_hybrid,True,COMPLETE
67,-0.0016559720935109083,2025-12-08 14:11:44.474152,2025-12-08 14:11:46.192880,0 days 00:00:01.718728,0.9492462243795363,0.09133892833486949,10,78,302,66,2.212256070355357,1.8261319340837323,0.9073945163924025,extensive,final,lgbm,pca_hybrid,True,COMPLETE
68,-0.0016559720935109083,2025-12-08 14:11:46.193892,2025-12-08 14:11:47.920200,0 days 00:00:01.726308,0.9811017175481729,0.015965849981459893,5,38,963,93,4.3151099383358025,0.5550701311756787,0.9431129514371734,extensive,final,lgbm,pca_hybrid,True,COMPLETE
69,-0.0016559720935109083,2025-12-08 14:11:47.920200,2025-12-08 14:11:49.906472,0 days 00:00:01.986272,0.7219349147217202,0.011665730923596867,6,49,721,106,3.1017585759021293,6.97643091869174,0.9639153357394179,extensive,final,lgbm,pca_hybrid,True,COMPLETE
70,-0.0016559720935109083,2025-12-08 14:11:49.906472,2025-12-08 14:11:51.971015,0 days 00:00:02.064543,0.9109356479477795,0.007365115536278514,8,32,2786,122,2.7297714597178535,1.1309254991579978,0.9902971053829088,extensive,final,lgbm,pca_hybrid,True,COMPLETE
71,-0.0016559720935109083,2025-12-08 14:11:51.971015,2025-12-08 14:11:53.777737,0 days 00:00:01.806722,0.9993928058407741,0.08722354889246844,4,95,1764,87,2.9796981388177053,0.8785080079854614,0.8557815896405557,extensive,final,lgbm,pca_hybrid,True,COMPLETE
72,-0.0016559720935109083,2025-12-08 14:11:53.778858,2025-12-08 14:11:55.505608,0 days 00:00:01.726750,0.9733932997768187,0.098992237829989,5,90,1494,83,1.77889723054802,1.252897977930716,0.8918124211264277,extensive,final,lgbm,pca_hybrid,True,COMPLETE
73,-0.0016559720935109083,2025-12-08 14:11:55.505608,2025-12-08 14:11:57.745770,0 days 00:00:02.240162,0.9608351817907931,0.053925350619676224,3,73,3639,77,2.446674310511697,0.7814268297552501,0.93925792796695,extensive,final,lgbm,pca_hybrid,True,COMPLETE
74,-0.0016559720935109083,2025-12-08 14:11:57.746966,2025-12-08 14:11:59.473388,0 days 00:00:01.726422,0.8050136808006223,0.07436300584719252,4,85,1198,94,4.711911202114055,0.5065499274940294,0.783132406326853,extensive,final,lgbm,pca_hybrid,True,COMPLETE
75,-0.0016559720935109083,2025-12-08 14:11:59.473388,2025-12-08 14:12:01.372331,0 days 00:00:01.898943,0.9307744178254951,0.020888145457360993,7,54,1930,115,3.6758362980300388,1.0330452790132885,0.9577773268022699,extensive,final,lgbm,pca_hybrid,True,COMPLETE
76,-0.0016559720935109083,2025-12-08 14:12:01.372331,2025-12-08 14:12:03.257667,0 days 00:00:01.885336,0.7768475866606469,0.04655196868206231,9,81,1663,111,3.4066976598605327,0.16958305776837,0.9257108126733331,extensive,final,lgbm,pca_hybrid,True,COMPLETE
77,-0.0016559720935109083,2025-12-08 14:12:03.257667,2025-12-08 14:12:05.392275,0 days 00:00:02.134608,0.7611191432278088,0.028840728320635278,3,96,3871,70,2.7011709712652143,1.5844767209604937,0.9131247134188933,extensive,final,lgbm,pca_hybrid,True,COMPLETE
