number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
46,-0.0016559721404409238,2025-12-08 16:21:36.566775,2025-12-08 16:21:45.395239,0 days 00:00:08.828464,0.8523516136815678,0.00469165324263575,9,9,2095,3.659296616761636,0.39811994417313495,0.6858566579750386,extensive,final,xgb,pca_block,True,COMPLETE
47,-0.00029836683969249506,2025-12-08 16:21:45.395239,2025-12-08 16:22:00.646002,0 days 00:00:15.250763,0.7372358838830317,0.011372435484119146,8,7,3512,1.10804966531129,0.567718648354268,0.8337175941561183,extensive,final,xgb,pca_block,True,COMPLETE
48,-0.0004638765051352041,2025-12-08 16:22:00.646002,2025-12-08 16:22:09.919009,0 days 00:00:09.273007,0.7196726366275189,0.011171972240772403,8,7,1979,1.0788330625538856,0.5220111948660138,0.8458009749936172,extensive,final,xgb,pca_block,True,COMPLETE
49,-0.0016559721404409238,2025-12-08 16:22:09.920150,2025-12-08 16:22:19.903974,0 days 00:00:09.983824,0.7501701190777134,0.014947899488983932,6,8,2352,2.312748192643755,0.2933418558872079,0.858199898538257,extensive,final,xgb,pca_block,True,COMPLETE
50,-0.11067175661278054,2025-12-08 16:22:19.903974,2025-12-08 16:22:35.936651,0 days 00:00:16.032677,0.6859030601302284,0.02268763729093827,7,6,1294,0.20203863271478006,0.18299169064121587,0.8973249130213742,extensive,final,xgb,pca_block,True,COMPLETE
51,-0.007058030622030771,2025-12-08 16:22:35.936651,2025-12-08 16:22:56.020268,0 days 00:00:20.083617,0.6435666588550135,0.011875709193975412,8,10,3470,0.6927915091902277,0.614861494693791,0.7999977000086913,extensive,final,xgb,pca_block,True,COMPLETE
52,-0.0006580607077069459,2025-12-08 16:22:56.021376,2025-12-08 16:23:11.988938,0 days 00:00:15.967562,0.7957917582626469,0.01796330458108208,7,5,3707,1.2991009441149506,1.3111566079117483,0.7420128583782795,extensive,final,xgb,pca_block,True,COMPLETE
53,-0.0016620421050168588,2025-12-08 16:23:11.989946,2025-12-08 16:23:28.540141,0 days 00:00:16.550195,0.8202736749196393,0.009311078823266152,8,20,3835,1.6945281631980993,0.8663898283450746,0.7094703837253653,extensive,final,xgb,pca_block,True,COMPLETE
54,-0.0006438854697553564,2025-12-08 16:23:28.540141,2025-12-08 16:23:44.544395,0 days 00:00:16.004254,0.7173648881839071,0.007098631071253988,7,7,3546,1.1366518270387964,2.0910263335299915,0.8250656673363879,extensive,final,xgb,pca_block,True,COMPLETE
55,-0.0016909942543619216,2025-12-08 16:23:44.544395,2025-12-08 16:24:03.028065,0 days 00:00:18.483670,0.607952562249555,0.01411970550269199,9,8,3349,0.8164428223776419,1.7322052492339852,0.6568974701778326,extensive,final,xgb,pca_block,True,COMPLETE
56,-0.0016559721404409238,2025-12-08 16:24:03.030557,2025-12-08 16:24:15.921085,0 days 00:00:12.890528,0.7570974578573276,0.005419049531716997,8,12,3056,1.9325159634589948,0.4586097290489493,0.7725449324475046,extensive,final,xgb,pca_block,True,COMPLETE
57,-0.0015182978998355967,2025-12-08 16:24:15.921085,2025-12-08 16:24:27.946222,0 days 00:00:12.025137,0.8744659406529246,0.023256638049643414,7,4,2833,1.4046839353603058,1.035213163593337,0.8699353143978305,extensive,final,xgb,pca_block,True,COMPLETE
58,-0.000791263914187453,2025-12-08 16:24:27.946222,2025-12-08 16:24:46.646617,0 days 00:00:18.700395,0.4646261244908769,0.003981707157118107,10,6,3858,1.038944254185376,0.6915914200188326,0.8177050785982173,extensive,final,xgb,pca_block,True,COMPLETE
59,-0.01772715922803229,2025-12-08 16:24:46.646617,2025-12-08 16:24:57.712915,0 days 00:00:11.066298,0.7789375565084575,0.010120399916778954,6,9,1143,0.4984976899183438,0.3138601775382134,0.7475344957745701,extensive,final,xgb,pca_block,True,COMPLETE
