number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
74,-0.0016559721242364045,2025-12-08 13:54:13.298460,2025-12-08 13:54:14.813765,0 days 00:00:01.515305,0.019637314914882808,0.5365799005466124,extensive,final,elastic,pca_block,True,COMPLETE
75,-0.0019004858765300596,2025-12-08 13:54:14.815207,2025-12-08 13:54:16.515364,0 days 00:00:01.700157,0.0008070705997901116,0.6060660976753296,extensive,final,elastic,pca_block,True,COMPLETE
76,-0.0016559721242364045,2025-12-08 13:54:16.515364,2025-12-08 13:54:17.948551,0 days 00:00:01.433187,0.004129838618190453,0.9425981348547386,extensive,final,elastic,pca_block,True,COMPLETE
77,-0.0016559721242364045,2025-12-08 13:54:17.948551,2025-12-08 13:54:19.382082,0 days 00:00:01.433531,0.011533082578125409,0.6580353176907161,extensive,final,elastic,pca_block,True,COMPLETE
78,-0.0016559721242364045,2025-12-08 13:54:19.383143,2025-12-08 13:54:20.800016,0 days 00:00:01.416873,0.09950944337464167,0.18070814063818313,extensive,final,elastic,pca_block,True,COMPLETE
79,-0.2739654024633094,2025-12-08 13:54:20.800016,2025-12-08 13:54:22.253183,0 days 00:00:01.453167,0.003189457989553694,0.0702365282721126,extensive,final,elastic,pca_block,True,COMPLETE
80,-0.0016559721242364045,2025-12-08 13:54:22.254307,2025-12-08 13:54:23.665806,0 days 00:00:01.411499,0.0262426498574348,0.7369909655551536,extensive,final,elastic,pca_block,True,COMPLETE
81,-0.0016559721242364045,2025-12-08 13:54:23.665806,2025-12-08 13:54:25.082597,0 days 00:00:01.416791,0.005592059021634103,0.39509552784323565,extensive,final,elastic,pca_block,True,COMPLETE
82,-0.0016559721242364045,2025-12-08 13:54:25.082597,2025-12-08 13:54:26.603038,0 days 00:00:01.520441,0.0030031165157756103,0.3061359375130317,extensive,final,elastic,pca_block,True,COMPLETE
83,-0.0016559721242364045,2025-12-08 13:54:26.603548,2025-12-08 13:54:28.066958,0 days 00:00:01.463410,0.002286993628551933,0.4534359790439737,extensive,final,elastic,pca_block,True,COMPLETE
84,-0.8195974337776525,2025-12-08 13:54:28.066958,2025-12-08 13:54:29.568868,0 days 00:00:01.501910,0.0012276755444204513,0.11400692504716939,extensive,final,elastic,pca_block,True,COMPLETE
85,-0.0016559721242364045,2025-12-08 13:54:29.568868,2025-12-08 13:54:30.900016,0 days 00:00:01.331148,0.007408915465041188,0.5732065068644645,extensive,final,elastic,pca_block,True,COMPLETE
86,-0.0016559721242364045,2025-12-08 13:54:30.900016,2025-12-08 13:54:32.303112,0 days 00:00:01.403096,0.07154359084107305,0.031648756651636176,extensive,final,elastic,pca_block,True,COMPLETE
87,-0.0016559721242364045,2025-12-08 13:54:32.303677,2025-12-08 13:54:33.718810,0 days 00:00:01.415133,0.012756810574561885,0.9645879181766308,extensive,final,elastic,pca_block,True,COMPLETE
88,-0.0016559721242364045,2025-12-08 13:54:33.719964,2025-12-08 13:54:35.100369,0 days 00:00:01.380405,0.0018017775974941484,0.7963297593481599,extensive,final,elastic,pca_block,True,COMPLETE
89,-0.0016559721242364045,2025-12-08 13:54:35.100369,2025-12-08 13:54:36.517124,0 days 00:00:01.416755,0.042781656684366585,0.5169231231130039,extensive,final,elastic,pca_block,True,COMPLETE
90,-0.0016559721242364045,2025-12-08 13:54:36.517124,2025-12-08 13:54:37.893477,0 days 00:00:01.376353,0.008590839301771222,0.21719428897304716,extensive,final,elastic,pca_block,True,COMPLETE
91,-0.0016559721242364045,2025-12-08 13:54:37.893477,2025-12-08 13:54:39.287850,0 days 00:00:01.394373,0.06327497654687797,0.6975276507391306,extensive,final,elastic,pca_block,True,COMPLETE
92,-0.0016559721242364045,2025-12-08 13:54:39.287850,2025-12-08 13:54:40.667742,0 days 00:00:01.379892,0.034709819819331036,0.6361073020935399,extensive,final,elastic,pca_block,True,COMPLETE
93,-0.0016559721242364045,2025-12-08 13:54:40.667742,2025-12-08 13:54:42.032591,0 days 00:00:01.364849,0.03025007518511058,0.6656508253427419,extensive,final,elastic,pca_block,True,COMPLETE
94,-0.0016559721242364045,2025-12-08 13:54:42.032591,2025-12-08 13:54:43.381990,0 days 00:00:01.349399,0.018730659234999874,0.7617311927465875,extensive,final,elastic,pca_block,True,COMPLETE
95,-0.0016559721242364045,2025-12-08 13:54:43.381990,2025-12-08 13:54:44.939765,0 days 00:00:01.557775,0.0495849594623758,0.1700209459918337,extensive,final,elastic,pca_block,True,COMPLETE
96,-0.0016559721242364045,2025-12-08 13:54:44.940488,2025-12-08 13:54:46.283717,0 days 00:00:01.343229,0.01393193288016418,0.7275951006775382,extensive,final,elastic,pca_block,True,COMPLETE
97,-0.0016559721242364045,2025-12-08 13:54:46.285282,2025-12-08 13:54:47.767732,0 days 00:00:01.482450,0.0008964683407387456,0.9968656525420435,extensive,final,elastic,pca_block,True,COMPLETE
98,-0.0016559721242364045,2025-12-08 13:54:47.767732,2025-12-08 13:54:49.088023,0 days 00:00:01.320291,0.005687154804417047,0.2430283221582858,extensive,final,elastic,pca_block,True,COMPLETE
99,-0.0016559721242364045,2025-12-08 13:54:49.088023,2025-12-08 13:54:50.415097,0 days 00:00:01.327074,0.0038323465562962906,0.8245015358930737,extensive,final,elastic,pca_block,True,COMPLETE
100,-0.0017720606770958252,2025-12-08 13:54:50.415097,2025-12-08 13:54:51.870997,0 days 00:00:01.455900,0.000648238075220074,0.8878815555211808,extensive,final,elastic,pca_block,True,COMPLETE
101,-0.0016559721242364045,2025-12-08 13:54:51.872113,2025-12-08 13:54:53.755843,0 days 00:00:01.883730,0.0014538702835249072,0.7767454876334379,extensive,final,elastic,pca_block,True,COMPLETE
102,-0.0016559721242364045,2025-12-08 13:54:53.755843,2025-12-08 13:54:55.636642,0 days 00:00:01.880799,0.002907996401751671,0.9285974641526037,extensive,final,elastic,pca_block,True,COMPLETE
103,-0.0016559721242364045,2025-12-08 13:54:55.637643,2025-12-08 13:54:57.325872,0 days 00:00:01.688229,0.004706166245997487,0.6127542409211164,extensive,final,elastic,pca_block,True,COMPLETE
104,-0.0016559721242364045,2025-12-08 13:54:57.325872,2025-12-08 13:54:58.818750,0 days 00:00:01.492878,0.0020698961130555683,0.85060227127833,extensive,final,elastic,pca_block,True,COMPLETE
105,-0.0016559721242364045,2025-12-08 13:54:58.818750,2025-12-08 13:55:00.317908,0 days 00:00:01.499158,0.07795908378208982,0.12150565900487345,extensive,final,elastic,pca_block,True,COMPLETE
106,-0.0016559721242364045,2025-12-08 13:55:00.317908,2025-12-08 13:55:01.719355,0 days 00:00:01.401447,0.022944100869022977,0.06517501100732627,extensive,final,elastic,pca_block,True,COMPLETE
107,-0.0016559721242364045,2025-12-08 13:55:01.719863,2025-12-08 13:55:03.218015,0 days 00:00:01.498152,0.0010861527677034054,0.9131482035948422,extensive,final,elastic,pca_block,True,COMPLETE
108,-0.0016559721242364045,2025-12-08 13:55:03.219254,2025-12-08 13:55:04.654901,0 days 00:00:01.435647,0.055147108825269624,0.3375934172911401,extensive,final,elastic,pca_block,True,COMPLETE
109,-0.0016559721242364045,2025-12-08 13:55:04.654901,2025-12-08 13:55:06.022260,0 days 00:00:01.367359,0.009022608118335308,0.43374379020555553,extensive,final,elastic,pca_block,True,COMPLETE
110,-0.0016559721242364045,2025-12-08 13:55:06.022260,2025-12-08 13:55:07.484959,0 days 00:00:01.462699,0.002499821274379284,0.965413031780978,extensive,final,elastic,pca_block,True,COMPLETE
111,-0.0016559721242364045,2025-12-08 13:55:07.484959,2025-12-08 13:55:08.874822,0 days 00:00:01.389863,0.01681300330867382,0.5839453629637733,extensive,final,elastic,pca_block,True,COMPLETE
112,-0.0016559721242364045,2025-12-08 13:55:08.874822,2025-12-08 13:55:10.371445,0 days 00:00:01.496623,0.03213638350570806,0.07553873228398493,extensive,final,elastic,pca_block,True,COMPLETE
113,-0.0016559721242364045,2025-12-08 13:55:10.372447,2025-12-08 13:55:11.835069,0 days 00:00:01.462622,0.024226401882710413,0.287416550461819,extensive,final,elastic,pca_block,True,COMPLETE
114,-0.0016559721242364045,2025-12-08 13:55:11.835069,2025-12-08 13:55:13.139457,0 days 00:00:01.304388,0.039416969081337794,0.6509440087958918,extensive,final,elastic,pca_block,True,COMPLETE
115,-0.0016559721242364045,2025-12-08 13:55:13.139457,2025-12-08 13:55:15.072551,0 days 00:00:01.933094,0.09108756901845706,0.6842275275619081,extensive,final,elastic,pca_block,True,COMPLETE
116,-0.0016559721242364045,2025-12-08 13:55:15.072551,2025-12-08 13:55:16.850772,0 days 00:00:01.778221,0.06244941763404879,0.8055579438840929,extensive,final,elastic,pca_block,True,COMPLETE
117,-0.0016559721242364045,2025-12-08 13:55:16.851777,2025-12-08 13:55:18.704496,0 days 00:00:01.852719,0.011637573534111989,0.5402798088524455,extensive,final,elastic,pca_block,True,COMPLETE
118,-0.0016559721242364045,2025-12-08 13:55:18.704496,2025-12-08 13:55:20.517743,0 days 00:00:01.813247,0.04769796763146508,0.16139481310358134,extensive,final,elastic,pca_block,True,COMPLETE
119,-71825.3433339563,2025-12-08 13:55:20.517743,2025-12-08 13:55:25.152567,0 days 00:00:04.634824,1.2501916988458493e-05,0.14218790215941607,extensive,final,elastic,pca_block,True,COMPLETE
120,-2.7039818593348457,2025-12-08 13:55:25.152567,2025-12-08 13:55:26.673834,0 days 00:00:01.521267,0.0033352713544264495,0.030420655253390938,extensive,final,elastic,pca_block,True,COMPLETE
121,-0.0016559721242364045,2025-12-08 13:55:26.673834,2025-12-08 13:55:28.137880,0 days 00:00:01.464046,0.07301253253401539,0.622980547739413,extensive,final,elastic,pca_block,True,COMPLETE
122,-0.0016559721242364045,2025-12-08 13:55:28.138885,2025-12-08 13:55:29.786536,0 days 00:00:01.647651,0.08749810766632928,0.7039752509742448,extensive,final,elastic,pca_block,True,COMPLETE
123,-0.0016559721242364045,2025-12-08 13:55:29.788040,2025-12-08 13:55:31.452879,0 days 00:00:01.664839,0.05730905528237416,0.1955190489471006,extensive,final,elastic,pca_block,True,COMPLETE
124,-0.0016987643196155016,2025-12-08 13:55:31.452879,2025-12-08 13:55:32.980736,0 days 00:00:01.527857,0.001684524313797912,0.4916388118055336,extensive,final,elastic,pca_block,True,COMPLETE
125,-0.0016559721242364045,2025-12-08 13:55:32.981734,2025-12-08 13:55:34.508046,0 days 00:00:01.526312,0.013731714979344627,0.7425926597015465,extensive,final,elastic,pca_block,True,COMPLETE
126,-0.0016559721242364045,2025-12-08 13:55:34.509047,2025-12-08 13:55:36.236581,0 days 00:00:01.727534,0.006369936432870289,0.6398078899621035,extensive,final,elastic,pca_block,True,COMPLETE
127,-0.0017910511256081414,2025-12-08 13:55:36.236581,2025-12-08 13:55:37.835373,0 days 00:00:01.598792,0.0013609351519548436,0.557821399990661,extensive,final,elastic,pca_block,True,COMPLETE
128,-0.0016559721242364045,2025-12-08 13:55:37.835373,2025-12-08 13:55:39.370051,0 days 00:00:01.534678,0.045301414891883336,0.6007782162971829,extensive,final,elastic,pca_block,True,COMPLETE
129,-0.0016559721242364045,2025-12-08 13:55:39.370557,2025-12-08 13:55:40.719410,0 days 00:00:01.348853,0.02780977502815658,0.09359294667535453,extensive,final,elastic,pca_block,True,COMPLETE
