number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
42,-0.0016549504343807975,2025-12-08 13:41:05.338392,2025-12-08 13:41:21.238499,0 days 00:00:15.900107,0.6570612058286718,0.021927098329419796,3,6,1537,1.8684380376743175,2.1157237438981373,0.45078956652702573,extensive,final,xgb,,False,COMPLETE
43,-0.002384341311845802,2025-12-08 13:41:21.238499,2025-12-08 13:41:40.074897,0 days 00:00:18.836398,0.7210505542128327,0.038168621769900817,3,5,1793,1.5317753059611152,0.7851932362134375,0.6320208677088331,extensive,final,xgb,,False,COMPLETE
44,-0.0016559721404409238,2025-12-08 13:41:40.076320,2025-12-08 13:41:54.741405,0 days 00:00:14.665085,0.7608771558000273,0.024871701393067602,3,6,1401,2.009324557359274,1.1676527327855917,0.442332075836068,extensive,final,xgb,,False,COMPLETE
45,-0.0041803603479696845,2025-12-08 13:41:54.743173,2025-12-08 13:42:19.092839,0 days 00:00:24.349666,0.5565302058828729,0.03341101796153806,4,4,2322,1.3462105730561087,0.5224845678527593,0.5857343969486675,extensive,final,xgb,,False,COMPLETE
46,-0.013667023448722468,2025-12-08 13:42:19.094176,2025-12-08 13:42:37.790644,0 days 00:00:18.696468,0.5969499972381367,0.015926038371309882,3,8,1106,0.905352997498682,0.31970614438075884,0.510919071270256,extensive,final,xgb,,False,COMPLETE
47,-0.00138161798998504,2025-12-08 13:42:37.790644,2025-12-08 13:42:57.860214,0 days 00:00:20.069570,0.6351119978383166,0.018943726543524102,4,3,2030,1.6973970558079026,0.8048689329511949,0.7219598014738217,extensive,final,xgb,,False,COMPLETE
48,-0.0016559721404409238,2025-12-08 13:42:57.861613,2025-12-08 13:43:17.747259,0 days 00:00:19.885646,0.6999764169578372,0.02187140162600753,5,1,2066,2.5557868477025645,0.21545936426963017,0.7190114299350695,extensive,final,xgb,,False,COMPLETE
49,-0.00166072786024903,2025-12-08 13:43:17.747861,2025-12-08 13:43:40.647870,0 days 00:00:22.900009,0.6762093735440616,0.011433936027903917,4,2,2492,2.1729365079139806,0.1284492441140427,0.7743327613275717,extensive,final,xgb,,False,COMPLETE
50,-0.0016559721404409238,2025-12-08 13:43:40.647870,2025-12-08 13:43:46.897081,0 days 00:00:06.249211,0.5107567779548171,0.025728647845940665,5,5,392,4.713340899250532,1.8648128863828195,0.6663324357787788,extensive,final,xgb,,False,COMPLETE
51,-0.001218096899640993,2025-12-08 13:43:46.897081,2025-12-08 13:44:08.166842,0 days 00:00:21.269761,0.6323569492869319,0.0341020296893688,4,3,2177,1.724884119459447,1.0924777342338017,0.715940544994034,extensive,final,xgb,,False,COMPLETE
52,-0.0015821828043025565,2025-12-08 13:44:08.167256,2025-12-08 13:44:28.965517,0 days 00:00:20.798261,0.6038734785852367,0.04340677337475977,4,3,2157,1.8380049685363922,0.7651656575653045,0.722474086252329,extensive,final,xgb,,False,COMPLETE
53,-0.004513360696042357,2025-12-08 13:44:28.965517,2025-12-08 13:44:57.084714,0 days 00:00:28.119197,0.6302924766132069,0.019104636140511787,4,3,2579,1.3565988863189844,1.1604128870977064,0.6214906249137118,extensive,final,xgb,,False,COMPLETE
