number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
65,-0.0016559721242364045,2025-12-08 13:30:36.501301,2025-12-08 13:30:37.951651,0 days 00:00:01.450350,0.0072517665710511315,extensive,final,lasso,pca_block,True,COMPLETE
66,-0.0016559721242364045,2025-12-08 13:30:37.951651,2025-12-08 13:30:39.417318,0 days 00:00:01.465667,0.028724803888110044,extensive,final,lasso,pca_block,True,COMPLETE
67,-0.0016559721242364045,2025-12-08 13:30:39.417729,2025-12-08 13:30:40.884708,0 days 00:00:01.466979,7.362657200554121,extensive,final,lasso,pca_block,True,COMPLETE
68,-0.0016559721242364045,2025-12-08 13:30:40.884708,2025-12-08 13:30:42.417851,0 days 00:00:01.533143,0.12399290285334287,extensive,final,lasso,pca_block,True,COMPLETE
69,-0.0016559721242364045,2025-12-08 13:30:42.417851,2025-12-08 13:30:43.888156,0 days 00:00:01.470305,0.0016432653883095077,extensive,final,lasso,pca_block,True,COMPLETE
70,-0.0016559721242364045,2025-12-08 13:30:43.888156,2025-12-08 13:30:45.351211,0 days 00:00:01.463055,0.051294085435848014,extensive,final,lasso,pca_block,True,COMPLETE
71,-0.0016559721242364045,2025-12-08 13:30:45.351211,2025-12-08 13:30:47.117872,0 days 00:00:01.766661,0.2293239698979649,extensive,final,lasso,pca_block,True,COMPLETE
72,-0.0016559721242364045,2025-12-08 13:30:47.118880,2025-12-08 13:30:48.801752,0 days 00:00:01.682872,0.4659952388140738,extensive,final,lasso,pca_block,True,COMPLETE
73,-0.0016559721242364045,2025-12-08 13:30:48.801752,2025-12-08 13:30:50.334421,0 days 00:00:01.532669,0.16403969910497232,extensive,final,lasso,pca_block,True,COMPLETE
74,-0.0016559721242364045,2025-12-08 13:30:50.335228,2025-12-08 13:30:51.801153,0 days 00:00:01.465925,2.880007321315411,extensive,final,lasso,pca_block,True,COMPLETE
75,-0.0016559721242364045,2025-12-08 13:30:51.801995,2025-12-08 13:30:53.268202,0 days 00:00:01.466207,0.9720276579604638,extensive,final,lasso,pca_block,True,COMPLETE
76,-0.0016559721242364045,2025-12-08 13:30:53.268805,2025-12-08 13:30:54.736454,0 days 00:00:01.467649,0.5616509061483906,extensive,final,lasso,pca_block,True,COMPLETE
77,-0.0016559721242364045,2025-12-08 13:30:54.736454,2025-12-08 13:30:56.219550,0 days 00:00:01.483096,0.08793863088527272,extensive,final,lasso,pca_block,True,COMPLETE
78,-0.0016559721242364045,2025-12-08 13:30:56.219550,2025-12-08 13:30:57.671647,0 days 00:00:01.452097,0.009069276408951154,extensive,final,lasso,pca_block,True,COMPLETE
79,-0.0016559721242364045,2025-12-08 13:30:57.671647,2025-12-08 13:30:59.154741,0 days 00:00:01.483094,1.4625603643518497,extensive,final,lasso,pca_block,True,COMPLETE
80,-0.0016559721242364045,2025-12-08 13:30:59.154741,2025-12-08 13:31:00.502740,0 days 00:00:01.347999,0.30889979436199094,extensive,final,lasso,pca_block,True,COMPLETE
