number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
63,-4389.783631272927,2025-12-08 12:24:49.945986,2025-12-08 12:24:51.313438,0 days 00:00:01.367452,extensive,final,ols,pca_only,True,COMPLETE
64,-3981.997269153288,2025-12-08 12:24:51.314552,2025-12-08 12:24:52.654964,0 days 00:00:01.340412,extensive,final,ols,pca_only,True,COMPLETE
65,-4026.599145643957,2025-12-08 12:24:52.656702,2025-12-08 12:24:54.021368,0 days 00:00:01.364666,extensive,final,ols,pca_only,True,COMPLETE
66,-3941.47369098158,2025-12-08 12:24:54.022369,2025-12-08 12:24:55.373509,0 days 00:00:01.351140,extensive,final,ols,pca_only,True,COMPLETE
67,-3819.2285303023596,2025-12-08 12:24:55.373509,2025-12-08 12:24:56.768785,0 days 00:00:01.395276,extensive,final,ols,pca_only,True,COMPLETE
68,-3935.391639274228,2025-12-08 12:24:56.768785,2025-12-08 12:24:58.107317,0 days 00:00:01.338532,extensive,final,ols,pca_only,True,COMPLETE
69,-3960.0337784643275,2025-12-08 12:24:58.108364,2025-12-08 12:24:59.362836,0 days 00:00:01.254472,extensive,final,ols,pca_only,True,COMPLETE
70,-3838.3158510790786,2025-12-08 12:24:59.362836,2025-12-08 12:25:00.689483,0 days 00:00:01.326647,extensive,final,ols,pca_only,True,COMPLETE
71,-3738.795598623857,2025-12-08 12:25:00.694230,2025-12-08 12:25:02.024152,0 days 00:00:01.329922,extensive,final,ols,pca_only,True,COMPLETE
72,-3936.1659329779122,2025-12-08 12:25:02.024152,2025-12-08 12:25:03.321706,0 days 00:00:01.297554,extensive,final,ols,pca_only,True,COMPLETE
73,-4031.527445129024,2025-12-08 12:25:03.321706,2025-12-08 12:25:04.786210,0 days 00:00:01.464504,extensive,final,ols,pca_only,True,COMPLETE
74,-4015.0201811408765,2025-12-08 12:25:04.786210,2025-12-08 12:25:06.139817,0 days 00:00:01.353607,extensive,final,ols,pca_only,True,COMPLETE
75,-3959.2768004034715,2025-12-08 12:25:06.140818,2025-12-08 12:25:07.456390,0 days 00:00:01.315572,extensive,final,ols,pca_only,True,COMPLETE
76,-3957.501663252025,2025-12-08 12:25:07.457789,2025-12-08 12:25:08.818055,0 days 00:00:01.360266,extensive,final,ols,pca_only,True,COMPLETE
77,-3960.431942341714,2025-12-08 12:25:08.818055,2025-12-08 12:25:10.173854,0 days 00:00:01.355799,extensive,final,ols,pca_only,True,COMPLETE
78,-3851.476292827265,2025-12-08 12:25:10.173854,2025-12-08 12:25:11.492011,0 days 00:00:01.318157,extensive,final,ols,pca_only,True,COMPLETE
79,-3570.492469794845,2025-12-08 12:25:11.492323,2025-12-08 12:25:12.840031,0 days 00:00:01.347708,extensive,final,ols,pca_only,True,COMPLETE
80,-4062.2854460574276,2025-12-08 12:25:12.840031,2025-12-08 12:25:14.188417,0 days 00:00:01.348386,extensive,final,ols,pca_only,True,COMPLETE
81,-4098.554512697346,2025-12-08 12:25:14.189493,2025-12-08 12:25:15.492909,0 days 00:00:01.303416,extensive,final,ols,pca_only,True,COMPLETE
82,-5565.771369598467,2025-12-08 12:25:15.492909,2025-12-08 12:25:16.819715,0 days 00:00:01.326806,extensive,final,ols,pca_only,True,COMPLETE
83,-3710.2839753508,2025-12-08 12:25:16.821723,2025-12-08 12:25:18.174333,0 days 00:00:01.352610,extensive,final,ols,pca_only,True,COMPLETE
84,-3845.363667301775,2025-12-08 12:25:18.174333,2025-12-08 12:25:19.492447,0 days 00:00:01.318114,extensive,final,ols,pca_only,True,COMPLETE
85,-4113.623610126473,2025-12-08 12:25:19.492447,2025-12-08 12:25:20.821833,0 days 00:00:01.329386,extensive,final,ols,pca_only,True,COMPLETE
86,-3871.0247091678616,2025-12-08 12:25:20.821833,2025-12-08 12:25:22.173293,0 days 00:00:01.351460,extensive,final,ols,pca_only,True,COMPLETE
87,-3985.966439301989,2025-12-08 12:25:22.173293,2025-12-08 12:25:23.492254,0 days 00:00:01.318961,extensive,final,ols,pca_only,True,COMPLETE
88,-4204.231502452625,2025-12-08 12:25:23.492972,2025-12-08 12:25:24.818984,0 days 00:00:01.326012,extensive,final,ols,pca_only,True,COMPLETE
89,-4496.732775096946,2025-12-08 12:25:24.818984,2025-12-08 12:25:26.142840,0 days 00:00:01.323856,extensive,final,ols,pca_only,True,COMPLETE
90,-4195.571120933171,2025-12-08 12:25:26.142840,2025-12-08 12:25:27.458920,0 days 00:00:01.316080,extensive,final,ols,pca_only,True,COMPLETE
91,-4088.716357665869,2025-12-08 12:25:27.459955,2025-12-08 12:25:28.835370,0 days 00:00:01.375415,extensive,final,ols,pca_only,True,COMPLETE
92,-3655.7313404503016,2025-12-08 12:25:28.835875,2025-12-08 12:25:30.159541,0 days 00:00:01.323666,extensive,final,ols,pca_only,True,COMPLETE
93,-4459.431464032509,2025-12-08 12:25:30.159541,2025-12-08 12:25:31.491018,0 days 00:00:01.331477,extensive,final,ols,pca_only,True,COMPLETE
94,-3968.9409892538956,2025-12-08 12:25:31.491563,2025-12-08 12:25:32.837106,0 days 00:00:01.345543,extensive,final,ols,pca_only,True,COMPLETE
95,-3829.242984475962,2025-12-08 12:25:32.837106,2025-12-08 12:25:34.192564,0 days 00:00:01.355458,extensive,final,ols,pca_only,True,COMPLETE
96,-3706.964944461946,2025-12-08 12:25:34.193614,2025-12-08 12:25:35.559490,0 days 00:00:01.365876,extensive,final,ols,pca_only,True,COMPLETE
97,-3494.4485718450887,2025-12-08 12:25:35.559490,2025-12-08 12:25:36.897919,0 days 00:00:01.338429,extensive,final,ols,pca_only,True,COMPLETE
98,-3845.700772687318,2025-12-08 12:25:36.898925,2025-12-08 12:25:38.275514,0 days 00:00:01.376589,extensive,final,ols,pca_only,True,COMPLETE
99,-4000.740936506012,2025-12-08 12:25:38.276229,2025-12-08 12:25:39.628331,0 days 00:00:01.352102,extensive,final,ols,pca_only,True,COMPLETE
100,-4098.880257991675,2025-12-08 12:25:39.629385,2025-12-08 12:25:40.977699,0 days 00:00:01.348314,extensive,final,ols,pca_only,True,COMPLETE
101,-3814.1737289106127,2025-12-08 12:25:40.979983,2025-12-08 12:25:42.314944,0 days 00:00:01.334961,extensive,final,ols,pca_only,True,COMPLETE
102,-3903.4820716151607,2025-12-08 12:25:42.315455,2025-12-08 12:25:43.660430,0 days 00:00:01.344975,extensive,final,ols,pca_only,True,COMPLETE
103,-3763.7179780625206,2025-12-08 12:25:43.661480,2025-12-08 12:25:44.991871,0 days 00:00:01.330391,extensive,final,ols,pca_only,True,COMPLETE
104,-3952.8435165292653,2025-12-08 12:25:44.995857,2025-12-08 12:25:46.336334,0 days 00:00:01.340477,extensive,final,ols,pca_only,True,COMPLETE
105,-4170.277055998665,2025-12-08 12:25:46.336334,2025-12-08 12:25:47.660741,0 days 00:00:01.324407,extensive,final,ols,pca_only,True,COMPLETE
