number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
57,-88877.50611089946,2025-12-08 12:38:15.027865,2025-12-08 12:38:16.285978,0 days 00:00:01.258113,extensive,final,ols,pca_block,True,COMPLETE
58,-88877.35077282404,2025-12-08 12:38:16.285978,2025-12-08 12:38:17.542531,0 days 00:00:01.256553,extensive,final,ols,pca_block,True,COMPLETE
59,-88880.63111943803,2025-12-08 12:38:17.542531,2025-12-08 12:38:18.821191,0 days 00:00:01.278660,extensive,final,ols,pca_block,True,COMPLETE
60,-88880.02912764969,2025-12-08 12:38:18.821191,2025-12-08 12:38:20.095549,0 days 00:00:01.274358,extensive,final,ols,pca_block,True,COMPLETE
61,-88877.60376693813,2025-12-08 12:38:20.095549,2025-12-08 12:38:21.349678,0 days 00:00:01.254129,extensive,final,ols,pca_block,True,COMPLETE
62,-88880.12095777468,2025-12-08 12:38:21.350683,2025-12-08 12:38:22.563867,0 days 00:00:01.213184,extensive,final,ols,pca_block,True,COMPLETE
63,-88878.95896665387,2025-12-08 12:38:22.563867,2025-12-08 12:38:23.789681,0 days 00:00:01.225814,extensive,final,ols,pca_block,True,COMPLETE
64,-88869.29567745072,2025-12-08 12:38:23.790657,2025-12-08 12:38:25.011309,0 days 00:00:01.220652,extensive,final,ols,pca_block,True,COMPLETE
65,-88876.58396338321,2025-12-08 12:38:25.012119,2025-12-08 12:38:26.261271,0 days 00:00:01.249152,extensive,final,ols,pca_block,True,COMPLETE
66,-88878.29797913204,2025-12-08 12:38:26.261775,2025-12-08 12:38:27.527872,0 days 00:00:01.266097,extensive,final,ols,pca_block,True,COMPLETE
67,-88885.18526396679,2025-12-08 12:38:27.527872,2025-12-08 12:38:28.775088,0 days 00:00:01.247216,extensive,final,ols,pca_block,True,COMPLETE
68,-88878.43269619068,2025-12-08 12:38:28.775088,2025-12-08 12:38:30.010823,0 days 00:00:01.235735,extensive,final,ols,pca_block,True,COMPLETE
69,-88875.25043166381,2025-12-08 12:38:30.010823,2025-12-08 12:38:31.272276,0 days 00:00:01.261453,extensive,final,ols,pca_block,True,COMPLETE
70,-88878.31852207704,2025-12-08 12:38:31.273284,2025-12-08 12:38:32.510851,0 days 00:00:01.237567,extensive,final,ols,pca_block,True,COMPLETE
71,-88879.99769575232,2025-12-08 12:38:32.511967,2025-12-08 12:38:33.885222,0 days 00:00:01.373255,extensive,final,ols,pca_block,True,COMPLETE
72,-88876.83143781632,2025-12-08 12:38:33.885222,2025-12-08 12:38:35.114509,0 days 00:00:01.229287,extensive,final,ols,pca_block,True,COMPLETE
73,-88878.36901658277,2025-12-08 12:38:35.114509,2025-12-08 12:38:36.342614,0 days 00:00:01.228105,extensive,final,ols,pca_block,True,COMPLETE
74,-88877.82470891828,2025-12-08 12:38:36.342614,2025-12-08 12:38:37.560112,0 days 00:00:01.217498,extensive,final,ols,pca_block,True,COMPLETE
75,-88879.39217761974,2025-12-08 12:38:37.560433,2025-12-08 12:38:38.805471,0 days 00:00:01.245038,extensive,final,ols,pca_block,True,COMPLETE
76,-88875.0339172518,2025-12-08 12:38:38.805471,2025-12-08 12:38:40.042905,0 days 00:00:01.237434,extensive,final,ols,pca_block,True,COMPLETE
77,-88877.92174349197,2025-12-08 12:38:40.043410,2025-12-08 12:38:41.319413,0 days 00:00:01.276003,extensive,final,ols,pca_block,True,COMPLETE
78,-88877.15036555886,2025-12-08 12:38:41.320570,2025-12-08 12:38:42.561546,0 days 00:00:01.240976,extensive,final,ols,pca_block,True,COMPLETE
79,-88879.31293756497,2025-12-08 12:38:42.562674,2025-12-08 12:38:43.776533,0 days 00:00:01.213859,extensive,final,ols,pca_block,True,COMPLETE
80,-88873.72211087572,2025-12-08 12:38:43.776533,2025-12-08 12:38:45.045704,0 days 00:00:01.269171,extensive,final,ols,pca_block,True,COMPLETE
81,-88878.50264387617,2025-12-08 12:38:45.045704,2025-12-08 12:38:46.288355,0 days 00:00:01.242651,extensive,final,ols,pca_block,True,COMPLETE
82,-88880.72045057948,2025-12-08 12:38:46.288355,2025-12-08 12:38:47.546271,0 days 00:00:01.257916,extensive,final,ols,pca_block,True,COMPLETE
83,-88877.69772033459,2025-12-08 12:38:47.546271,2025-12-08 12:38:48.854814,0 days 00:00:01.308543,extensive,final,ols,pca_block,True,COMPLETE
84,-88855.37602955673,2025-12-08 12:38:48.854814,2025-12-08 12:38:50.095835,0 days 00:00:01.241021,extensive,final,ols,pca_block,True,COMPLETE
85,-88881.28777119114,2025-12-08 12:38:50.097002,2025-12-08 12:38:51.414119,0 days 00:00:01.317117,extensive,final,ols,pca_block,True,COMPLETE
86,-88878.70135864709,2025-12-08 12:38:51.414119,2025-12-08 12:38:52.712812,0 days 00:00:01.298693,extensive,final,ols,pca_block,True,COMPLETE
87,-88875.88898709258,2025-12-08 12:38:52.712812,2025-12-08 12:38:53.967675,0 days 00:00:01.254863,extensive,final,ols,pca_block,True,COMPLETE
88,-88879.50211734754,2025-12-08 12:38:53.968448,2025-12-08 12:38:55.225383,0 days 00:00:01.256935,extensive,final,ols,pca_block,True,COMPLETE
89,-88878.48324363561,2025-12-08 12:38:55.229400,2025-12-08 12:38:56.479088,0 days 00:00:01.249688,extensive,final,ols,pca_block,True,COMPLETE
90,-88880.7089954067,2025-12-08 12:38:56.480176,2025-12-08 12:38:57.712819,0 days 00:00:01.232643,extensive,final,ols,pca_block,True,COMPLETE
91,-88878.74959119725,2025-12-08 12:38:57.712819,2025-12-08 12:38:58.933008,0 days 00:00:01.220189,extensive,final,ols,pca_block,True,COMPLETE
92,-88881.28808821365,2025-12-08 12:38:58.934840,2025-12-08 12:39:00.161695,0 days 00:00:01.226855,extensive,final,ols,pca_block,True,COMPLETE
93,-88879.39864159923,2025-12-08 12:39:00.161695,2025-12-08 12:39:01.401342,0 days 00:00:01.239647,extensive,final,ols,pca_block,True,COMPLETE
94,-88881.26238085191,2025-12-08 12:39:01.401342,2025-12-08 12:39:02.614443,0 days 00:00:01.213101,extensive,final,ols,pca_block,True,COMPLETE
95,-88878.78391826292,2025-12-08 12:39:02.614443,2025-12-08 12:39:03.838651,0 days 00:00:01.224208,extensive,final,ols,pca_block,True,COMPLETE
96,-88879.19650663779,2025-12-08 12:39:03.838651,2025-12-08 12:39:04.962312,0 days 00:00:01.123661,extensive,final,ols,pca_block,True,COMPLETE
97,-88878.63458466827,2025-12-08 12:39:04.963842,2025-12-08 12:39:06.306887,0 days 00:00:01.343045,extensive,final,ols,pca_block,True,COMPLETE
98,-88881.8685300884,2025-12-08 12:39:06.306887,2025-12-08 12:39:07.530088,0 days 00:00:01.223201,extensive,final,ols,pca_block,True,COMPLETE
99,-88877.32873006661,2025-12-08 12:39:07.531221,2025-12-08 12:39:08.777473,0 days 00:00:01.246252,extensive,final,ols,pca_block,True,COMPLETE
100,-88894.33655165823,2025-12-08 12:39:08.778407,2025-12-08 12:39:09.996929,0 days 00:00:01.218522,extensive,final,ols,pca_block,True,COMPLETE
101,-88876.98023583448,2025-12-08 12:39:09.998246,2025-12-08 12:39:11.212436,0 days 00:00:01.214190,extensive,final,ols,pca_block,True,COMPLETE
102,-88878.14641229562,2025-12-08 12:39:11.213441,2025-12-08 12:39:12.441700,0 days 00:00:01.228259,extensive,final,ols,pca_block,True,COMPLETE
103,-88877.90194680414,2025-12-08 12:39:12.442639,2025-12-08 12:39:13.664839,0 days 00:00:01.222200,extensive,final,ols,pca_block,True,COMPLETE
104,-88879.60853969702,2025-12-08 12:39:13.665974,2025-12-08 12:39:14.886216,0 days 00:00:01.220242,extensive,final,ols,pca_block,True,COMPLETE
