number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
62,-1865.2241918926995,2025-12-08 13:01:21.064266,2025-12-08 13:01:23.501986,0 days 00:00:02.437720,303.87367571079386,extensive,final,ridge,pca_block,True,COMPLETE
63,-25.371099076544976,2025-12-08 13:01:23.502508,2025-12-08 13:01:25.997546,0 days 00:00:02.495038,664.6905199303667,extensive,final,ridge,pca_block,True,COMPLETE
64,-6179.594537149306,2025-12-08 13:01:25.999053,2025-12-08 13:01:28.432221,0 days 00:00:02.433168,168.65778471243368,extensive,final,ridge,pca_block,True,COMPLETE
65,-80540.00982860995,2025-12-08 13:01:28.434245,2025-12-08 13:01:30.281394,0 days 00:00:01.847149,1.1483680433866987,extensive,final,ridge,pca_block,True,COMPLETE
66,-106.17506152236831,2025-12-08 13:01:30.281394,2025-12-08 13:01:32.431346,0 days 00:00:02.149952,996.5185663100835,extensive,final,ridge,pca_block,True,COMPLETE
67,-1056.063000337467,2025-12-08 13:01:32.431346,2025-12-08 13:01:34.865265,0 days 00:00:02.433919,368.0317474142135,extensive,final,ridge,pca_block,True,COMPLETE
68,-18577.34908896616,2025-12-08 13:01:34.865265,2025-12-08 13:01:37.149847,0 days 00:00:02.284582,64.50887879826276,extensive,final,ridge,pca_block,True,COMPLETE
69,-7418.863361533861,2025-12-08 13:01:37.151478,2025-12-08 13:01:39.485223,0 days 00:00:02.333745,149.29872147711959,extensive,final,ridge,pca_block,True,COMPLETE
70,-33.31874861814842,2025-12-08 13:01:39.488028,2025-12-08 13:01:41.781730,0 days 00:00:02.293702,650.4586122997837,extensive,final,ridge,pca_block,True,COMPLETE
71,-117.12619600498105,2025-12-08 13:01:41.782238,2025-12-08 13:01:44.053225,0 days 00:00:02.270987,572.5715680576825,extensive,final,ridge,pca_block,True,COMPLETE
72,-2454.9976085758817,2025-12-08 13:01:44.054225,2025-12-08 13:01:46.569682,0 days 00:00:02.515457,272.35369545187655,extensive,final,ridge,pca_block,True,COMPLETE
73,-19.87431487724601,2025-12-08 13:01:46.569682,2025-12-08 13:01:48.798604,0 days 00:00:02.228922,676.9145652116529,extensive,final,ridge,pca_block,True,COMPLETE
74,-1372.3436546268247,2025-12-08 13:01:48.799110,2025-12-08 13:01:50.708713,0 days 00:00:01.909603,338.7715415487103,extensive,final,ridge,pca_block,True,COMPLETE
75,-16.923320030269196,2025-12-08 13:01:50.708713,2025-12-08 13:01:53.088121,0 days 00:00:02.379408,684.9882874598266,extensive,final,ridge,pca_block,True,COMPLETE
76,-86583.46341294116,2025-12-08 13:01:53.088121,2025-12-08 13:01:55.264694,0 days 00:00:02.176573,0.2421110477455092,extensive,final,ridge,pca_block,True,COMPLETE
77,-66.39585385154265,2025-12-08 13:01:55.265303,2025-12-08 13:01:57.183990,0 days 00:00:01.918687,610.8259871117417,extensive,final,ridge,pca_block,True,COMPLETE
78,-23904.890202127386,2025-12-08 13:01:57.186006,2025-12-08 13:01:59.719763,0 days 00:00:02.533757,46.476079354276536,extensive,final,ridge,pca_block,True,COMPLETE
79,-7454.314659678038,2025-12-08 13:01:59.721889,2025-12-08 13:02:02.231946,0 days 00:00:02.510057,148.80451881072347,extensive,final,ridge,pca_block,True,COMPLETE
