number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
80,-0.0016559721242364045,2025-12-08 13:46:11.556238,2025-12-08 13:46:13.054631,0 days 00:00:01.498393,0.0016886160886425631,0.7283632556410129,extensive,final,elastic,pca_hybrid,True,COMPLETE
81,-0.0016559721242364045,2025-12-08 13:46:13.055641,2025-12-08 13:46:14.557189,0 days 00:00:01.501548,0.07303848122200575,0.08018908696226273,extensive,final,elastic,pca_hybrid,True,COMPLETE
82,-0.0016559721242364045,2025-12-08 13:46:14.557189,2025-12-08 13:46:16.191539,0 days 00:00:01.634350,0.056579604880927815,0.06484666673100531,extensive,final,elastic,pca_hybrid,True,COMPLETE
83,-0.0016559721242364045,2025-12-08 13:46:16.191539,2025-12-08 13:46:17.772145,0 days 00:00:01.580606,0.08302077186904674,0.16391631623514644,extensive,final,elastic,pca_hybrid,True,COMPLETE
84,-0.0016559721242364045,2025-12-08 13:46:17.772145,2025-12-08 13:46:19.318067,0 days 00:00:01.545922,0.00953404287460498,0.5739859708239181,extensive,final,elastic,pca_hybrid,True,COMPLETE
85,-2229.009907354726,2025-12-08 13:46:19.318067,2025-12-08 13:46:20.756115,0 days 00:00:01.438048,0.03896347789184629,0.005482622506766954,extensive,final,elastic,pca_hybrid,True,COMPLETE
86,-0.0016559721242364045,2025-12-08 13:46:20.756629,2025-12-08 13:46:22.591470,0 days 00:00:01.834841,0.09043095745043284,0.888810647751739,extensive,final,elastic,pca_hybrid,True,COMPLETE
87,-15101.984687049473,2025-12-08 13:46:22.591470,2025-12-08 13:46:24.172430,0 days 00:00:01.580960,1.7945489898034935e-05,0.846477329964525,extensive,final,elastic,pca_hybrid,True,COMPLETE
88,-0.0016559721242364045,2025-12-08 13:46:24.172430,2025-12-08 13:46:25.673058,0 days 00:00:01.500628,0.006162524916077028,0.3881998699133875,extensive,final,elastic,pca_hybrid,True,COMPLETE
89,-289.45774945676095,2025-12-08 13:46:25.673058,2025-12-08 13:46:27.388224,0 days 00:00:01.715166,0.0008861344076551652,0.11807806428122004,extensive,final,elastic,pca_hybrid,True,COMPLETE
