number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
59,-0.0016559721242364045,2025-12-08 13:13:07.295937,2025-12-08 13:13:09.573336,0 days 00:00:02.277399,3.187661896554191,extensive,final,lasso,pca_only,True,COMPLETE
60,-0.0016559721242364045,2025-12-08 13:13:09.574337,2025-12-08 13:13:12.256870,0 days 00:00:02.682533,0.0997589426852318,extensive,final,lasso,pca_only,True,COMPLETE
61,-0.0016559721242364045,2025-12-08 13:13:12.256870,2025-12-08 13:13:14.639646,0 days 00:00:02.382776,0.014086057463861774,extensive,final,lasso,pca_only,True,COMPLETE
62,-0.0016559721242364045,2025-12-08 13:13:14.640900,2025-12-08 13:13:16.945290,0 days 00:00:02.304390,0.03233929920897444,extensive,final,lasso,pca_only,True,COMPLETE
63,-0.0016559721242364045,2025-12-08 13:13:16.945290,2025-12-08 13:13:19.166865,0 days 00:00:02.221575,0.003825369168884515,extensive,final,lasso,pca_only,True,COMPLETE
64,-0.0016559721242364045,2025-12-08 13:13:19.166865,2025-12-08 13:13:21.491186,0 days 00:00:02.324321,0.006927635593762295,extensive,final,lasso,pca_only,True,COMPLETE
65,-0.0016559721242364045,2025-12-08 13:13:21.491186,2025-12-08 13:13:23.873408,0 days 00:00:02.382222,0.0007048829905925132,extensive,final,lasso,pca_only,True,COMPLETE
66,-0.0016559721242364045,2025-12-08 13:13:23.873408,2025-12-08 13:13:26.321941,0 days 00:00:02.448533,0.9159742822953731,extensive,final,lasso,pca_only,True,COMPLETE
67,-0.0016559721242364045,2025-12-08 13:13:26.323949,2025-12-08 13:13:28.324814,0 days 00:00:02.000865,0.0019808732039264232,extensive,final,lasso,pca_only,True,COMPLETE
68,-0.0016559721242364045,2025-12-08 13:13:28.324814,2025-12-08 13:13:30.857237,0 days 00:00:02.532423,4.0357594178474185,extensive,final,lasso,pca_only,True,COMPLETE
69,-0.0016559721242364045,2025-12-08 13:13:30.857237,2025-12-08 13:13:32.760653,0 days 00:00:01.903416,0.067150250353475,extensive,final,lasso,pca_only,True,COMPLETE
70,-0.0016559721242364045,2025-12-08 13:13:32.760653,2025-12-08 13:13:35.746465,0 days 00:00:02.985812,0.02201543495388207,extensive,final,lasso,pca_only,True,COMPLETE
71,-0.0016559721242364045,2025-12-08 13:13:35.748677,2025-12-08 13:13:38.415023,0 days 00:00:02.666346,0.008156474176736341,extensive,final,lasso,pca_only,True,COMPLETE
72,-0.0016559721242364045,2025-12-08 13:13:38.415023,2025-12-08 13:13:40.357799,0 days 00:00:01.942776,0.6207392747835898,extensive,final,lasso,pca_only,True,COMPLETE
73,-0.0016559721242364045,2025-12-08 13:13:40.357799,2025-12-08 13:13:43.454786,0 days 00:00:03.096987,2.988547534044368,extensive,final,lasso,pca_only,True,COMPLETE
74,-0.0016559721242364045,2025-12-08 13:13:43.454786,2025-12-08 13:13:45.559806,0 days 00:00:02.105020,0.2150750204063596,extensive,final,lasso,pca_only,True,COMPLETE
75,-0.0016559721242364045,2025-12-08 13:13:45.560318,2025-12-08 13:13:47.803547,0 days 00:00:02.243229,1.51340018797799,extensive,final,lasso,pca_only,True,COMPLETE
76,-0.0016559721242364045,2025-12-08 13:13:47.805559,2025-12-08 13:13:50.105388,0 days 00:00:02.299829,7.830730334418985,extensive,final,lasso,pca_only,True,COMPLETE
77,-0.0016559721242364045,2025-12-08 13:13:50.106408,2025-12-08 13:13:52.788894,0 days 00:00:02.682486,0.0012838821501602673,extensive,final,lasso,pca_only,True,COMPLETE
78,-101.99701723713235,2025-12-08 13:13:52.788894,2025-12-08 13:13:54.692098,0 days 00:00:01.903204,0.00027054272694369797,extensive,final,lasso,pca_only,True,COMPLETE
79,-0.0016559721242364045,2025-12-08 13:13:54.693141,2025-12-08 13:13:57.391444,0 days 00:00:02.698303,4.552461158256805,extensive,final,lasso,pca_only,True,COMPLETE
80,-0.0016559721242364045,2025-12-08 13:13:57.392178,2025-12-08 13:13:59.325032,0 days 00:00:01.932854,0.005241999217148432,extensive,final,lasso,pca_only,True,COMPLETE
81,-0.0016559721242364045,2025-12-08 13:13:59.326042,2025-12-08 13:14:01.845018,0 days 00:00:02.518976,7.174551356706233,extensive,final,lasso,pca_only,True,COMPLETE
82,-0.0016559721242364045,2025-12-08 13:14:01.845521,2025-12-08 13:14:04.409197,0 days 00:00:02.563676,2.72260325110382,extensive,final,lasso,pca_only,True,COMPLETE
83,-0.0016559721242364045,2025-12-08 13:14:04.409197,2025-12-08 13:14:06.542518,0 days 00:00:02.133321,9.33156367132959,extensive,final,lasso,pca_only,True,COMPLETE
84,-0.0016559721242364045,2025-12-08 13:14:06.543742,2025-12-08 13:14:09.208866,0 days 00:00:02.665124,1.6165208082971134,extensive,final,lasso,pca_only,True,COMPLETE
85,-0.0016559721242364045,2025-12-08 13:14:09.209544,2025-12-08 13:14:11.356940,0 days 00:00:02.147396,0.0030645298720296255,extensive,final,lasso,pca_only,True,COMPLETE
86,-0.0016559721242364045,2025-12-08 13:14:11.359057,2025-12-08 13:14:14.149423,0 days 00:00:02.790366,0.015168168842572119,extensive,final,lasso,pca_only,True,COMPLETE
87,-0.0016559721242364045,2025-12-08 13:14:14.151437,2025-12-08 13:14:16.309962,0 days 00:00:02.158525,1.068547982985793,extensive,final,lasso,pca_only,True,COMPLETE
88,-0.0016559721242364045,2025-12-08 13:14:16.310969,2025-12-08 13:14:18.943611,0 days 00:00:02.632642,0.7640310521458703,extensive,final,lasso,pca_only,True,COMPLETE
89,-0.0016559721242364045,2025-12-08 13:14:18.945617,2025-12-08 13:14:21.071949,0 days 00:00:02.126332,4.814655781013719,extensive,final,lasso,pca_only,True,COMPLETE
90,-0.0016559721242364045,2025-12-08 13:14:21.072951,2025-12-08 13:14:23.844233,0 days 00:00:02.771282,2.1460784441301626,extensive,final,lasso,pca_only,True,COMPLETE
91,-0.0016559721242364045,2025-12-08 13:14:23.845241,2025-12-08 13:14:26.461328,0 days 00:00:02.616087,0.21074824256361446,extensive,final,lasso,pca_only,True,COMPLETE
92,-0.0016559721242364045,2025-12-08 13:14:26.461328,2025-12-08 13:14:28.497542,0 days 00:00:02.036214,0.049760590512505434,extensive,final,lasso,pca_only,True,COMPLETE
93,-0.0016559721242364045,2025-12-08 13:14:28.497542,2025-12-08 13:14:30.960628,0 days 00:00:02.463086,0.5105674959838854,extensive,final,lasso,pca_only,True,COMPLETE
94,-0.0016559721242364045,2025-12-08 13:14:30.960628,2025-12-08 13:14:32.895266,0 days 00:00:01.934638,0.010354123628027517,extensive,final,lasso,pca_only,True,COMPLETE
