number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
48,-3682.5913707445484,2025-12-08 12:44:33.620104,2025-12-08 12:44:35.167435,0 days 00:00:01.547331,104.08222097640918,extensive,final,ridge,pca_only,True,COMPLETE
49,-2811.557205275458,2025-12-08 12:44:35.167435,2025-12-08 12:44:36.682227,0 days 00:00:01.514792,513.8008336043512,extensive,final,ridge,pca_only,True,COMPLETE
50,-3940.4372943999156,2025-12-08 12:44:36.683241,2025-12-08 12:44:38.036542,0 days 00:00:01.353301,0.21776788395300425,extensive,final,ridge,pca_only,True,COMPLETE
51,-2668.3256618588607,2025-12-08 12:44:38.036542,2025-12-08 12:44:39.484924,0 days 00:00:01.448382,951.6592020772463,extensive,final,ridge,pca_only,True,COMPLETE
52,-3379.881926766835,2025-12-08 12:44:39.485930,2025-12-08 12:44:40.985383,0 days 00:00:01.499453,204.29063689055906,extensive,final,ridge,pca_only,True,COMPLETE
53,-2852.7496842108653,2025-12-08 12:44:40.986924,2025-12-08 12:44:42.481887,0 days 00:00:01.494963,593.5149077428177,extensive,final,ridge,pca_only,True,COMPLETE
54,-4443.260709909648,2025-12-08 12:44:42.482893,2025-12-08 12:44:43.934516,0 days 00:00:01.451623,0.014430210877933534,extensive,final,ridge,pca_only,True,COMPLETE
55,-2887.4635210544125,2025-12-08 12:44:43.934516,2025-12-08 12:44:45.603309,0 days 00:00:01.668793,350.3685166093715,extensive,final,ridge,pca_only,True,COMPLETE
56,-3868.1039740314154,2025-12-08 12:44:45.604378,2025-12-08 12:44:47.086899,0 days 00:00:01.482521,203.89603749846066,extensive,final,ridge,pca_only,True,COMPLETE
57,-3862.471487334553,2025-12-08 12:44:47.086899,2025-12-08 12:44:48.551865,0 days 00:00:01.464966,50.80122110817988,extensive,final,ridge,pca_only,True,COMPLETE
58,-3904.5710891182675,2025-12-08 12:44:48.551865,2025-12-08 12:44:50.200334,0 days 00:00:01.648469,119.46534101162314,extensive,final,ridge,pca_only,True,COMPLETE
59,-4318.799271831409,2025-12-08 12:44:50.201874,2025-12-08 12:44:51.709994,0 days 00:00:01.508120,0.0005153272710602082,extensive,final,ridge,pca_only,True,COMPLETE
60,-2889.9866886812033,2025-12-08 12:44:51.710999,2025-12-08 12:44:53.217425,0 days 00:00:01.506426,583.6467649111989,extensive,final,ridge,pca_only,True,COMPLETE
61,-2389.2417222524778,2025-12-08 12:44:53.218399,2025-12-08 12:44:54.636763,0 days 00:00:01.418364,858.6095269097584,extensive,final,ridge,pca_only,True,COMPLETE
62,-3299.7078415586034,2025-12-08 12:44:54.637836,2025-12-08 12:44:56.102634,0 days 00:00:01.464798,305.83814400894295,extensive,final,ridge,pca_only,True,COMPLETE
63,-2913.0515598251623,2025-12-08 12:44:56.103632,2025-12-08 12:44:57.552532,0 days 00:00:01.448900,555.0098408217914,extensive,final,ridge,pca_only,True,COMPLETE
64,-4040.527141564696,2025-12-08 12:44:57.553818,2025-12-08 12:44:58.984213,0 days 00:00:01.430395,222.66659291166653,extensive,final,ridge,pca_only,True,COMPLETE
65,-1998.9586508148866,2025-12-08 12:44:58.984995,2025-12-08 12:45:00.462157,0 days 00:00:01.477162,861.4227033118063,extensive,final,ridge,pca_only,True,COMPLETE
66,-2762.8419681264695,2025-12-08 12:45:00.463159,2025-12-08 12:45:01.885400,0 days 00:00:01.422241,683.9299845752229,extensive,final,ridge,pca_only,True,COMPLETE
67,-2379.355172668075,2025-12-08 12:45:01.885400,2025-12-08 12:45:03.338497,0 days 00:00:01.453097,971.6809568311952,extensive,final,ridge,pca_only,True,COMPLETE
68,-3476.5378942335533,2025-12-08 12:45:03.338497,2025-12-08 12:45:04.814031,0 days 00:00:01.475534,134.4015497026883,extensive,final,ridge,pca_only,True,COMPLETE
69,-3501.626424058805,2025-12-08 12:45:04.814031,2025-12-08 12:45:06.285650,0 days 00:00:01.471619,75.84462618911846,extensive,final,ridge,pca_only,True,COMPLETE
70,-2797.1524164115594,2025-12-08 12:45:06.286090,2025-12-08 12:45:07.736908,0 days 00:00:01.450818,1.001418096050584,extensive,final,ridge,pca_only,True,COMPLETE
71,-2271.70387379245,2025-12-08 12:45:07.736908,2025-12-08 12:45:09.269217,0 days 00:00:01.532309,962.6685368882279,extensive,final,ridge,pca_only,True,COMPLETE
72,-3118.4868518970507,2025-12-08 12:45:09.269217,2025-12-08 12:45:10.734481,0 days 00:00:01.465264,367.65042459362485,extensive,final,ridge,pca_only,True,COMPLETE
73,-2217.259149039873,2025-12-08 12:45:10.734481,2025-12-08 12:45:12.234049,0 days 00:00:01.499568,989.2357152283707,extensive,final,ridge,pca_only,True,COMPLETE
74,-3393.868242704981,2025-12-08 12:45:12.234416,2025-12-08 12:45:13.819173,0 days 00:00:01.584757,352.0316790913548,extensive,final,ridge,pca_only,True,COMPLETE
75,-3503.700380365186,2025-12-08 12:45:13.820022,2025-12-08 12:45:15.286786,0 days 00:00:01.466764,247.38121385205497,extensive,final,ridge,pca_only,True,COMPLETE
76,-2705.044542846774,2025-12-08 12:45:15.286786,2025-12-08 12:45:16.775977,0 days 00:00:01.489191,600.3130894968775,extensive,final,ridge,pca_only,True,COMPLETE
77,-3291.9560148513206,2025-12-08 12:45:16.775977,2025-12-08 12:45:18.286672,0 days 00:00:01.510695,424.74217754616046,extensive,final,ridge,pca_only,True,COMPLETE
78,-3754.485819988362,2025-12-08 12:45:18.286672,2025-12-08 12:45:19.820177,0 days 00:00:01.533505,152.85144804050486,extensive,final,ridge,pca_only,True,COMPLETE
79,-3540.8720312482933,2025-12-08 12:45:19.821779,2025-12-08 12:45:21.384977,0 days 00:00:01.563198,273.38058496841995,extensive,final,ridge,pca_only,True,COMPLETE
80,-4276.449494038162,2025-12-08 12:45:21.384977,2025-12-08 12:45:22.853760,0 days 00:00:01.468783,25.064404428701764,extensive,final,ridge,pca_only,True,COMPLETE
81,-2348.419817395133,2025-12-08 12:45:22.853760,2025-12-08 12:45:24.354137,0 days 00:00:01.500377,996.6862190828815,extensive,final,ridge,pca_only,True,COMPLETE
82,-2648.796556760074,2025-12-08 12:45:24.354137,2025-12-08 12:45:25.853961,0 days 00:00:01.499824,666.7713718256833,extensive,final,ridge,pca_only,True,COMPLETE
83,-2612.0715674380585,2025-12-08 12:45:25.853961,2025-12-08 12:45:27.304102,0 days 00:00:01.450141,752.9067211623194,extensive,final,ridge,pca_only,True,COMPLETE
84,-2969.4285815727108,2025-12-08 12:45:27.304102,2025-12-08 12:45:28.752577,0 days 00:00:01.448475,453.07724153061673,extensive,final,ridge,pca_only,True,COMPLETE
85,-2394.431725158322,2025-12-08 12:45:28.752577,2025-12-08 12:45:30.237142,0 days 00:00:01.484565,978.6278828490181,extensive,final,ridge,pca_only,True,COMPLETE
86,-3048.4085950002495,2025-12-08 12:45:30.237142,2025-12-08 12:45:31.754303,0 days 00:00:01.517161,268.34343593213373,extensive,final,ridge,pca_only,True,COMPLETE
87,-3670.9530847298624,2025-12-08 12:45:31.755360,2025-12-08 12:45:33.236116,0 days 00:00:01.480756,95.36754392635997,extensive,final,ridge,pca_only,True,COMPLETE
88,-2943.246909570194,2025-12-08 12:45:33.236116,2025-12-08 12:45:34.700789,0 days 00:00:01.464673,439.68116054827465,extensive,final,ridge,pca_only,True,COMPLETE
89,-3892.2456641128833,2025-12-08 12:45:34.701746,2025-12-08 12:45:36.122915,0 days 00:00:01.421169,163.60357692429446,extensive,final,ridge,pca_only,True,COMPLETE
90,-2372.104090633024,2025-12-08 12:45:36.122915,2025-12-08 12:45:37.721502,0 days 00:00:01.598587,686.7734039984538,extensive,final,ridge,pca_only,True,COMPLETE
91,-2666.21199393834,2025-12-08 12:45:37.722012,2025-12-08 12:45:39.254353,0 days 00:00:01.532341,664.5846877784306,extensive,final,ridge,pca_only,True,COMPLETE
92,-3170.2173625759865,2025-12-08 12:45:39.255502,2025-12-08 12:45:40.733453,0 days 00:00:01.477951,434.3279426695189,extensive,final,ridge,pca_only,True,COMPLETE
93,-2282.270019531429,2025-12-08 12:45:40.734458,2025-12-08 12:45:42.171309,0 days 00:00:01.436851,995.3666174843621,extensive,final,ridge,pca_only,True,COMPLETE
94,-2339.786206663788,2025-12-08 12:45:42.171309,2025-12-08 12:45:43.605655,0 days 00:00:01.434346,953.7840918195253,extensive,final,ridge,pca_only,True,COMPLETE
95,-3514.401964183568,2025-12-08 12:45:43.605655,2025-12-08 12:45:45.062384,0 days 00:00:01.456729,294.1930589989841,extensive,final,ridge,pca_only,True,COMPLETE
96,-2909.548447692088,2025-12-08 12:45:45.063388,2025-12-08 12:45:46.585833,0 days 00:00:01.522445,488.7570093454655,extensive,final,ridge,pca_only,True,COMPLETE
