number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
32,-0.0016559600825950167,2025-12-08 14:33:12.907516,2025-12-08 14:33:21.024144,0 days 00:00:08.116628,0.4623380010904611,0.0016520526046923355,7,13,2074,1.72848570434276,1.368203773004581,0.5080928260516817,extensive,final,xgb,pca_only,True,COMPLETE
33,-0.0016579510087955107,2025-12-08 14:33:21.024144,2025-12-08 14:33:31.646728,0 days 00:00:10.622584,0.6117053056586891,0.0014260563273631344,7,12,2752,1.6689415753120977,1.681560955780939,0.47338071324700803,extensive,final,xgb,pca_only,True,COMPLETE
34,-0.0017432256859396162,2025-12-08 14:33:31.647812,2025-12-08 14:33:40.862205,0 days 00:00:09.214393,0.4600099548668093,0.0015057164535249052,6,8,2182,0.9068963936140774,1.3705854454331279,0.40327659928753506,extensive,final,xgb,pca_only,True,COMPLETE
35,-0.0016579169447827151,2025-12-08 14:33:40.863206,2025-12-08 14:33:42.409287,0 days 00:00:01.546081,0.590904535045357,0.004837371709955045,7,10,325,1.3108410658561906,1.0604832401633122,0.5154776597586876,extensive,final,xgb,pca_only,True,COMPLETE
36,-0.004244250615525284,2025-12-08 14:33:42.409287,2025-12-08 14:33:52.749917,0 days 00:00:10.340630,0.43948114028808943,0.0019855522257553344,6,13,972,0.14989526860970215,0.14391909681175072,0.5849501139404011,extensive,final,xgb,pca_only,True,COMPLETE
37,-0.0016556963175704542,2025-12-08 14:33:52.751078,2025-12-08 14:34:02.700153,0 days 00:00:09.949075,0.3646736066243983,0.0013348120355755125,9,15,2554,1.7903402098945351,0.722474823296256,0.3850599550499717,extensive,final,xgb,pca_only,True,COMPLETE
38,-0.0017258557693649035,2025-12-08 14:34:02.701206,2025-12-08 14:34:13.149898,0 days 00:00:10.448692,0.35790901363475763,0.001280628155484515,10,17,2321,0.7430084623736608,2.4913552016174356,0.3166848835383591,extensive,final,xgb,pca_only,True,COMPLETE
39,-0.0016541734319331554,2025-12-08 14:34:13.149898,2025-12-08 14:34:23.550759,0 days 00:00:10.400861,0.34452550275694627,0.0015295439807806923,9,15,2682,1.6914946212358009,0.7816582779746621,0.34691359502767516,extensive,final,xgb,pca_only,True,COMPLETE
40,-0.0016543675301888456,2025-12-08 14:34:23.550759,2025-12-08 14:34:33.966349,0 days 00:00:10.415590,0.3387066208210477,0.001687875285007924,9,17,2678,1.7859860790331008,0.7549324670178338,0.3754221883708613,extensive,final,xgb,pca_only,True,COMPLETE
41,-0.0016559721404409238,2025-12-08 14:34:33.966349,2025-12-08 14:34:44.086496,0 days 00:00:10.120147,0.35402975518825414,0.0017140665026833118,9,17,2635,1.7801873090156164,0.7786003726609625,0.3633777792481547,extensive,final,xgb,pca_only,True,COMPLETE
42,-0.0016559721404409238,2025-12-08 14:34:44.086496,2025-12-08 14:34:51.531698,0 days 00:00:07.445202,0.3661053769193931,0.002150419002068547,9,19,1862,2.3480102064098523,0.45519347924545833,0.39752134557894125,extensive,final,xgb,pca_only,True,COMPLETE
43,-0.0016603463546005504,2025-12-08 14:34:51.531698,2025-12-08 14:35:01.568820,0 days 00:00:10.037122,0.33530236051848955,0.001594376537991918,10,15,2574,1.145935332782678,1.100231391859316,0.3064538034075856,extensive,final,xgb,pca_only,True,COMPLETE
44,-0.0016538636926233992,2025-12-08 14:35:01.569866,2025-12-08 14:35:10.254377,0 days 00:00:08.684511,0.4081034167710361,0.0012402408956562418,8,16,2250,1.4459630190930588,0.7301742078034384,0.3467735028693509,extensive,final,xgb,pca_only,True,COMPLETE
45,-0.0016548792787451916,2025-12-08 14:35:10.254377,2025-12-08 14:35:21.460557,0 days 00:00:11.206180,0.4033405521118259,0.0012265464660374057,8,20,2905,1.4497552068856678,0.7153624043729944,0.34315980026609894,extensive,final,xgb,pca_only,True,COMPLETE
46,-0.001654339209875862,2025-12-08 14:35:21.460557,2025-12-08 14:35:32.787016,0 days 00:00:11.326459,0.3253774557289089,0.0012561053847489608,9,20,2921,1.4964085919427208,0.8112405358973518,0.34324657360649724,extensive,final,xgb,pca_only,True,COMPLETE
47,-0.0016584837765199663,2025-12-08 14:35:32.787016,2025-12-08 14:35:44.449895,0 days 00:00:11.662879,0.33276702590119556,0.0011649280736601585,10,20,2975,1.1892918376450334,0.36219692412346205,0.3430490702804937,extensive,final,xgb,pca_only,True,COMPLETE
48,-0.0019419979285289306,2025-12-08 14:35:44.449895,2025-12-08 14:36:09.080323,0 days 00:00:24.630428,0.40570145302229055,0.0010307037055138294,8,19,3401,0.46991425286636823,0.29905612757710603,0.3299168089226978,extensive,final,xgb,pca_only,True,COMPLETE
49,-0.0017995152086542159,2025-12-08 14:36:09.080323,2025-12-08 14:36:21.319601,0 days 00:00:12.239278,0.3292140810401711,0.0027439653637193816,9,20,2868,0.9052511756780375,0.5106678387482628,0.4290761805624862,extensive,final,xgb,pca_only,True,COMPLETE
50,-0.0016543429884266676,2025-12-08 14:36:21.319601,2025-12-08 14:36:32.917302,0 days 00:00:11.597701,0.4334837865191317,0.0012498945266143056,10,18,3024,1.425846782514625,1.0484378187237404,0.3655364942516985,extensive,final,xgb,pca_only,True,COMPLETE
51,-0.0016546424250530507,2025-12-08 14:36:32.917302,2025-12-08 14:36:45.195131,0 days 00:00:12.277829,0.3893151906483807,0.0012803277313424184,10,18,3152,1.4985051627923955,1.021528407778624,0.36923443888539226,extensive,final,xgb,pca_only,True,COMPLETE
52,-0.0016544014500401438,2025-12-08 14:36:45.195131,2025-12-08 14:36:57.260550,0 days 00:00:12.065419,0.37900199715985505,0.0018137589612162094,10,18,3202,1.5826077239199692,1.0484039392216462,0.370225621141595,extensive,final,xgb,pca_only,True,COMPLETE
53,-0.0016559721404409238,2025-12-08 14:36:57.260550,2025-12-08 14:37:09.559423,0 days 00:00:12.298873,0.4348799915772553,0.0019590302841581138,10,17,3236,2.2924166988468824,2.6196522079832767,0.41597106549208374,extensive,final,xgb,pca_only,True,COMPLETE
54,-0.0016559721404409238,2025-12-08 14:37:09.560659,2025-12-08 14:37:20.128841,0 days 00:00:10.568182,0.3206046513901175,0.0014810135828343042,10,19,2680,1.9516381549091322,1.1650407412219097,0.3816891229143271,extensive,final,xgb,pca_only,True,COMPLETE
55,-0.001661915456176925,2025-12-08 14:37:20.129838,2025-12-08 14:37:33.999172,0 days 00:00:13.869334,0.4385853057537878,0.0018010834528956522,10,18,3596,1.2937505320062637,0.9017088671457756,0.4575562131236994,extensive,final,xgb,pca_only,True,COMPLETE
