number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
62,-0.001261529934154515,2025-12-08 20:16:42.058253,2025-12-08 20:16:50.760264,0 days 00:00:08.702011,0.8244878790239585,0.005642959454547775,6,87,3109,78,1.8977933727029443,14.37159867619828,0.6075630308588342,61,extensive,final,lgbm,,61,False,COMPLETE
63,-0.002655867525955835,2025-12-08 20:16:50.760264,2025-12-08 20:16:57.946375,0 days 00:00:07.186111,0.909237944246312,0.010389266020752231,5,12,2775,83,0.8128418856956203,11.36770052873466,0.6216899376412657,39,extensive,final,lgbm,,39,False,COMPLETE
64,-0.006077214251132545,2025-12-08 20:16:57.946375,2025-12-08 20:17:05.453897,0 days 00:00:07.507522,0.9266162610767859,0.006409578299829509,7,92,3295,90,0.6322163368393289,9.159549550144943,0.5605896971008435,30,extensive,final,lgbm,,30,False,COMPLETE
65,-0.0013489762123483295,2025-12-08 20:17:05.453897,2025-12-08 20:17:11.716954,0 days 00:00:06.263057,0.8793164601032154,0.09068119920768475,3,97,3048,77,1.3112640010908287,17.259425110135247,0.6000018091718399,11,extensive,final,lgbm,,11,False,COMPLETE
66,-0.0016271680688645595,2025-12-08 20:17:11.716954,2025-12-08 20:17:17.856912,0 days 00:00:06.139958,0.8642137933577064,0.01559435240532412,7,22,761,70,1.0521691179890473,6.403215382961136,0.5408326809549698,19,extensive,final,lgbm,,19,False,COMPLETE
67,-0.001261529934154515,2025-12-08 20:17:17.856912,2025-12-08 20:17:25.118641,0 days 00:00:07.261729,0.8185689652070695,0.07658874731365135,11,40,3660,66,1.633699188866502,3.704165557086817,0.579581200096768,40,extensive,final,lgbm,,40,False,COMPLETE
68,-0.001261529934154515,2025-12-08 20:17:25.118641,2025-12-08 20:17:31.713122,0 days 00:00:06.594481,0.5047993386834502,0.005519054924572135,6,94,3194,84,4.955732456747267,5.329420301315207,0.6583690920103993,26,extensive,final,lgbm,,26,False,COMPLETE
69,-0.001261529934154515,2025-12-08 20:17:31.713122,2025-12-08 20:17:40.046493,0 days 00:00:08.333371,0.7948268822356015,0.0064636635645652085,5,33,2799,72,2.16100078664082,12.528813476710132,0.631880170772354,58,extensive,final,lgbm,,58,False,COMPLETE
70,-0.001261529934154515,2025-12-08 20:17:40.046493,2025-12-08 20:17:46.637884,0 days 00:00:06.591391,0.8495245345089579,0.07331704711548534,12,99,3935,76,1.832648512917084,1.6150525565478093,0.8613958967904238,19,extensive,final,lgbm,,19,False,COMPLETE
71,-0.001024164581152176,2025-12-08 20:17:46.637884,2025-12-08 20:17:54.093637,0 days 00:00:07.455753,0.7826762036777548,0.09851607714006878,11,89,2912,80,1.2793406810863155,9.650718599152885,0.5997178833935071,47,extensive,final,lgbm,,47,False,COMPLETE
