number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
55,0.000374316,55:46.8,56:08.1,0 days 00:00:21.363967,99,0.896209116,0.001100367,7,14,209,0.117962052,5.325690778,0.859487183,extensive,final,xgb,,99,FALSE,COMPLETE
56,-0.024444561,56:08.1,57:30.1,0 days 00:01:21.933643,107,0.862225336,0.001619816,8,10,2186,0.025074043,9.632215068,0.828477395,extensive,final,xgb,,107,FALSE,COMPLETE
57,-0.000568438,57:30.1,57:48.7,0 days 00:00:18.586707,86,0.775830861,0.001006264,7,7,392,0.545122243,4.492599057,0.874774869,extensive,final,xgb,,86,FALSE,COMPLETE
58,-0.00126153,57:48.7,58:01.0,0 days 00:00:12.324657,76,0.828425846,0.00113293,7,13,288,3.928924445,8.264634263,0.820219395,extensive,final,xgb,,76,FALSE,COMPLETE
59,-0.025533843,58:01.0,59:18.5,0 days 00:01:17.523244,93,0.855837207,0.001489242,8,11,2451,0.019439417,6.656547079,0.842485445,extensive,final,xgb,,93,FALSE,COMPLETE
60,-0.004322641,59:18.5,00:11.8,0 days 00:00:53.241567,122,0.873499415,0.00172282,6,7,1222,0.195754451,4.046673928,0.880463827,extensive,final,xgb,,122,FALSE,COMPLETE
61,0.001004255,00:11.8,00:43.4,0 days 00:00:31.619613,115,0.89294233,0.001024679,6,11,489,0.204904747,2.869255659,0.796517169,extensive,final,xgb,,115,FALSE,COMPLETE
62,0.001236638,00:43.4,01:17.5,0 days 00:00:34.166914,114,0.804362061,0.001129971,7,13,515,0.178388337,14.99717039,0.805438371,extensive,final,xgb,,114,FALSE,COMPLETE
63,-0.000235937,01:17.5,01:46.2,0 days 00:00:28.661907,115,0.826729808,0.001399798,6,13,529,0.595195778,18.11735617,0.803863421,extensive,final,xgb,,115,FALSE,COMPLETE
64,-0.000869709,01:46.2,02:09.3,0 days 00:00:23.044117,108,0.729098592,0.00115445,7,12,365,0.959989576,14.50632957,0.83825978,extensive,final,xgb,,108,FALSE,COMPLETE
65,0.001016582,02:09.3,02:48.1,0 days 00:00:38.839112,122,0.835578859,0.001517072,6,14,628,0.219754098,3.392531161,0.797574622,extensive,final,xgb,,122,FALSE,COMPLETE
66,0.000120774,02:48.1,03:23.2,0 days 00:00:35.064165,122,0.802959761,0.001519469,6,15,598,0.536868738,1.302681358,0.79673503,extensive,final,xgb,,122,FALSE,COMPLETE
67,-0.003795117,03:23.2,04:06.8,0 days 00:00:43.671557,112,0.844418783,0.0017968,6,14,1266,0.259710553,2.85144868,0.814285649,extensive,final,xgb,,112,FALSE,COMPLETE
68,-0.000832657,04:06.8,04:43.2,0 days 00:00:36.386664,119,0.759413497,0.001186047,6,15,1559,1.070941036,3.496439714,0.748098798,extensive,final,xgb,,119,FALSE,COMPLETE
69,-0.00126153,04:43.2,05:21.0,0 days 00:00:37.818495,125,0.871794873,0.014865014,6,10,1836,2.927347107,2.537567481,0.887977402,extensive,final,xgb,,125,FALSE,COMPLETE
70,1.14E-05,05:21.0,06:03.3,0 days 00:00:42.217380,128,0.824673879,0.001454162,7,13,421,0.510132737,4.530394409,0.790979917,extensive,final,xgb,,128,FALSE,COMPLETE
71,0.000591476,06:03.3,06:31.7,0 days 00:00:28.416882,103,0.644874058,0.001023479,7,12,501,0.165214163,2.300700842,0.856725919,extensive,final,xgb,,103,FALSE,COMPLETE
72,0.000838007,06:31.7,07:03.9,0 days 00:00:32.208248,111,0.897014366,0.001179944,6,8,597,0.198580384,3.12518169,0.823437735,extensive,final,xgb,,111,FALSE,COMPLETE
73,-0.00023821,07:03.9,07:34.1,0 days 00:00:30.241655,112,0.841427932,0.001578316,6,8,772,0.680990941,3.049447326,0.818984114,extensive,final,xgb,,112,FALSE,COMPLETE
74,0.000552982,07:34.1,08:07.6,0 days 00:00:33.462380,117,0.67767551,0.001156244,6,10,585,0.212222131,3.933612527,0.394308968,extensive,final,xgb,,117,FALSE,COMPLETE
75,-0.00126153,08:07.6,08:24.2,0 days 00:00:16.581384,96,0.869880379,0.001446356,6,8,311,4.938527532,1.4978428,0.80792445,extensive,final,xgb,,96,FALSE,COMPLETE
76,-0.002878447,08:24.2,08:44.3,0 days 00:00:20.164203,61,0.809350528,0.001701386,6,6,1108,0.486418971,1.10312283,0.734420136,extensive,final,xgb,,61,FALSE,COMPLETE
77,-0.00146651,08:44.3,09:24.2,0 days 00:00:39.898329,124,0.874856127,0.002732134,6,9,601,0.223687468,3.524835924,0.832423916,extensive,final,xgb,,124,FALSE,COMPLETE
78,-0.024531144,09:24.2,10:09.4,0 days 00:00:45.222450,131,0.853553247,0.029015332,8,16,857,0.664618356,2.256512091,0.787635195,extensive,final,xgb,,131,FALSE,COMPLETE
79,0.00091469,10:09.4,10:41.6,0 days 00:00:32.196798,111,0.359853902,0.001178648,6,12,773,0.151308214,13.66087083,0.870979596,extensive,final,xgb,,111,FALSE,COMPLETE
80,-0.00056884,10:41.6,11:16.7,0 days 00:00:35.040050,121,0.729314276,0.001375406,7,14,761,0.89198326,14.18612339,0.891667374,extensive,final,xgb,,121,FALSE,COMPLETE
81,0.000497019,11:16.7,11:43.3,0 days 00:00:26.605911,112,0.884335204,0.001150253,6,12,301,0.155756339,13.92819987,0.854370671,extensive,final,xgb,,112,FALSE,COMPLETE
82,0.001071131,11:43.3,12:11.4,0 days 00:00:28.121273,107,0.366887942,0.001182918,6,10,674,0.001262243,11.2834018,0.826236887,extensive,final,xgb,,107,FALSE,COMPLETE
83,-0.000230322,12:11.4,12:38.5,0 days 00:00:27.046312,107,0.357496221,0.001327178,6,10,689,0.437413053,10.78050154,0.873241137,extensive,final,xgb,,107,FALSE,COMPLETE
84,-0.002955807,12:38.5,13:14.8,0 days 00:00:36.374922,117,0.361186746,0.002001743,6,13,937,0.010420853,7.52003422,0.758303709,extensive,final,xgb,,117,FALSE,COMPLETE
85,0.000136328,13:14.8,13:52.4,0 days 00:00:37.589133,126,0.372321367,0.001007495,7,12,395,0.263845301,12.23602528,0.805495061,extensive,final,xgb,,126,FALSE,COMPLETE
86,-0.00047102,13:52.4,14:15.5,0 days 00:00:23.053854,106,0.396161077,0.001414101,5,9,477,0.365262625,17.72655136,0.351854701,extensive,final,xgb,,106,FALSE,COMPLETE
87,-0.00126153,14:15.5,14:57.0,0 days 00:00:41.494095,131,0.405556766,0.005491369,6,11,1039,2.468510506,8.791540211,0.696301772,extensive,final,xgb,,131,FALSE,COMPLETE
88,-0.016746972,14:57.0,15:54.6,0 days 00:00:57.592959,89,0.569206133,0.001206363,5,10,3794,0.10411445,11.59320985,0.779176048,extensive,final,xgb,,89,FALSE,COMPLETE
89,-0.000392538,15:54.6,16:21.2,0 days 00:00:26.671092,98,0.467169401,0.001621792,6,14,795,0.002597681,4.904399603,0.899053713,extensive,final,xgb,,98,FALSE,COMPLETE
90,3.37E-05,16:21.2,16:53.1,0 days 00:00:31.835307,115,0.50502492,0.001118744,7,11,696,0.465720068,6.144227516,0.737464346,extensive,final,xgb,,115,FALSE,COMPLETE
91,0.000888729,16:53.1,17:24.5,0 days 00:00:31.378244,111,0.885813315,0.001247442,6,8,581,0.285790701,3.285927933,0.816641082,extensive,final,xgb,,111,FALSE,COMPLETE
92,0.001011883,17:24.5,17:59.0,0 days 00:00:34.511903,118,0.844965534,0.001255739,6,9,537,0.307150827,2.399194241,0.849546095,extensive,final,xgb,,118,FALSE,COMPLETE
93,0.000787727,17:59.0,18:28.7,0 days 00:00:29.757463,119,0.810538244,0.00109214,6,9,259,0.100367249,2.288935853,0.850084403,extensive,final,xgb,,119,FALSE,COMPLETE
94,-0.015928747,18:28.7,19:57.9,0 days 00:01:29.136570,128,0.838492601,0.002198781,6,12,3056,0.313543182,1.903675759,0.835925079,extensive,final,xgb,,128,FALSE,COMPLETE
95,-0.000438854,19:57.9,20:29.0,0 days 00:00:31.120872,122,0.374693475,0.001354144,5,10,462,0.58154364,2.546026642,0.882896282,extensive,final,xgb,,122,FALSE,COMPLETE
96,-0.00015276,20:29.0,20:56.1,0 days 00:00:27.097286,116,0.861051096,0.001867542,7,7,345,0.74168701,17.83622204,0.865959991,extensive,final,xgb,,116,FALSE,COMPLETE
97,7.26E-06,20:56.1,21:30.5,0 days 00:00:34.378225,104,0.793816479,0.001006401,6,9,862,0.137227317,1.511510659,0.831073879,extensive,final,xgb,,104,FALSE,COMPLETE
98,-0.00126153,21:30.5,22:01.2,0 days 00:00:30.766984,124,0.416900805,0.001244454,5,11,628,3.507069628,16.13608784,0.78474638,extensive,final,xgb,,124,FALSE,COMPLETE
99,-0.001768434,22:01.2,22:12.0,0 days 00:00:10.800507,15,0.834068689,0.001495996,6,10,512,0.42933996,4.297601559,0.799343884,extensive,final,xgb,,15,FALSE,COMPLETE
