number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
51,0.0019666621289865295,2025-12-08 19:41:22.741381,2025-12-08 19:41:28.411986,0 days 00:00:05.670605,0.0004190491486281686,6,extensive,final,lasso,,6,False,COMPLETE
52,0.0021492632964789315,2025-12-08 19:41:28.411986,2025-12-08 19:41:34.091199,0 days 00:00:05.679213,0.00017060984137585127,1,extensive,final,lasso,,1,False,COMPLETE
53,0.0021478543813992167,2025-12-08 19:41:34.091199,2025-12-08 19:41:39.761890,0 days 00:00:05.670691,0.00018729151033150125,1,extensive,final,lasso,,1,False,COMPLETE
54,-5.984785147248317e-05,2025-12-08 19:41:39.761890,2025-12-08 19:41:45.461803,0 days 00:00:05.699913,0.00017134492818206683,5,extensive,final,lasso,,5,False,COMPLETE
55,-0.0010837890870961208,2025-12-08 19:41:45.461803,2025-12-08 19:41:51.149102,0 days 00:00:05.687299,0.000781152747547585,1,extensive,final,lasso,,1,False,COMPLETE
56,-0.041613522417375925,2025-12-08 19:41:51.149102,2025-12-08 19:41:56.845766,0 days 00:00:05.696664,0.00010381656590826286,12,extensive,final,lasso,,12,False,COMPLETE
57,-0.03785194210629812,2025-12-08 19:41:56.849268,2025-12-08 19:42:02.509072,0 days 00:00:05.659804,0.00014077687043714758,7,extensive,final,lasso,,7,False,COMPLETE
58,-0.0020186304627868522,2025-12-08 19:42:02.509072,2025-12-08 19:42:08.362504,0 days 00:00:05.853432,0.0008156971015446971,20,extensive,final,lasso,,20,False,COMPLETE
59,0.00023845542353155834,2025-12-08 19:42:08.362504,2025-12-08 19:42:14.030134,0 days 00:00:05.667630,0.00017217791426246988,4,extensive,final,lasso,,4,False,COMPLETE
60,-0.0012615299666745461,2025-12-08 19:42:14.030134,2025-12-08 19:42:19.713924,0 days 00:00:05.683790,0.0020106073775930863,13,extensive,final,lasso,,13,False,COMPLETE
61,0.0018730482846313734,2025-12-08 19:42:19.713924,2025-12-08 19:42:25.358710,0 days 00:00:05.644786,0.00034091846461348354,1,extensive,final,lasso,,1,False,COMPLETE
62,0.0007134257077795914,2025-12-08 19:42:25.358710,2025-12-08 19:42:30.977388,0 days 00:00:05.618678,0.00020562097896759406,4,extensive,final,lasso,,4,False,COMPLETE
63,0.00047563684807625515,2025-12-08 19:42:30.977388,2025-12-08 19:42:36.639205,0 days 00:00:05.661817,0.0005837021425617592,1,extensive,final,lasso,,1,False,COMPLETE
64,-0.018310580520072107,2025-12-08 19:42:36.639205,2025-12-08 19:42:42.299510,0 days 00:00:05.660305,0.00035178860003867436,9,extensive,final,lasso,,9,False,COMPLETE
65,0.000621609378031529,2025-12-08 19:42:42.299510,2025-12-08 19:42:47.962025,0 days 00:00:05.662515,0.00021200942495837977,5,extensive,final,lasso,,5,False,COMPLETE
66,-0.03570018324490378,2025-12-08 19:42:47.962025,2025-12-08 19:42:53.680265,0 days 00:00:05.718240,0.00015145249003282416,12,extensive,final,lasso,,12,False,COMPLETE
67,-0.04175545178072304,2025-12-08 19:42:53.680265,2025-12-08 19:42:59.387525,0 days 00:00:05.707260,0.00010828233566930852,7,extensive,final,lasso,,7,False,COMPLETE
68,-0.0012459017897251457,2025-12-08 19:42:59.387525,2025-12-08 19:43:05.102532,0 days 00:00:05.715007,0.0009096933337297471,15,extensive,final,lasso,,15,False,COMPLETE
69,0.002235159733548353,2025-12-08 19:43:05.102532,2025-12-08 19:43:10.773869,0 days 00:00:05.671337,0.00023855667355937249,3,extensive,final,lasso,,3,False,COMPLETE
70,-0.0012615299666745461,2025-12-08 19:43:10.773869,2025-12-08 19:43:16.430073,0 days 00:00:05.656204,4.9028525293354015,5,extensive,final,lasso,,5,False,COMPLETE
71,0.0019627656170804197,2025-12-08 19:43:16.430073,2025-12-08 19:43:22.022786,0 days 00:00:05.592713,0.0003113073356588985,1,extensive,final,lasso,,1,False,COMPLETE
72,0.0022258253149769923,2025-12-08 19:43:22.022786,2025-12-08 19:43:27.645396,0 days 00:00:05.622610,0.0002227797328475556,3,extensive,final,lasso,,3,False,COMPLETE
73,0.0006801992701250592,2025-12-08 19:43:27.645396,2025-12-08 19:43:33.246147,0 days 00:00:05.600751,0.0005872393702629904,4,extensive,final,lasso,,4,False,COMPLETE
