number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
68,-0.05680811199117177,2025-12-08 19:22:44.055968,2025-12-08 19:22:49.877367,0 days 00:00:05.821399,11,extensive,final,ols,,11,False,COMPLETE
69,-0.05667300755373046,2025-12-08 19:22:49.877367,2025-12-08 19:22:55.627402,0 days 00:00:05.750035,7,extensive,final,ols,,7,False,COMPLETE
70,-0.0878938292220871,2025-12-08 19:22:55.627402,2025-12-08 19:23:01.421047,0 days 00:00:05.793645,13,extensive,final,ols,,13,False,COMPLETE
71,0.0018439018156545695,2025-12-08 19:23:01.421047,2025-12-08 19:23:07.158822,0 days 00:00:05.737775,1,extensive,final,ols,,1,False,COMPLETE
72,0.000617876128479411,2025-12-08 19:23:07.158822,2025-12-08 19:23:12.916553,0 days 00:00:05.757731,3,extensive,final,ols,,3,False,COMPLETE
73,0.0018439018156545695,2025-12-08 19:23:12.916553,2025-12-08 19:23:18.622277,0 days 00:00:05.705724,1,extensive,final,ols,,1,False,COMPLETE
74,-0.0065777045041383484,2025-12-08 19:23:18.622785,2025-12-08 19:23:24.344966,0 days 00:00:05.722181,6,extensive,final,ols,,6,False,COMPLETE
75,-0.05675575245206814,2025-12-08 19:23:24.345973,2025-12-08 19:23:30.095914,0 days 00:00:05.749941,9,extensive,final,ols,,9,False,COMPLETE
76,0.000617876128479411,2025-12-08 19:23:30.095914,2025-12-08 19:23:35.799274,0 days 00:00:05.703360,3,extensive,final,ols,,3,False,COMPLETE
77,-0.0065777045041383484,2025-12-08 19:23:35.799274,2025-12-08 19:23:41.530316,0 days 00:00:05.731042,6,extensive,final,ols,,6,False,COMPLETE
78,-0.004593928124956559,2025-12-08 19:23:41.531859,2025-12-08 19:23:47.245818,0 days 00:00:05.713959,5,extensive,final,ols,,5,False,COMPLETE
79,-4.218076428555767,2025-12-08 19:23:47.246885,2025-12-08 19:23:54.639384,0 days 00:00:07.392499,56,extensive,final,ols,,56,False,COMPLETE
80,-0.15121380424601066,2025-12-08 19:23:54.639384,2025-12-08 19:24:00.605297,0 days 00:00:05.965913,21,extensive,final,ols,,21,False,COMPLETE
81,0.0018439018156545695,2025-12-08 19:24:00.605297,2025-12-08 19:24:06.389282,0 days 00:00:05.783985,1,extensive,final,ols,,1,False,COMPLETE
82,0.000617876128479411,2025-12-08 19:24:06.389282,2025-12-08 19:24:11.971361,0 days 00:00:05.582079,3,extensive,final,ols,,3,False,COMPLETE
83,0.0018439018156545695,2025-12-08 19:24:11.971361,2025-12-08 19:24:17.582678,0 days 00:00:05.611317,1,extensive,final,ols,,1,False,COMPLETE
84,-0.05667300755373046,2025-12-08 19:24:17.582678,2025-12-08 19:24:23.161873,0 days 00:00:05.579195,7,extensive,final,ols,,7,False,COMPLETE
85,-0.05483188002136408,2025-12-08 19:24:23.161873,2025-12-08 19:24:28.813185,0 days 00:00:05.651312,10,extensive,final,ols,,10,False,COMPLETE
86,-0.004593928124956559,2025-12-08 19:24:28.813185,2025-12-08 19:24:34.411651,0 days 00:00:05.598466,5,extensive,final,ols,,5,False,COMPLETE
87,-4.390893755884732,2025-12-08 19:24:34.411651,2025-12-08 19:24:40.449363,0 days 00:00:06.037712,33,extensive,final,ols,,33,False,COMPLETE
88,0.000617876128479411,2025-12-08 19:24:40.453914,2025-12-08 19:24:46.043521,0 days 00:00:05.589607,3,extensive,final,ols,,3,False,COMPLETE
89,-0.05688976271954584,2025-12-08 19:24:46.043521,2025-12-08 19:24:51.691462,0 days 00:00:05.647941,8,extensive,final,ols,,8,False,COMPLETE
90,0.0010184220442295722,2025-12-08 19:24:51.691462,2025-12-08 19:24:57.280075,0 days 00:00:05.588613,2,extensive,final,ols,,2,False,COMPLETE
91,0.0018439018156545695,2025-12-08 19:24:57.280075,2025-12-08 19:25:02.849303,0 days 00:00:05.569228,1,extensive,final,ols,,1,False,COMPLETE
92,-0.004593928124956559,2025-12-08 19:25:02.849303,2025-12-08 19:25:08.492729,0 days 00:00:05.643426,5,extensive,final,ols,,5,False,COMPLETE
93,-10.004782517461035,2025-12-08 19:25:08.492729,2025-12-08 19:25:18.371283,0 days 00:00:09.878554,77,extensive,final,ols,,77,False,COMPLETE
94,0.000617876128479411,2025-12-08 19:25:18.371283,2025-12-08 19:25:24.202976,0 days 00:00:05.831693,3,extensive,final,ols,,3,False,COMPLETE
95,-5.389490919409647,2025-12-08 19:25:24.202976,2025-12-08 19:25:31.676055,0 days 00:00:07.473079,59,extensive,final,ols,,59,False,COMPLETE
96,-3.64144889919639,2025-12-08 19:25:31.676055,2025-12-08 19:25:38.391930,0 days 00:00:06.715875,50,extensive,final,ols,,50,False,COMPLETE
97,-0.004593928124956559,2025-12-08 19:25:38.391930,2025-12-08 19:25:43.970927,0 days 00:00:05.578997,5,extensive,final,ols,,5,False,COMPLETE
98,-0.05688976271954584,2025-12-08 19:25:43.970927,2025-12-08 19:25:49.612046,0 days 00:00:05.641119,8,extensive,final,ols,,8,False,COMPLETE
99,0.0010184220442295722,2025-12-08 19:25:49.612046,2025-12-08 19:25:55.212851,0 days 00:00:05.600805,2,extensive,final,ols,,2,False,COMPLETE
