number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
150,-0.00043280849200251953,2025-12-07 20:51:19.689888,2025-12-07 20:51:25.121106,0 days 00:00:05.431218,0.42822565341651103,0.0014840170304283172,4,17,661,0.11403143559741705,1.032724416620575,0.5702079538249983,simple,COMPLETE
151,0.00012069098555674469,2025-12-07 20:51:25.121106,2025-12-07 20:51:26.857642,0 days 00:00:01.736536,0.44807714531285747,0.0013369756350004752,4,18,202,0.0022947962079778363,1.4768945738455308,0.550063180938227,simple,COMPLETE
152,0.00010398653653339214,2025-12-07 20:51:26.857642,2025-12-07 20:51:29.354702,0 days 00:00:02.497060,0.48400842830623875,0.0013955892464539697,4,18,287,0.11921856568782781,0.9658888083062254,0.5408100424555641,simple,COMPLETE
153,-0.00041009598965180416,2025-12-07 20:51:29.356382,2025-12-07 20:51:32.578064,0 days 00:00:03.221682,0.5390723153956684,0.001228624337094033,4,19,364,0.22586077369618823,1.1856312794305799,0.5571089931665404,simple,COMPLETE
154,-0.0001672459117545063,2025-12-07 20:51:32.579570,2025-12-07 20:51:38.772501,0 days 00:00:06.192931,0.3430125374742515,0.0017302840926717333,9,18,249,0.0010497577474176635,1.1670925290351175,0.5111753830134241,simple,COMPLETE
155,-9.426284637855294e-05,2025-12-07 20:51:38.772501,2025-12-07 20:51:46.944770,0 days 00:00:08.172269,0.4603835063328904,0.0011479486866666315,4,19,445,0.1070937925446025,1.3982384672274757,0.5282272629431181,simple,COMPLETE
156,-0.0006362097486861673,2025-12-07 20:51:46.946775,2025-12-07 20:51:50.270258,0 days 00:00:03.323483,0.44480061149154737,0.002049203350753791,3,17,200,0.3333747494236112,0.7325602337659849,0.5986366122371215,simple,COMPLETE
157,-0.0002824153864317743,2025-12-07 20:51:50.271266,2025-12-07 20:51:56.821262,0 days 00:00:06.549996,0.4752298204197433,0.0014184408972887637,4,18,345,0.1948830293726053,1.6045249613010055,0.5461382377099281,simple,COMPLETE
158,-0.00026758346061113897,2025-12-07 20:51:56.822260,2025-12-07 20:52:03.256382,0 days 00:00:06.434122,0.4054269116098242,0.0015974871890466775,5,19,296,0.1015793629567256,0.6347056507848358,0.5688059182694268,simple,COMPLETE
159,-0.00791371302103309,2025-12-07 20:52:03.256382,2025-12-07 20:52:51.175636,0 days 00:00:47.919254,0.5190735211039686,0.0012934946339262167,4,18,2814,0.27658168300898067,0.8645835591022033,0.4978697677759393,simple,COMPLETE
160,-0.000974957295197069,2025-12-07 20:52:51.175636,2025-12-07 20:52:57.841934,0 days 00:00:06.666298,0.3864658082821855,0.0018225799459888289,3,16,428,0.4276859340043409,1.075614709481443,0.5173996325855722,simple,COMPLETE
161,0.00035561916862943593,2025-12-07 20:52:57.841934,2025-12-07 20:53:01.174008,0 days 00:00:03.332074,0.4945944925533119,0.0023121268181967108,3,18,202,0.0076891676989232546,1.2597349988539623,0.5552422019267572,simple,COMPLETE
162,-0.00012768744680409969,2025-12-07 20:53:01.177666,2025-12-07 20:53:06.242111,0 days 00:00:05.064445,0.49703182026414383,0.0023018521171105626,3,18,317,0.0944916630093065,1.2999253318122561,0.5581500775764188,simple,COMPLETE
163,-0.00010633458642176723,2025-12-07 20:53:06.242111,2025-12-07 20:53:10.458611,0 days 00:00:04.216500,0.5138925498077153,0.0021646991095095906,3,17,261,0.1713507750460441,0.9795521203057904,0.5352872739860388,simple,COMPLETE
164,9.087664778228977e-05,2025-12-07 20:53:10.460859,2025-12-07 20:53:16.410376,0 days 00:00:05.949517,0.4600165746354143,0.001970748590335707,3,18,379,0.0036801025138812446,1.208638969418141,0.5797308568386588,simple,COMPLETE
165,0.00020265586500093727,2025-12-07 20:53:16.410376,2025-12-07 20:53:24.291997,0 days 00:00:07.881621,0.48524318198006744,0.0014703285431917161,3,17,507,0.003218424684405713,1.4305341212336058,0.5512613431814224,simple,COMPLETE
166,-0.00034566518028851984,2025-12-07 20:53:24.293398,2025-12-07 20:53:32.325261,0 days 00:00:08.031863,0.49033181536114034,0.0015274211686701837,3,17,507,0.22307426940240718,1.510051671779352,0.5569579068979998,simple,COMPLETE
167,-0.0016869778715473311,2025-12-07 20:53:32.326316,2025-12-07 20:53:39.307517,0 days 00:00:06.981201,0.4730207580965975,0.0025034743555247103,3,17,476,0.00107505348037943,0.7825606837554218,0.5891269424733604,simple,COMPLETE
168,-5.7035510523310386e-05,2025-12-07 20:53:39.308522,2025-12-07 20:53:42.059337,0 days 00:00:02.750815,0.5097062982295235,0.0016724097898628127,3,19,388,0.10715384546923538,1.8078967959273753,0.5246907809931302,simple,COMPLETE
169,-0.001739517614018693,2025-12-07 20:53:42.060338,2025-12-07 20:53:55.344480,0 days 00:00:13.284142,0.5300052008018908,0.0012133503764720096,3,16,1458,0.32597223369942896,1.100643765683764,0.5424734961608297,simple,COMPLETE
170,-0.000603034111832601,2025-12-07 20:53:55.346602,2025-12-07 20:54:01.527656,0 days 00:00:06.181054,0.36580886561131,0.0017979643728472563,3,17,594,0.16434465209854826,0.9048659555151652,0.5739372063666245,simple,COMPLETE
171,-1.69270840484718e-05,2025-12-07 20:54:01.527656,2025-12-07 20:54:04.177682,0 days 00:00:02.650026,0.41813526196244577,0.0013657897049799274,4,18,269,0.08804474832224991,1.3667716781686245,0.5507325376015696,simple,COMPLETE
172,-0.00021600360687201725,2025-12-07 20:54:04.179348,2025-12-07 20:54:06.210506,0 days 00:00:02.031158,0.44496827333327965,0.0010850520763395816,4,18,210,0.006036098178751193,1.6107215734553937,0.5321930568821372,simple,COMPLETE
173,-1.4721947576975166e-05,2025-12-07 20:54:06.212648,2025-12-07 20:54:09.744381,0 days 00:00:03.531733,0.43548602171466577,0.0014415636961066024,3,18,324,0.10012865021841222,1.2611830637873573,0.5616390843990573,simple,COMPLETE
174,-0.0013943866465319088,2025-12-07 20:54:09.745547,2025-12-07 20:54:14.730833,0 days 00:00:04.985286,0.4817114526419509,0.0037998403587202532,4,19,390,0.25129073299942395,1.4171545753553354,0.5404350258214389,simple,COMPLETE
175,-0.0005662472846496384,2025-12-07 20:54:14.732841,2025-12-07 20:54:17.194586,0 days 00:00:02.461745,0.5626282450495458,0.0010077526550016107,4,17,270,0.17989447592438476,0.991657766623482,0.5090828269673354,simple,COMPLETE
176,0.00015523474601468004,2025-12-07 20:54:17.194586,2025-12-07 20:54:20.343593,0 days 00:00:03.149007,0.4557923677041997,0.0012925714480882696,3,18,452,0.09044093403791624,1.1229187773360216,0.5243366138989187,simple,COMPLETE
177,0.0006553007544422748,2025-12-07 20:54:20.344590,2025-12-07 20:54:22.759264,0 days 00:00:02.414674,0.6270859173808663,0.0011602583865131801,3,19,342,0.008670143432882256,1.8745904451060005,0.548308614643182,simple,COMPLETE
178,-0.00044504842708640674,2025-12-07 20:54:22.760879,2025-12-07 20:54:26.658323,0 days 00:00:03.897444,0.6202925433500898,0.0011660306557711522,3,20,524,0.2730296137816952,2.1574507581882814,0.570409569300656,simple,COMPLETE
179,-0.000215528035167963,2025-12-07 20:54:26.661263,2025-12-07 20:54:29.362962,0 days 00:00:02.701699,0.6590603979834435,0.001606453748408963,3,19,341,0.19466885401696496,1.863347822003274,0.4916576878104005,simple,COMPLETE
180,0.0003296618884749414,2025-12-07 20:54:29.365562,2025-12-07 20:54:32.398153,0 days 00:00:03.032591,0.6478974899142614,0.0011412152088413781,3,19,408,0.0004881873056182904,0.8330231169167198,0.5128259876329377,simple,COMPLETE
