number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
43,-0.0015802306758383455,2025-12-07 18:22:19.446205,2025-12-07 18:22:21.418491,0 days 00:00:01.972286,0.5321897856261001,0.08136438025219622,6,45,373,113,1.4262910812670804,0.17373942529436667,0.8542578844625922,medium,COMPLETE
44,-0.002708342775208298,2025-12-07 18:22:21.418491,2025-12-07 18:22:23.444446,0 days 00:00:02.025955,0.534575506511192,0.07922973622643362,6,45,423,113,1.2300196376907218,0.14738068271104093,0.8443670529916085,medium,COMPLETE
45,-0.02938931639260985,2025-12-07 18:22:23.444446,2025-12-07 18:22:26.249087,0 days 00:00:02.804641,0.58937537849769,0.05617205177088264,7,33,638,125,0.533129996652086,0.3790044488904201,0.8786778976056437,medium,COMPLETE
46,-0.006607396778345691,2025-12-07 18:22:26.249087,2025-12-07 18:22:29.088703,0 days 00:00:02.839616,0.5249451276877557,0.06951234692877792,5,43,969,90,0.9964679983234255,0.39351716839604567,0.8316008793562665,medium,COMPLETE
47,-0.0016559720935109083,2025-12-07 18:22:29.088703,2025-12-07 18:22:31.063045,0 days 00:00:01.974342,0.610532140423899,0.04237662416417257,6,53,432,101,1.9764427676455396,0.16949073596202963,0.766514486429646,medium,COMPLETE
48,-0.001644233163038337,2025-12-07 18:22:31.065623,2025-12-07 18:22:36.913662,0 days 00:00:05.848039,0.5760552910213058,0.0830989043650394,6,27,2794,122,1.478876931884274,0.12542305958360914,0.8655234964148539,medium,COMPLETE
49,-0.0016559720935109083,2025-12-07 18:22:36.914931,2025-12-07 18:22:43.732770,0 days 00:00:06.817839,0.6222855715573317,0.03791541631229764,7,31,3435,81,1.7073193212664135,0.3101045634007338,0.9056823578695836,medium,COMPLETE
50,-0.0016559720935109083,2025-12-07 18:22:43.732770,2025-12-07 18:22:46.932866,0 days 00:00:03.200096,0.9785739368257362,0.08728812960762404,6,39,882,118,4.104163161840587,0.1762284453273381,0.7495254559487615,medium,COMPLETE
51,-0.0016167736415828582,2025-12-07 18:22:46.932866,2025-12-07 18:22:49.175018,0 days 00:00:02.242152,0.5034811456257968,0.09973611959430101,4,61,595,107,1.4199144837175917,0.2450289360020189,0.7862377024055701,medium,COMPLETE
52,-0.0032488505279775945,2025-12-07 18:22:49.175018,2025-12-07 18:22:51.080622,0 days 00:00:01.905604,0.5479438561858275,0.07344302170919277,4,54,331,113,1.1723826635540693,0.21380534173020294,0.7132840871262712,medium,COMPLETE
