number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
61,-15418.00206543685,2025-12-07 16:35:43.666236,2025-12-07 16:35:44.994163,0 days 00:00:01.327927,881.3883257002385,medium,COMPLETE
62,-13495.779071727027,2025-12-07 16:35:44.995070,2025-12-07 16:35:46.329857,0 days 00:00:01.334787,995.0405345030265,medium,COMPLETE
63,-26807.211786803968,2025-12-07 16:35:46.331862,2025-12-07 16:35:47.662725,0 days 00:00:01.330863,516.237566274939,medium,COMPLETE
64,-61463.39132478482,2025-12-07 16:35:47.662725,2025-12-07 16:35:48.941288,0 days 00:00:01.278563,211.26404454024362,medium,COMPLETE
65,-34574.71506507447,2025-12-07 16:35:48.941288,2025-12-07 16:35:50.230582,0 days 00:00:01.289294,396.3839434505235,medium,COMPLETE
66,-98073.04131569753,2025-12-07 16:35:50.231641,2025-12-07 16:35:51.509196,0 days 00:00:01.277555,125.23296513109266,medium,COMPLETE
67,-254933.84377777865,2025-12-07 16:35:51.509196,2025-12-07 16:35:52.780641,0 days 00:00:01.271445,41.33638470770049,medium,COMPLETE
68,-54681.916860606056,2025-12-07 16:35:52.782145,2025-12-07 16:35:54.051092,0 days 00:00:01.268947,240.6403751641862,medium,COMPLETE
69,-22849.93838766488,2025-12-07 16:35:54.051092,2025-12-07 16:35:55.288818,0 days 00:00:01.237726,605.8097892325943,medium,COMPLETE
70,-13938.568399289761,2025-12-07 16:35:55.288818,2025-12-07 16:35:56.497950,0 days 00:00:01.209132,966.4337008444835,medium,COMPLETE
71,-15101.828053741592,2025-12-07 16:35:56.499954,2025-12-07 16:35:57.763184,0 days 00:00:01.263230,898.3334744727946,medium,COMPLETE
72,-24107.36965274755,2025-12-07 16:35:57.763184,2025-12-07 16:35:59.043716,0 days 00:00:01.280532,574.4530960322188,medium,COMPLETE
73,-41999.97670567366,2025-12-07 16:35:59.043716,2025-12-07 16:36:00.368321,0 days 00:00:01.324605,321.6719686115905,medium,COMPLETE
74,-14136.160799832965,2025-12-07 16:36:00.368321,2025-12-07 16:36:01.628867,0 days 00:00:01.260546,954.1754847404105,medium,COMPLETE
75,-68467.8023561107,2025-12-07 16:36:01.629872,2025-12-07 16:36:02.892525,0 days 00:00:01.262653,187.2571048887136,medium,COMPLETE
76,-1449403.165743988,2025-12-07 16:36:02.893558,2025-12-07 16:36:04.161815,0 days 00:00:01.268257,0.007676493548583711,medium,COMPLETE
77,-455983.1682967905,2025-12-07 16:36:04.161815,2025-12-07 16:36:05.426220,0 days 00:00:01.264405,1.964538236167475,medium,COMPLETE
78,-36574.396529899816,2025-12-07 16:36:05.427220,2025-12-07 16:36:06.677571,0 days 00:00:01.250351,373.3726099019628,medium,COMPLETE
79,-183454.74603143902,2025-12-07 16:36:06.677571,2025-12-07 16:36:07.931002,0 days 00:00:01.253431,61.63812860854364,medium,COMPLETE
80,-23280.119233407615,2025-12-07 16:36:07.932009,2025-12-07 16:36:09.245441,0 days 00:00:01.313432,594.7376648348604,medium,COMPLETE
81,-13543.96188057519,2025-12-07 16:36:09.246454,2025-12-07 16:36:10.498496,0 days 00:00:01.252042,991.8483535753805,medium,COMPLETE
82,-13497.998758163767,2025-12-07 16:36:10.500303,2025-12-07 16:36:11.778493,0 days 00:00:01.278190,994.8930389636428,medium,COMPLETE
83,-51441.2227583836,2025-12-07 16:36:11.779494,2025-12-07 16:36:13.051275,0 days 00:00:01.271781,257.50334083311117,medium,COMPLETE
84,-21575.977672219353,2025-12-07 16:36:13.051275,2025-12-07 16:36:14.351184,0 days 00:00:01.299909,640.9224175461995,medium,COMPLETE
85,-99366.17327822704,2025-12-07 16:36:14.351709,2025-12-07 16:36:15.613328,0 days 00:00:01.261619,123.41039436791226,medium,COMPLETE
86,-35027.32589543966,2025-12-07 16:36:15.614839,2025-12-07 16:36:16.946888,0 days 00:00:01.332049,390.95485007785135,medium,COMPLETE
87,-19367.034711734817,2025-12-07 16:36:16.947959,2025-12-07 16:36:18.311913,0 days 00:00:01.363954,711.5147962277687,medium,COMPLETE
88,-13965.427589231234,2025-12-07 16:36:18.312918,2025-12-07 16:36:19.629765,0 days 00:00:01.316847,964.7495875520185,medium,COMPLETE
89,-52033.23888491936,2025-12-07 16:36:19.630955,2025-12-07 16:36:20.994501,0 days 00:00:01.363546,254.26233502031283,medium,COMPLETE
90,-36709.16844167337,2025-12-07 16:36:20.995506,2025-12-07 16:36:22.291670,0 days 00:00:01.296164,371.9085548759099,medium,COMPLETE
91,-13667.315453622658,2025-12-07 16:36:22.292704,2025-12-07 16:36:23.541551,0 days 00:00:01.248847,983.7658327615118,medium,COMPLETE
92,-28767.400630168482,2025-12-07 16:36:23.543554,2025-12-07 16:36:24.805755,0 days 00:00:01.262201,480.30077805216484,medium,COMPLETE
93,-21774.06978541325,2025-12-07 16:36:24.805755,2025-12-07 16:36:26.060263,0 days 00:00:01.254508,635.2204576898281,medium,COMPLETE
94,-18770.569279730607,2025-12-07 16:36:26.063585,2025-12-07 16:36:27.276014,0 days 00:00:01.212429,733.0972352263931,medium,COMPLETE
95,-32415.787554140712,2025-12-07 16:36:27.276014,2025-12-07 16:36:28.545791,0 days 00:00:01.269777,424.2649049176461,medium,COMPLETE
96,-13533.918075016998,2025-12-07 16:36:28.545791,2025-12-07 16:36:29.813606,0 days 00:00:01.267815,992.512129354609,medium,COMPLETE
97,-72855.92336550768,2025-12-07 16:36:29.815110,2025-12-07 16:36:31.113500,0 days 00:00:01.298390,174.67918978310303,medium,COMPLETE
98,-362151.94480483857,2025-12-07 16:36:31.113500,2025-12-07 16:36:32.273350,0 days 00:00:01.159850,0.1498386150589921,medium,COMPLETE
99,-126227.06994705845,2025-12-07 16:36:32.273350,2025-12-07 16:36:33.531264,0 days 00:00:01.257914,94.38719222279961,medium,COMPLETE
100,-40780.73819484063,2025-12-07 16:36:33.531770,2025-12-07 16:36:34.820178,0 days 00:00:01.288408,332.117079858465,medium,COMPLETE
101,-13668.44318919429,2025-12-07 16:36:34.820178,2025-12-07 16:36:36.071715,0 days 00:00:01.251537,983.6925290280708,medium,COMPLETE
102,-20173.862263537838,2025-12-07 16:36:36.071715,2025-12-07 16:36:37.341747,0 days 00:00:01.270032,684.1331257019286,medium,COMPLETE
103,-28359.901059104308,2025-12-07 16:36:37.341747,2025-12-07 16:36:38.613908,0 days 00:00:01.272161,487.3927433776948,medium,COMPLETE
104,-13492.548487197273,2025-12-07 16:36:38.614911,2025-12-07 16:36:39.914092,0 days 00:00:01.299181,995.2552788964525,medium,COMPLETE
105,-52291.28602073691,2025-12-07 16:36:39.915101,2025-12-07 16:36:41.163083,0 days 00:00:01.247982,252.87308900770321,medium,COMPLETE
106,-18498.031446039724,2025-12-07 16:36:41.163083,2025-12-07 16:36:42.448117,0 days 00:00:01.285034,743.3686645142897,medium,COMPLETE
107,-29450.944101916964,2025-12-07 16:36:42.450123,2025-12-07 16:36:43.711423,0 days 00:00:01.261300,468.8148460794757,medium,COMPLETE
108,-86504.49211308172,2025-12-07 16:36:43.711423,2025-12-07 16:36:44.997092,0 days 00:00:01.285669,144.12365061732797,medium,COMPLETE
109,-19446.799193967378,2025-12-07 16:36:44.998121,2025-12-07 16:36:46.279504,0 days 00:00:01.281383,708.7178611002554,medium,COMPLETE
110,-532647.432740339,2025-12-07 16:36:46.280881,2025-12-07 16:36:47.551534,0 days 00:00:01.270653,10.018122214206088,medium,COMPLETE
111,-17753.187246375357,2025-12-07 16:36:47.551534,2025-12-07 16:36:48.820579,0 days 00:00:01.269045,772.8590675357561,medium,COMPLETE
112,-14274.928020608024,2025-12-07 16:36:48.820579,2025-12-07 16:36:50.099011,0 days 00:00:01.278432,945.7445081711498,medium,COMPLETE
113,-26524.68648841655,2025-12-07 16:36:50.100011,2025-12-07 16:36:51.365452,0 days 00:00:01.265441,521.8201980443871,medium,COMPLETE
