number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
86,-428311532.9632318,2025-12-07 15:46:36.629192,2025-12-07 15:46:38.874621,0 days 00:00:02.245429,medium,COMPLETE
87,-428311532.9632318,2025-12-07 15:46:38.874621,2025-12-07 15:46:41.032862,0 days 00:00:02.158241,medium,COMPLETE
88,-428311532.9632318,2025-12-07 15:46:41.034528,2025-12-07 15:46:43.201781,0 days 00:00:02.167253,medium,COMPLETE
89,-428311532.9632318,2025-12-07 15:46:43.201781,2025-12-07 15:46:45.329007,0 days 00:00:02.127226,medium,COMPLETE
90,-428311532.9632318,2025-12-07 15:46:45.329007,2025-12-07 15:46:47.560864,0 days 00:00:02.231857,medium,COMPLETE
91,-428311532.9632318,2025-12-07 15:46:47.560864,2025-12-07 15:46:49.864917,0 days 00:00:02.304053,medium,COMPLETE
92,-428311532.9632318,2025-12-07 15:46:49.866192,2025-12-07 15:46:51.982631,0 days 00:00:02.116439,medium,COMPLETE
93,-428311532.9632318,2025-12-07 15:46:51.983691,2025-12-07 15:46:54.201277,0 days 00:00:02.217586,medium,COMPLETE
94,-428311532.9632318,2025-12-07 15:46:54.201277,2025-12-07 15:46:56.353149,0 days 00:00:02.151872,medium,COMPLETE
95,-428311532.9632318,2025-12-07 15:46:56.353149,2025-12-07 15:46:58.659564,0 days 00:00:02.306415,medium,COMPLETE
96,-428311532.9632318,2025-12-07 15:46:58.661617,2025-12-07 15:47:00.852628,0 days 00:00:02.191011,medium,COMPLETE
97,-428311532.9632318,2025-12-07 15:47:00.852628,2025-12-07 15:47:03.260717,0 days 00:00:02.408089,medium,COMPLETE
98,-428311532.9632318,2025-12-07 15:47:03.260717,2025-12-07 15:47:05.561958,0 days 00:00:02.301241,medium,COMPLETE
99,-428311532.9632318,2025-12-07 15:47:05.561958,2025-12-07 15:47:07.927716,0 days 00:00:02.365758,medium,COMPLETE
100,-428311532.9632318,2025-12-07 15:47:07.927716,2025-12-07 15:47:10.245755,0 days 00:00:02.318039,medium,COMPLETE
101,-428311532.9632318,2025-12-07 15:47:10.245755,2025-12-07 15:47:12.700887,0 days 00:00:02.455132,medium,COMPLETE
102,-428311532.9632318,2025-12-07 15:47:12.702006,2025-12-07 15:47:15.438991,0 days 00:00:02.736985,medium,COMPLETE
103,-428311532.9632318,2025-12-07 15:47:15.438991,2025-12-07 15:47:18.043532,0 days 00:00:02.604541,medium,COMPLETE
104,-428311532.9632318,2025-12-07 15:47:18.043532,2025-12-07 15:47:20.601919,0 days 00:00:02.558387,medium,COMPLETE
105,-428311532.9632318,2025-12-07 15:47:20.601919,2025-12-07 15:47:23.244007,0 days 00:00:02.642088,medium,COMPLETE
106,-428311532.9632318,2025-12-07 15:47:23.244007,2025-12-07 15:47:25.562997,0 days 00:00:02.318990,medium,COMPLETE
107,-428311532.9632318,2025-12-07 15:47:25.562997,2025-12-07 15:47:27.916535,0 days 00:00:02.353538,medium,COMPLETE
108,-428311532.9632318,2025-12-07 15:47:27.916535,2025-12-07 15:47:30.339490,0 days 00:00:02.422955,medium,COMPLETE
109,-428311532.9632318,2025-12-07 15:47:30.339490,2025-12-07 15:47:32.678248,0 days 00:00:02.338758,medium,COMPLETE
110,-428311532.9632318,2025-12-07 15:47:32.678248,2025-12-07 15:47:35.170863,0 days 00:00:02.492615,medium,COMPLETE
111,-428311532.9632318,2025-12-07 15:47:35.170863,2025-12-07 15:47:37.669866,0 days 00:00:02.499003,medium,COMPLETE
112,-428311532.9632318,2025-12-07 15:47:37.669866,2025-12-07 15:47:40.157520,0 days 00:00:02.487654,medium,COMPLETE
113,-428311532.9632318,2025-12-07 15:47:40.157520,2025-12-07 15:47:42.719793,0 days 00:00:02.562273,medium,COMPLETE
114,-428311532.9632318,2025-12-07 15:47:42.719793,2025-12-07 15:47:45.255383,0 days 00:00:02.535590,medium,COMPLETE
115,-428311532.9632318,2025-12-07 15:47:45.255383,2025-12-07 15:47:47.711437,0 days 00:00:02.456054,medium,COMPLETE
116,-428311532.9632318,2025-12-07 15:47:47.711437,2025-12-07 15:47:50.063960,0 days 00:00:02.352523,medium,COMPLETE
117,-428311532.9632318,2025-12-07 15:47:50.066184,2025-12-07 15:47:52.334953,0 days 00:00:02.268769,medium,COMPLETE
118,-428311532.9632318,2025-12-07 15:47:52.334953,2025-12-07 15:47:54.565611,0 days 00:00:02.230658,medium,COMPLETE
119,-428311532.9632318,2025-12-07 15:47:54.566841,2025-12-07 15:47:56.598568,0 days 00:00:02.031727,medium,COMPLETE
120,-428311532.9632318,2025-12-07 15:47:56.600080,2025-12-07 15:47:58.835459,0 days 00:00:02.235379,medium,COMPLETE
121,-428311532.9632318,2025-12-07 15:47:58.835459,2025-12-07 15:48:01.091632,0 days 00:00:02.256173,medium,COMPLETE
122,-428311532.9632318,2025-12-07 15:48:01.091632,2025-12-07 15:48:03.693682,0 days 00:00:02.602050,medium,COMPLETE
123,-428311532.9632318,2025-12-07 15:48:03.693682,2025-12-07 15:48:06.251181,0 days 00:00:02.557499,medium,COMPLETE
124,-428311532.9632318,2025-12-07 15:48:06.251181,2025-12-07 15:48:08.732866,0 days 00:00:02.481685,medium,COMPLETE
125,-428311532.9632318,2025-12-07 15:48:08.733877,2025-12-07 15:48:11.076707,0 days 00:00:02.342830,medium,COMPLETE
126,-428311532.9632318,2025-12-07 15:48:11.076707,2025-12-07 15:48:13.303095,0 days 00:00:02.226388,medium,COMPLETE
127,-428311532.9632318,2025-12-07 15:48:13.303095,2025-12-07 15:48:15.594470,0 days 00:00:02.291375,medium,COMPLETE
128,-428311532.9632318,2025-12-07 15:48:15.594470,2025-12-07 15:48:17.768866,0 days 00:00:02.174396,medium,COMPLETE
129,-428311532.9632318,2025-12-07 15:48:17.768866,2025-12-07 15:48:20.061227,0 days 00:00:02.292361,medium,COMPLETE
130,-428311532.9632318,2025-12-07 15:48:20.061227,2025-12-07 15:48:22.284053,0 days 00:00:02.222826,medium,COMPLETE
131,-428311532.9632318,2025-12-07 15:48:22.284053,2025-12-07 15:48:24.501142,0 days 00:00:02.217089,medium,COMPLETE
132,-428311532.9632318,2025-12-07 15:48:24.501142,2025-12-07 15:48:26.639528,0 days 00:00:02.138386,medium,COMPLETE
133,-428311532.9632318,2025-12-07 15:48:26.639528,2025-12-07 15:48:28.818103,0 days 00:00:02.178575,medium,COMPLETE
134,-428311532.9632318,2025-12-07 15:48:28.818103,2025-12-07 15:48:31.033797,0 days 00:00:02.215694,medium,COMPLETE
135,-428311532.9632318,2025-12-07 15:48:31.033797,2025-12-07 15:48:33.205960,0 days 00:00:02.172163,medium,COMPLETE
136,-428311532.9632318,2025-12-07 15:48:33.205960,2025-12-07 15:48:35.498410,0 days 00:00:02.292450,medium,COMPLETE
137,-428311532.9632318,2025-12-07 15:48:35.499930,2025-12-07 15:48:37.673554,0 days 00:00:02.173624,medium,COMPLETE
138,-428311532.9632318,2025-12-07 15:48:37.673554,2025-12-07 15:48:39.871114,0 days 00:00:02.197560,medium,COMPLETE
139,-428311532.9632318,2025-12-07 15:48:39.871114,2025-12-07 15:48:42.086146,0 days 00:00:02.215032,medium,COMPLETE
140,-428311532.9632318,2025-12-07 15:48:42.086146,2025-12-07 15:48:44.283985,0 days 00:00:02.197839,medium,COMPLETE
141,-428311532.9632318,2025-12-07 15:48:44.283985,2025-12-07 15:48:46.437588,0 days 00:00:02.153603,medium,COMPLETE
142,-428311532.9632318,2025-12-07 15:48:46.437588,2025-12-07 15:48:48.731773,0 days 00:00:02.294185,medium,COMPLETE
143,-428311532.9632318,2025-12-07 15:48:48.731773,2025-12-07 15:48:50.938228,0 days 00:00:02.206455,medium,COMPLETE
144,-428311532.9632318,2025-12-07 15:48:50.938228,2025-12-07 15:48:53.089116,0 days 00:00:02.150888,medium,COMPLETE
145,-428311532.9632318,2025-12-07 15:48:53.089116,2025-12-07 15:48:55.117336,0 days 00:00:02.028220,medium,COMPLETE
146,-428311532.9632318,2025-12-07 15:48:55.117336,2025-12-07 15:48:57.239172,0 days 00:00:02.121836,medium,COMPLETE
147,-428311532.9632318,2025-12-07 15:48:57.239172,2025-12-07 15:48:59.442127,0 days 00:00:02.202955,medium,COMPLETE
148,-428311532.9632318,2025-12-07 15:48:59.443815,2025-12-07 15:49:01.665421,0 days 00:00:02.221606,medium,COMPLETE
149,-428311532.9632318,2025-12-07 15:49:01.666931,2025-12-07 15:49:03.805923,0 days 00:00:02.138992,medium,COMPLETE
150,-428311532.9632318,2025-12-07 15:49:03.805923,2025-12-07 15:49:06.018017,0 days 00:00:02.212094,medium,COMPLETE
151,-428311532.9632318,2025-12-07 15:49:06.018017,2025-12-07 15:49:08.185767,0 days 00:00:02.167750,medium,COMPLETE
152,-428311532.9632318,2025-12-07 15:49:08.185767,2025-12-07 15:49:10.419088,0 days 00:00:02.233321,medium,COMPLETE
153,-428311532.9632318,2025-12-07 15:49:10.419088,2025-12-07 15:49:12.586484,0 days 00:00:02.167396,medium,COMPLETE
154,-428311532.9632318,2025-12-07 15:49:12.586484,2025-12-07 15:49:14.772712,0 days 00:00:02.186228,medium,COMPLETE
155,-428311532.9632318,2025-12-07 15:49:14.772712,2025-12-07 15:49:16.985516,0 days 00:00:02.212804,medium,COMPLETE
156,-428311532.9632318,2025-12-07 15:49:16.985516,2025-12-07 15:49:19.107325,0 days 00:00:02.121809,medium,COMPLETE
157,-428311532.9632318,2025-12-07 15:49:19.107325,2025-12-07 15:49:21.238465,0 days 00:00:02.131140,medium,COMPLETE
158,-428311532.9632318,2025-12-07 15:49:21.238465,2025-12-07 15:49:23.547420,0 days 00:00:02.308955,medium,COMPLETE
159,-428311532.9632318,2025-12-07 15:49:23.547420,2025-12-07 15:49:25.531901,0 days 00:00:01.984481,medium,COMPLETE
160,-428311532.9632318,2025-12-07 15:49:25.533984,2025-12-07 15:49:27.674842,0 days 00:00:02.140858,medium,COMPLETE
161,-428311532.9632318,2025-12-07 15:49:27.674842,2025-12-07 15:49:29.809347,0 days 00:00:02.134505,medium,COMPLETE
162,-428311532.9632318,2025-12-07 15:49:29.809347,2025-12-07 15:49:31.988657,0 days 00:00:02.179310,medium,COMPLETE
163,-428311532.9632318,2025-12-07 15:49:31.988657,2025-12-07 15:49:34.124778,0 days 00:00:02.136121,medium,COMPLETE
