number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
55,-0.0007050637821931863,2025-12-07 16:58:46.162836,2025-12-07 16:58:46.364540,0 days 00:00:00.201704,0.0008507031014813421,none,COMPLETE
56,-0.0016559721242364045,2025-12-07 16:58:46.364540,2025-12-07 16:58:46.566064,0 days 00:00:00.201524,0.06186462445602319,none,COMPLETE
57,-3.276234427866213e-05,2025-12-07 16:58:46.570556,2025-12-07 16:58:46.771274,0 days 00:00:00.200718,0.0004630411088087159,none,COMPLETE
58,-0.0016559721242364045,2025-12-07 16:58:46.772392,2025-12-07 16:58:46.951205,0 days 00:00:00.178813,0.001223370376134967,none,COMPLETE
59,-0.0016559721242364045,2025-12-07 16:58:46.953901,2025-12-07 16:58:47.144897,0 days 00:00:00.190996,0.00564194966219492,none,COMPLETE
60,-0.006078373436148847,2025-12-07 16:58:47.147075,2025-12-07 16:58:47.333112,0 days 00:00:00.186037,0.00032913747874816103,none,COMPLETE
61,0.0009452704423364618,2025-12-07 16:58:47.334981,2025-12-07 16:58:47.534771,0 days 00:00:00.199790,0.0005922848163049862,none,COMPLETE
62,-0.0016559721242364045,2025-12-07 16:58:47.536537,2025-12-07 16:58:47.733644,0 days 00:00:00.197107,0.0015656559077612854,none,COMPLETE
63,0.0011560758396176318,2025-12-07 16:58:47.734651,2025-12-07 16:58:47.927335,0 days 00:00:00.192684,0.0005365045482383412,none,COMPLETE
64,-0.0016559721242364045,2025-12-07 16:58:47.929077,2025-12-07 16:58:48.113695,0 days 00:00:00.184618,0.0029205770019395897,none,COMPLETE
65,-0.1101108837003637,2025-12-07 16:58:48.115470,2025-12-07 16:58:48.316598,0 days 00:00:00.201128,0.0001272236445066931,none,COMPLETE
66,0.000345188927492394,2025-12-07 16:58:48.319035,2025-12-07 16:58:48.515751,0 days 00:00:00.196716,0.00048198738578721117,none,COMPLETE
67,-0.014568054476416995,2025-12-07 16:58:48.515751,2025-12-07 16:58:48.709240,0 days 00:00:00.193489,0.00027591859436274055,none,COMPLETE
68,-0.0004735230336609571,2025-12-07 16:58:48.710012,2025-12-07 16:58:48.788533,0 days 00:00:00.078521,0.000821236183725587,none,COMPLETE
69,-0.0016559721242364045,2025-12-07 16:58:48.788533,2025-12-07 16:58:48.983586,0 days 00:00:00.195053,0.0017256803316342717,none,COMPLETE
70,-0.003602542923625015,2025-12-07 16:58:48.984597,2025-12-07 16:58:49.176545,0 days 00:00:00.191948,0.0003533064986538191,none,COMPLETE
71,0.0009682674487068536,2025-12-07 16:58:49.176545,2025-12-07 16:58:49.366863,0 days 00:00:00.190318,0.0005862105505055698,none,COMPLETE
72,-0.05253955630380595,2025-12-07 16:58:49.368876,2025-12-07 16:58:49.567996,0 days 00:00:00.199120,0.0001897313289782985,none,COMPLETE
73,0.0008474413908311126,2025-12-07 16:58:49.568320,2025-12-07 16:58:49.759274,0 days 00:00:00.190954,0.0006178858669928044,none,COMPLETE
74,-0.0016559721242364045,2025-12-07 16:58:49.760268,2025-12-07 16:58:49.941725,0 days 00:00:00.181457,0.0011929103408897827,none,COMPLETE
75,-0.0007354603404451746,2025-12-07 16:58:49.943470,2025-12-07 16:58:50.134916,0 days 00:00:00.191446,0.0008544219375111939,none,COMPLETE
76,-0.0016559721242364045,2025-12-07 16:58:50.135913,2025-12-07 16:58:50.334869,0 days 00:00:00.198956,0.01235423885112383,none,COMPLETE
77,-0.0005448338173861625,2025-12-07 16:58:50.334869,2025-12-07 16:58:50.534625,0 days 00:00:00.199756,0.00044334810380232723,none,COMPLETE
78,-0.07960141858250151,2025-12-07 16:58:50.536081,2025-12-07 16:58:50.732574,0 days 00:00:00.196493,0.00015738708579702914,none,COMPLETE
79,-0.0016559721242364045,2025-12-07 16:58:50.734369,2025-12-07 16:58:50.926667,0 days 00:00:00.192298,0.027122760058655215,none,COMPLETE
80,-0.011801602035400482,2025-12-07 16:58:50.928350,2025-12-07 16:58:51.118110,0 days 00:00:00.189760,0.0002914704567141364,none,COMPLETE
81,0.0010356632399117032,2025-12-07 16:58:51.120161,2025-12-07 16:58:51.301691,0 days 00:00:00.181530,0.0005669934561960814,none,COMPLETE
82,0.0004810543172394747,2025-12-07 16:58:51.301691,2025-12-07 16:58:51.489866,0 days 00:00:00.188175,0.0006914863504328079,none,COMPLETE
83,0.0005953882142959444,2025-12-07 16:58:51.489866,2025-12-07 16:58:51.676080,0 days 00:00:00.186214,0.0004960292343690284,none,COMPLETE
84,-0.0016559721242364045,2025-12-07 16:58:51.676080,2025-12-07 16:58:51.867421,0 days 00:00:00.191341,0.0013126046482700134,none,COMPLETE
85,-0.0016559721242364045,2025-12-07 16:58:51.868766,2025-12-07 16:58:52.053316,0 days 00:00:00.184550,0.0020004190987118306,none,COMPLETE
86,-0.035757274152127115,2025-12-07 16:58:52.055234,2025-12-07 16:58:52.239213,0 days 00:00:00.183979,0.00021321901704503054,none,COMPLETE
87,-0.0014682847231021572,2025-12-07 16:58:52.240950,2025-12-07 16:58:52.436028,0 days 00:00:00.195078,0.000948923772958535,none,COMPLETE
88,0.0010025999502234113,2025-12-07 16:58:52.437373,2025-12-07 16:58:52.628857,0 days 00:00:00.191484,0.0005768599328096774,none,COMPLETE
89,-0.0024199878576717238,2025-12-07 16:58:52.630865,2025-12-07 16:58:52.835594,0 days 00:00:00.204729,0.0003784710734509941,none,COMPLETE
90,-0.0016559721242364045,2025-12-07 16:58:52.835594,2025-12-07 16:58:53.031700,0 days 00:00:00.196106,2.3051836331648867,none,COMPLETE
91,0.0004900300205927429,2025-12-07 16:58:53.033502,2025-12-07 16:58:53.223934,0 days 00:00:00.190432,0.0006900052266924297,none,COMPLETE
92,0.0007790454733813679,2025-12-07 16:58:53.224584,2025-12-07 16:58:53.412080,0 days 00:00:00.187496,0.0005058711837434658,none,COMPLETE
93,-0.0016559721242364045,2025-12-07 16:58:53.412080,2025-12-07 16:58:53.613364,0 days 00:00:00.201284,0.17180546246705136,none,COMPLETE
94,-0.0014725504280007258,2025-12-07 16:58:53.615350,2025-12-07 16:58:53.816782,0 days 00:00:00.201432,0.0009497055637088331,none,COMPLETE
95,0.0010472143571158925,2025-12-07 16:58:53.818287,2025-12-07 16:58:54.002107,0 days 00:00:00.183820,0.0005632968244325391,none,COMPLETE
96,-0.016031852232601545,2025-12-07 16:58:54.005765,2025-12-07 16:58:54.187844,0 days 00:00:00.182079,0.00026828991663688505,none,COMPLETE
97,0.001048876383771417,2025-12-07 16:58:54.187844,2025-12-07 16:58:54.378557,0 days 00:00:00.190713,0.0005627526191783991,none,COMPLETE
98,-0.0016559721242364045,2025-12-07 16:58:54.380237,2025-12-07 16:58:54.567561,0 days 00:00:00.187324,0.0034433973144168866,none,COMPLETE
99,-0.0016559721242364045,2025-12-07 16:58:54.568571,2025-12-07 16:58:54.767698,0 days 00:00:00.199127,0.0014419354603535303,none,COMPLETE
100,0.00023281483800171218,2025-12-07 16:58:54.768893,2025-12-07 16:58:54.968339,0 days 00:00:00.199446,0.000727556116148912,none,COMPLETE
101,0.0009615353590576673,2025-12-07 16:58:54.969368,2025-12-07 16:58:55.161976,0 days 00:00:00.192608,0.0005879560536923539,none,COMPLETE
102,0.0011224299193741683,2025-12-07 16:58:55.163549,2025-12-07 16:58:55.349265,0 days 00:00:00.185716,0.0005448874413511202,none,COMPLETE
103,-0.003032901507791489,2025-12-07 16:58:55.349265,2025-12-07 16:58:55.550894,0 days 00:00:00.201629,0.00035974957605966636,none,COMPLETE
104,0.0009753172961135537,2025-12-07 16:58:55.550894,2025-12-07 16:58:55.750654,0 days 00:00:00.199760,0.0005843537251776548,none,COMPLETE
105,-0.0016559721242364045,2025-12-07 16:58:55.751944,2025-12-07 16:58:55.943150,0 days 00:00:00.191206,0.001094639511823813,none,COMPLETE
106,-0.0019164252375665585,2025-12-07 16:58:55.944362,2025-12-07 16:58:56.131819,0 days 00:00:00.187457,0.0004050760035682585,none,COMPLETE
107,-0.024239530456007907,2025-12-07 16:58:56.131819,2025-12-07 16:58:56.331732,0 days 00:00:00.199913,0.0002349677556176439,none,COMPLETE
108,0.001157599377900831,2025-12-07 16:58:56.332738,2025-12-07 16:58:56.506015,0 days 00:00:00.173277,0.0005310892973387421,none,COMPLETE
109,-0.0016559721242364045,2025-12-07 16:58:56.506485,2025-12-07 16:58:56.699871,0 days 00:00:00.193386,0.002402367255704575,none,COMPLETE
110,-0.08675309455165052,2025-12-07 16:58:56.699871,2025-12-07 16:58:56.896807,0 days 00:00:00.196936,0.00014964727964044504,none,COMPLETE
111,0.0008835649561866887,2025-12-07 16:58:56.897318,2025-12-07 16:58:56.987484,0 days 00:00:00.090166,0.000512002462208711,none,COMPLETE
112,0.0011557230457033274,2025-12-07 16:58:56.988492,2025-12-07 16:58:57.185152,0 days 00:00:00.196660,0.0005309330930136914,none,COMPLETE
113,-0.007517681370706741,2025-12-07 16:58:57.186298,2025-12-07 16:58:57.369634,0 days 00:00:00.183336,0.0003187644026664753,none,COMPLETE
114,-0.0001568354364516559,2025-12-07 16:58:57.370515,2025-12-07 16:58:57.568608,0 days 00:00:00.198093,0.000776978759769313,none,COMPLETE
115,-0.0016559721242364045,2025-12-07 16:58:57.569887,2025-12-07 16:58:57.772347,0 days 00:00:00.202460,0.0010338524853650112,none,COMPLETE
116,-0.0012426232234292733,2025-12-07 16:58:57.774143,2025-12-07 16:58:57.958901,0 days 00:00:00.184758,0.0004221314795763675,none,COMPLETE
117,0.0010876291273748488,2025-12-07 16:58:57.958901,2025-12-07 16:58:58.151029,0 days 00:00:00.192128,0.0005256470582516814,none,COMPLETE
118,-0.04263030739944407,2025-12-07 16:58:58.152758,2025-12-07 16:58:58.348728,0 days 00:00:00.195970,0.00020301714408345117,none,COMPLETE
119,-0.009304800265616234,2025-12-07 16:58:58.350129,2025-12-07 16:58:58.550904,0 days 00:00:00.200775,0.00030679191734419686,none,COMPLETE
120,-0.0016559721242364045,2025-12-07 16:58:58.552613,2025-12-07 16:58:58.740770,0 days 00:00:00.188157,0.001540613850952475,none,COMPLETE
121,0.0010793634564047287,2025-12-07 16:58:58.740770,2025-12-07 16:58:58.929713,0 days 00:00:00.188943,0.0005542708275071418,none,COMPLETE
122,0.0011375127097104458,2025-12-07 16:58:58.930900,2025-12-07 16:58:59.114418,0 days 00:00:00.183518,0.0005294622353763732,none,COMPLETE
123,-0.00038408121068692996,2025-12-07 16:58:59.114418,2025-12-07 16:58:59.317343,0 days 00:00:00.202925,0.0008092513379928936,none,COMPLETE
124,-0.002279253259253563,2025-12-07 16:58:59.319270,2025-12-07 16:58:59.503988,0 days 00:00:00.184718,0.0003863422954942719,none,COMPLETE
125,-0.000758022090195117,2025-12-07 16:58:59.505899,2025-12-07 16:58:59.691596,0 days 00:00:00.185697,0.0004363282368902274,none,COMPLETE
126,0.0009878508166509814,2025-12-07 16:58:59.693335,2025-12-07 16:58:59.772015,0 days 00:00:00.078680,0.0005186493574639049,none,COMPLETE
127,-0.01466922200412831,2025-12-07 16:58:59.773019,2025-12-07 16:58:59.970384,0 days 00:00:00.197365,0.0002753791294104796,none,COMPLETE
128,-0.0001572773931064475,2025-12-07 16:58:59.970907,2025-12-07 16:59:00.167380,0 days 00:00:00.196473,0.0007770443831154785,none,COMPLETE
129,-0.0016559721242364045,2025-12-07 16:59:00.168890,2025-12-07 16:59:00.365076,0 days 00:00:00.196186,0.0010276138267196731,none,COMPLETE
