number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
87,-6204.602069496456,2025-12-07 16:51:15.871988,2025-12-07 16:51:18.105059,0 days 00:00:02.233071,711.5147962277687,extensive,COMPLETE
88,-4738.74237375397,2025-12-07 16:51:18.106063,2025-12-07 16:51:20.322770,0 days 00:00:02.216707,964.7495875520185,extensive,COMPLETE
89,-19134.702396582295,2025-12-07 16:51:20.322770,2025-12-07 16:51:22.304691,0 days 00:00:01.981921,254.26233502031283,extensive,COMPLETE
90,-12198.780712035796,2025-12-07 16:51:22.305696,2025-12-07 16:51:24.348332,0 days 00:00:02.042636,371.9085548759099,extensive,COMPLETE
91,-4662.452911430482,2025-12-07 16:51:24.350337,2025-12-07 16:51:26.400516,0 days 00:00:02.050179,983.7658327615118,extensive,COMPLETE
92,-9199.035127492574,2025-12-07 16:51:26.401622,2025-12-07 16:51:28.333653,0 days 00:00:01.932031,480.30077805216484,extensive,COMPLETE
93,-6914.984980911243,2025-12-07 16:51:28.334679,2025-12-07 16:51:30.267235,0 days 00:00:01.932556,635.2204576898281,extensive,COMPLETE
94,-6034.290148141504,2025-12-07 16:51:30.268350,2025-12-07 16:51:32.250293,0 days 00:00:01.981943,733.0972352263931,extensive,COMPLETE
95,-10523.78598213844,2025-12-07 16:51:32.252063,2025-12-07 16:51:34.264947,0 days 00:00:02.012884,424.2649049176461,extensive,COMPLETE
96,-4628.451992634018,2025-12-07 16:51:34.265922,2025-12-07 16:51:36.405002,0 days 00:00:02.139080,992.512129354609,extensive,COMPLETE
97,-30564.566254536374,2025-12-07 16:51:36.406007,2025-12-07 16:51:38.440871,0 days 00:00:02.034864,174.67918978310303,extensive,COMPLETE
98,-27330679.694243807,2025-12-07 16:51:38.441874,2025-12-07 16:51:40.368718,0 days 00:00:01.926844,0.1498386150589921,extensive,COMPLETE
99,-66653.43223061679,2025-12-07 16:51:40.369857,2025-12-07 16:51:42.507463,0 days 00:00:02.137606,94.38719222279961,extensive,COMPLETE
100,-13900.059348925823,2025-12-07 16:51:42.508121,2025-12-07 16:51:44.559777,0 days 00:00:02.051656,332.117079858465,extensive,COMPLETE
