number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
34,-0.0016559720935109083,2025-12-07 18:10:03.468760,2025-12-07 18:10:04.253729,0 days 00:00:00.784969,0.9959782326816241,0.02627380007448027,11,60,2768,84,4.2926257653250195,12.537298741977489,0.6640253143746593,none,COMPLETE
35,-0.0016559720935109083,2025-12-07 18:10:04.253729,2025-12-07 18:10:05.196058,0 days 00:00:00.942329,0.6116462939260536,0.005435502790616668,12,49,3721,90,4.697886931795921,1.9295270537626195,0.5695450818431336,none,COMPLETE
36,-0.0016559720935109083,2025-12-07 18:10:05.196058,2025-12-07 18:10:05.735213,0 days 00:00:00.539155,0.6628135196886192,0.07787656004338056,10,68,1568,104,3.7467653789731576,13.132952391315461,0.6241854900792527,none,COMPLETE
37,-0.0016559720935109083,2025-12-07 18:10:05.735213,2025-12-07 18:10:06.416941,0 days 00:00:00.681728,0.5482928606810181,0.018738531453799834,3,21,2249,77,4.153221048375173,3.3083326455184547,0.534790250755425,none,COMPLETE
38,-0.0016559720935109083,2025-12-07 18:10:06.416941,2025-12-07 18:10:07.201819,0 days 00:00:00.784878,0.6638521091848306,0.04317171178318846,6,93,3078,85,3.099055906370385,1.500393359411223,0.6779914611744576,none,COMPLETE
39,-0.0016559720935109083,2025-12-07 18:10:07.201819,2025-12-07 18:10:07.498305,0 days 00:00:00.296486,0.5310990238874808,0.008063905563268556,8,85,414,111,4.586313284233049,0.32742508553016625,0.780955241071822,none,COMPLETE
40,-0.0016559720935109083,2025-12-07 18:10:07.498305,2025-12-07 18:10:08.201605,0 days 00:00:00.703300,0.6215401964115316,0.01041241965990479,4,74,2551,67,2.547477679199923,1.036789579086209,0.6480931339819158,none,COMPLETE
41,-0.0016559720935109083,2025-12-07 18:10:08.201605,2025-12-07 18:10:08.565524,0 days 00:00:00.363919,0.7911369381887071,0.03544700774809905,3,29,803,81,4.557821914470957,0.45906227499214985,0.5929917774437093,none,COMPLETE
42,-0.0016559720935109083,2025-12-07 18:10:08.566529,2025-12-07 18:10:09.004997,0 days 00:00:00.438468,0.7332043137642722,0.02670257014024969,5,36,1083,94,4.400483745427276,0.31650106771447845,0.5390482566911516,none,COMPLETE
43,-0.0016559720935109083,2025-12-07 18:10:09.004997,2025-12-07 18:10:09.282257,0 days 00:00:00.277260,0.8830839626320754,0.049534905876185385,3,50,347,78,3.903302544709977,0.15631108127041704,0.5027732866931287,none,COMPLETE
44,-0.0016559720935109083,2025-12-07 18:10:09.282257,2025-12-07 18:10:09.879823,0 days 00:00:00.597566,0.5766045005497372,0.03933678611171383,4,57,1803,88,3.646190253897607,3.450203638886157,0.6052923136678939,none,COMPLETE
45,-0.0016559720935109083,2025-12-07 18:10:09.879823,2025-12-07 18:10:10.150553,0 days 00:00:00.270730,0.9638038308274861,0.06462577606242959,5,21,219,104,4.721941517866013,2.2792667473932084,0.5719742030743366,none,COMPLETE
46,-0.0016559720935109083,2025-12-07 18:10:10.151060,2025-12-07 18:10:10.524869,0 days 00:00:00.373809,0.7271351998478127,0.08317077307883465,11,43,823,72,4.055498422276247,9.335301266575955,0.7330096492588787,none,COMPLETE
47,-0.0016559720935109083,2025-12-07 18:10:10.524869,2025-12-07 18:10:10.845382,0 days 00:00:00.320513,0.7724471834836292,0.053423722331752604,9,65,555,121,4.981430162211413,0.5634111297811232,0.6333535419768315,none,COMPLETE
48,-0.0016559720935109083,2025-12-07 18:10:10.845382,2025-12-07 18:10:11.279384,0 days 00:00:00.434002,0.6442386222343184,0.020492428877168206,6,100,1079,84,1.7094669090955028,0.36627116546841143,0.5619845915931688,none,COMPLETE
