number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
44,-0.0016559720935109083,2025-12-07 18:12:40.392170,2025-12-07 18:12:41.066853,0 days 00:00:00.674683,0.5766045005497372,0.03933678611171383,4,57,1803,88,3.646190253897607,3.450203638886157,0.6052923136678939,simple,COMPLETE
45,-0.0016559720935109083,2025-12-07 18:12:41.067876,2025-12-07 18:12:41.356338,0 days 00:00:00.288462,0.9638038308274861,0.06462577606242959,5,21,219,104,4.721941517866013,2.2792667473932084,0.5719742030743366,simple,COMPLETE
46,-0.0016559720935109083,2025-12-07 18:12:41.356338,2025-12-07 18:12:41.753273,0 days 00:00:00.396935,0.7271351998478127,0.08317077307883465,11,43,823,72,4.055498422276247,9.335301266575955,0.7330096492588787,simple,COMPLETE
47,-0.0016559720935109083,2025-12-07 18:12:41.754288,2025-12-07 18:12:42.118253,0 days 00:00:00.363965,0.7724471834836292,0.053423722331752604,9,65,555,121,4.981430162211413,0.5634111297811232,0.6333535419768315,simple,COMPLETE
48,-0.0016559720935109083,2025-12-07 18:12:42.119299,2025-12-07 18:12:42.611613,0 days 00:00:00.492314,0.6442386222343184,0.020492428877168206,6,100,1079,84,1.7094669090955028,0.36627116546841143,0.5619845915931688,simple,COMPLETE
49,-0.0016559720935109083,2025-12-07 18:12:42.611613,2025-12-07 18:12:43.198858,0 days 00:00:00.587245,0.8097961898349167,0.01369462685029199,3,71,1513,93,2.935366265393596,1.08501145812366,0.8932453914900429,simple,COMPLETE
50,-0.00644030327255433,2025-12-07 18:12:43.198858,2025-12-07 18:12:44.108699,0 days 00:00:00.909841,0.5979782021764901,0.006879287720917479,7,25,387,97,0.4184863050130976,0.731607654798776,0.7155981420913947,simple,COMPLETE
51,-0.0016559720935109083,2025-12-07 18:12:44.110254,2025-12-07 18:12:45.242198,0 days 00:00:01.131944,0.6772690925619471,0.0161399394658716,4,81,3798,115,4.308101199011924,13.12481142658571,0.5840897155159517,simple,COMPLETE
52,-0.0016559720935109083,2025-12-07 18:12:45.242198,2025-12-07 18:12:46.324780,0 days 00:00:01.082582,0.862458044076365,0.024678020094433428,6,63,3395,111,4.669994277836184,5.747716211357568,0.6203139623546223,simple,COMPLETE
53,-0.0016559720935109083,2025-12-07 18:12:46.324780,2025-12-07 18:12:47.261178,0 days 00:00:00.936398,0.5416737417215535,0.032796961241385196,12,53,3009,108,4.449346853019722,8.967998890865038,0.655236353748585,simple,COMPLETE
54,-0.0016559720935109083,2025-12-07 18:12:47.261178,2025-12-07 18:12:48.236713,0 days 00:00:00.975535,0.5132671038313701,0.043655117428605894,7,78,3269,102,4.163803238397404,1.2651100447731587,0.9978633836110258,simple,COMPLETE
55,-0.0016559720935109083,2025-12-07 18:12:48.236713,2025-12-07 18:12:49.016066,0 days 00:00:00.779353,0.830512374493261,0.06616943110767484,8,15,2333,101,4.989951525471076,2.7890229203700936,0.5192479651461765,simple,COMPLETE
56,-0.003149222320923147,2025-12-07 18:12:49.016066,2025-12-07 18:12:50.114932,0 days 00:00:01.098866,0.7177729064060997,0.028821041094817455,4,58,3631,105,1.0763539317644302,15.72025621786476,0.5455353039198174,simple,COMPLETE
57,-0.0016559720935109083,2025-12-07 18:12:50.114932,2025-12-07 18:12:50.500541,0 days 00:00:00.385609,0.7533197939045091,0.02334079667153544,5,47,661,90,3.876885663748681,3.7638499282795923,0.6051391532159388,simple,COMPLETE
58,-0.0016559720935109083,2025-12-07 18:12:50.500541,2025-12-07 18:12:51.322510,0 days 00:00:00.821969,0.6141563066863132,0.021625471287157368,9,72,2599,118,3.55557125185424,6.821101919946466,0.5508029730305676,simple,COMPLETE
59,-0.0016559720935109083,2025-12-07 18:12:51.322510,2025-12-07 18:12:51.731010,0 days 00:00:00.408500,0.5828736594459603,0.05686034326981968,10,41,782,115,2.1585108268426274,1.6687766451669614,0.6305437504229675,simple,COMPLETE
60,-0.0016559720935109083,2025-12-07 18:12:51.732016,2025-12-07 18:12:52.620006,0 days 00:00:00.887990,0.6795940488530648,0.09063846463307286,3,94,2831,86,4.466949474685451,2.2557272980960277,0.8276187906573655,simple,COMPLETE
61,-0.0016559720935109083,2025-12-07 18:12:52.620006,2025-12-07 18:12:53.746937,0 days 00:00:01.126931,0.5513094515367729,0.03844964876382745,5,12,3950,82,4.780430230460684,0.2265092943524089,0.9208388095985653,simple,COMPLETE
62,-0.0016559720935109083,2025-12-07 18:12:53.746937,2025-12-07 18:12:54.848828,0 days 00:00:01.101891,0.5003389489367763,0.026794172648373932,6,31,3841,89,3.345035439420365,0.14090376055375572,0.7716585065365653,simple,COMPLETE
63,-0.0016559720935109083,2025-12-07 18:12:54.850835,2025-12-07 18:12:55.204559,0 days 00:00:00.353724,0.5290335799043686,0.017272249304640316,5,21,520,79,4.267796615232804,0.2662165409878812,0.949238564671869,simple,COMPLETE
64,-0.0016559720935109083,2025-12-07 18:12:55.204559,2025-12-07 18:12:56.198658,0 days 00:00:00.994099,0.5747692586815765,0.013863978985075062,4,25,3426,94,3.954349932047275,10.69973939379672,0.8400270478326187,simple,COMPLETE
65,-0.0016559720935109083,2025-12-07 18:12:56.200164,2025-12-07 18:12:56.731290,0 days 00:00:00.531126,0.6395612321858954,0.03171913295692835,6,66,1236,99,4.621205533961311,0.4027175841889908,0.5794687549827932,simple,COMPLETE
66,-0.001655063385963181,2025-12-07 18:12:56.731290,2025-12-07 18:12:57.812347,0 days 00:00:01.081057,0.5631568503856205,0.02918366089263474,4,34,3533,91,1.4998271915122168,0.26730160127766023,0.6105734384489709,simple,COMPLETE
67,-0.0016617672595777104,2025-12-07 18:12:57.812347,2025-12-07 18:12:58.928482,0 days 00:00:01.116135,0.560058455391268,0.03395377936260844,4,33,3667,92,1.4729479572962711,0.5806460875479029,0.6028136631144507,simple,COMPLETE
68,-0.0016559720935109083,2025-12-07 18:12:58.928482,2025-12-07 18:13:00.035690,0 days 00:00:01.107208,0.9341999285468743,0.02909497887905755,3,61,3507,96,1.8282684180016502,0.18651211237641618,0.6208259534935293,simple,COMPLETE
69,-0.0017439230175206137,2025-12-07 18:13:00.037197,2025-12-07 18:13:00.827438,0 days 00:00:00.790241,0.5980063914909364,0.04663686290760369,4,46,1913,87,1.3503026757148582,0.8663494333996555,0.6655439017371831,simple,COMPLETE
70,-0.0032537004014293602,2025-12-07 18:13:00.827438,2025-12-07 18:13:01.935908,0 days 00:00:01.108470,0.6123175552012725,0.021561497551447338,3,38,3238,112,0.9973232792059858,4.21389253140823,0.5610179347038582,simple,COMPLETE
71,-0.0016559720935109083,2025-12-07 18:13:01.936964,2025-12-07 18:13:03.069798,0 days 00:00:01.132834,0.5223737888410052,0.025344242166446426,5,23,3876,91,4.817253111170186,0.2817317237419408,0.68656641209474,simple,COMPLETE
72,-0.004303602229621339,2025-12-07 18:13:03.070703,2025-12-07 18:13:04.151150,0 days 00:00:01.080447,0.5434957638388951,0.04052670633452754,4,17,3530,85,0.7753131867374523,0.13687514611914325,0.5865038174847432,simple,COMPLETE
73,-0.0016559720935109083,2025-12-07 18:13:04.151150,2025-12-07 18:13:05.230612,0 days 00:00:01.079462,0.5844113440790991,0.03682426225772519,5,51,3674,74,4.161432110697081,0.20341303991484186,0.6446054441468154,simple,COMPLETE
74,-0.001656024347709062,2025-12-07 18:13:05.230612,2025-12-07 18:13:06.347128,0 days 00:00:01.116516,0.5678505757181938,0.027783018845413284,3,29,3776,89,1.491288794826632,0.2907193143891767,0.8566039101042551,simple,COMPLETE
75,-0.0016559720935109083,2025-12-07 18:13:06.350960,2025-12-07 18:13:07.459949,0 days 00:00:01.108989,0.5349574877872889,0.020474286295897867,4,55,3981,82,2.3179142547283327,0.3671097969458333,0.6127654712639655,simple,COMPLETE
76,-0.0016559720935109083,2025-12-07 18:13:07.459949,2025-12-07 18:13:07.793425,0 days 00:00:00.333476,0.7672037007298028,0.030695828457609188,5,85,305,80,3.7085945754126106,0.24734990215055924,0.5282256996951868,simple,COMPLETE
77,-0.0016559720935109083,2025-12-07 18:13:07.793425,2025-12-07 18:13:08.085190,0 days 00:00:00.291765,0.7997749513540573,0.023690778688915903,11,59,210,106,4.384984048019464,16.675442336922877,0.7960819059389188,simple,COMPLETE
78,-0.0016559720935109083,2025-12-07 18:13:08.085190,2025-12-07 18:13:08.522121,0 days 00:00:00.436931,0.5180032017708845,0.09729524939604771,3,18,939,83,2.7765768630572683,0.105518957283943,0.5952806615089621,simple,COMPLETE
79,-0.0016559720935109083,2025-12-07 18:13:08.522121,2025-12-07 18:13:09.454606,0 days 00:00:00.932485,0.6513259219318192,0.010368802113423458,6,11,2995,94,4.862657248754029,10.474342763643905,0.5721145247037055,simple,COMPLETE
80,-0.0016559720935109083,2025-12-07 18:13:09.454606,2025-12-07 18:13:09.811648,0 days 00:00:00.357042,0.5532407239804071,0.03534278953418582,8,69,453,87,3.1590143399821966,1.432227217201291,0.5477259150633677,simple,COMPLETE
81,-0.0016559720935109083,2025-12-07 18:13:09.811648,2025-12-07 18:13:10.669793,0 days 00:00:00.858145,0.9068315909660547,0.005243927067830047,7,34,2653,98,4.247444046294607,1.8610269638310253,0.6371307147270013,simple,COMPLETE
82,-0.0016559720935109083,2025-12-07 18:13:10.669793,2025-12-07 18:13:11.768804,0 days 00:00:01.099011,0.9974574435153077,0.006822731209772173,6,38,3230,108,4.553259497628664,0.543275469880939,0.6572423890721263,simple,COMPLETE
83,-0.0016559720935109083,2025-12-07 18:13:11.769114,2025-12-07 18:13:12.598780,0 days 00:00:00.829666,0.852215099172673,0.0060528179371790915,7,43,2424,109,4.012519974286868,1.2564178505762982,0.7046518985037608,simple,COMPLETE
84,-0.0016559720935109083,2025-12-07 18:13:12.598780,2025-12-07 18:13:13.401861,0 days 00:00:00.803081,0.9333801393512602,0.0057767990908467815,5,27,2140,104,4.670571884805503,2.5157702466133482,0.6747863822438435,simple,COMPLETE
85,-0.0016559720935109083,2025-12-07 18:13:13.401861,2025-12-07 18:13:14.297570,0 days 00:00:00.895709,0.5933776687256224,0.04710463431501334,6,56,2747,102,4.3638979602425225,0.8562346049593985,0.6006351194740744,simple,COMPLETE
86,-0.0016559720935109083,2025-12-07 18:13:14.298239,2025-12-07 18:13:14.883624,0 days 00:00:00.585385,0.628370362146812,0.07965168971536209,4,62,1613,91,4.525024208150858,8.107578718142154,0.7233907641350905,simple,COMPLETE
87,-0.06862208743634812,2025-12-07 18:13:14.885627,2025-12-07 18:13:16.527509,0 days 00:00:01.641882,0.9652832295120185,0.05406386869980035,10,97,3579,95,0.2511705380957707,0.31788119205176346,0.6246375738440261,simple,COMPLETE
88,-0.0016559720935109083,2025-12-07 18:13:16.527509,2025-12-07 18:13:18.343721,0 days 00:00:01.816212,0.7121855795984087,0.07222276830870127,12,47,3884,113,3.8373840893516724,0.4462262407021119,0.563876812042686,simple,COMPLETE
89,-0.0016559720935109083,2025-12-07 18:13:18.345729,2025-12-07 18:13:19.517427,0 days 00:00:01.171698,0.8723331273737476,0.0063597348724430715,3,40,3739,100,1.9846317136902307,0.34880070568387295,0.5016504483784128,simple,COMPLETE
