number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
70,-27.39197360030307,2025-12-07 15:40:49.157707,2025-12-07 15:40:49.389701,0 days 00:00:00.231994,simple,COMPLETE
71,-27.39197360030307,2025-12-07 15:40:49.389701,2025-12-07 15:40:49.622487,0 days 00:00:00.232786,simple,COMPLETE
72,-27.39197360030307,2025-12-07 15:40:49.622487,2025-12-07 15:40:49.856276,0 days 00:00:00.233789,simple,COMPLETE
73,-27.39197360030307,2025-12-07 15:40:49.856276,2025-12-07 15:40:50.088995,0 days 00:00:00.232719,simple,COMPLETE
74,-27.39197360030307,2025-12-07 15:40:50.088995,2025-12-07 15:40:50.323652,0 days 00:00:00.234657,simple,COMPLETE
75,-27.39197360030307,2025-12-07 15:40:50.323652,2025-12-07 15:40:50.557153,0 days 00:00:00.233501,simple,COMPLETE
76,-27.39197360030307,2025-12-07 15:40:50.557153,2025-12-07 15:40:50.790472,0 days 00:00:00.233319,simple,COMPLETE
77,-27.39197360030307,2025-12-07 15:40:50.790472,2025-12-07 15:40:51.024210,0 days 00:00:00.233738,simple,COMPLETE
78,-27.39197360030307,2025-12-07 15:40:51.024210,2025-12-07 15:40:51.257373,0 days 00:00:00.233163,simple,COMPLETE
79,-27.39197360030307,2025-12-07 15:40:51.257373,2025-12-07 15:40:51.489913,0 days 00:00:00.232540,simple,COMPLETE
80,-27.39197360030307,2025-12-07 15:40:51.489913,2025-12-07 15:40:51.723890,0 days 00:00:00.233977,simple,COMPLETE
81,-27.39197360030307,2025-12-07 15:40:51.723890,2025-12-07 15:40:51.957727,0 days 00:00:00.233837,simple,COMPLETE
82,-27.39197360030307,2025-12-07 15:40:51.957727,2025-12-07 15:40:52.189458,0 days 00:00:00.231731,simple,COMPLETE
83,-27.39197360030307,2025-12-07 15:40:52.189458,2025-12-07 15:40:52.423657,0 days 00:00:00.234199,simple,COMPLETE
84,-27.39197360030307,2025-12-07 15:40:52.423657,2025-12-07 15:40:52.672941,0 days 00:00:00.249284,simple,COMPLETE
85,-27.39197360030307,2025-12-07 15:40:52.672941,2025-12-07 15:40:52.906764,0 days 00:00:00.233823,simple,COMPLETE
86,-27.39197360030307,2025-12-07 15:40:52.906764,2025-12-07 15:40:53.141292,0 days 00:00:00.234528,simple,COMPLETE
87,-27.39197360030307,2025-12-07 15:40:53.141292,2025-12-07 15:40:53.373550,0 days 00:00:00.232258,simple,COMPLETE
88,-27.39197360030307,2025-12-07 15:40:53.373550,2025-12-07 15:40:53.605877,0 days 00:00:00.232327,simple,COMPLETE
89,-27.39197360030307,2025-12-07 15:40:53.607552,2025-12-07 15:40:53.838840,0 days 00:00:00.231288,simple,COMPLETE
90,-27.39197360030307,2025-12-07 15:40:53.838840,2025-12-07 15:40:54.056867,0 days 00:00:00.218027,simple,COMPLETE
91,-27.39197360030307,2025-12-07 15:40:54.056867,2025-12-07 15:40:54.291802,0 days 00:00:00.234935,simple,COMPLETE
92,-27.39197360030307,2025-12-07 15:40:54.291802,2025-12-07 15:40:54.523919,0 days 00:00:00.232117,simple,COMPLETE
93,-27.39197360030307,2025-12-07 15:40:54.523919,2025-12-07 15:40:54.755183,0 days 00:00:00.231264,simple,COMPLETE
94,-27.39197360030307,2025-12-07 15:40:54.755183,2025-12-07 15:40:54.973331,0 days 00:00:00.218148,simple,COMPLETE
95,-27.39197360030307,2025-12-07 15:40:54.973331,2025-12-07 15:40:55.207255,0 days 00:00:00.233924,simple,COMPLETE
96,-27.39197360030307,2025-12-07 15:40:55.207255,2025-12-07 15:40:55.438496,0 days 00:00:00.231241,simple,COMPLETE
97,-27.39197360030307,2025-12-07 15:40:55.438496,2025-12-07 15:40:55.672875,0 days 00:00:00.234379,simple,COMPLETE
98,-27.39197360030307,2025-12-07 15:40:55.672875,2025-12-07 15:40:55.906444,0 days 00:00:00.233569,simple,COMPLETE
99,-27.39197360030307,2025-12-07 15:40:55.906444,2025-12-07 15:40:56.140005,0 days 00:00:00.233561,simple,COMPLETE
100,-27.39197360030307,2025-12-07 15:40:56.140005,2025-12-07 15:40:56.373865,0 days 00:00:00.233860,simple,COMPLETE
