number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
140,-0.0016559720935109083,2025-12-07 18:16:57.709662,2025-12-07 18:16:58.711347,0 days 00:00:01.001685,0.701061720972482,0.02647996074118698,6,92,2495,114,4.713700157569653,0.10163057204627157,0.584556877038189,simple2,COMPLETE
141,-0.0016559720935109083,2025-12-07 18:16:58.711347,2025-12-07 18:16:59.228884,0 days 00:00:00.517537,0.9230968270152915,0.04852615048542687,9,63,650,104,3.061423608664317,0.968501026575043,0.5990186525564309,simple2,COMPLETE
142,-0.0016559720935109083,2025-12-07 18:16:59.228884,2025-12-07 18:16:59.682495,0 days 00:00:00.453611,0.9587954599227003,0.05313376977308115,10,15,486,92,4.154906377557442,0.7021406983285855,0.6403998401627348,simple2,COMPLETE
143,-0.0016559720935109083,2025-12-07 18:16:59.682495,2025-12-07 18:17:00.101901,0 days 00:00:00.419406,0.9107175703318422,0.005621402326061121,9,10,374,88,2.811171471771381,0.8551774396841367,0.6078688634574444,simple2,COMPLETE
144,-0.0016559720935109083,2025-12-07 18:17:00.101901,2025-12-07 18:17:00.590205,0 days 00:00:00.488304,0.7889380584552851,0.05838159411336863,9,13,607,90,2.6452207931603815,1.01399809867403,0.5030494299129338,simple2,COMPLETE
145,-0.0016559720935109083,2025-12-07 18:17:00.591712,2025-12-07 18:17:01.425627,0 days 00:00:00.833915,0.9749412379474233,0.04158879572134348,9,17,1682,94,3.2269335715431757,0.24602195076855057,0.9102113600495783,simple2,COMPLETE
146,-0.0016559720935109083,2025-12-07 18:17:01.425627,2025-12-07 18:17:01.847453,0 days 00:00:00.421826,0.8386818427547166,0.006117991848393764,8,19,322,100,3.5136492069152854,0.4038500176993027,0.6257630279161872,simple2,COMPLETE
147,-0.0016559720935109083,2025-12-07 18:17:01.847453,2025-12-07 18:17:03.056042,0 days 00:00:01.208589,0.9497309814806197,0.07262046033565364,8,21,2947,110,4.490338565724479,1.0990903038459996,0.6165845650437087,simple2,COMPLETE
148,-0.0016559720935109083,2025-12-07 18:17:03.058086,2025-12-07 18:17:04.153341,0 days 00:00:01.095255,0.877735215262533,0.010106840337092882,12,46,2761,89,2.4597452175977472,0.2856311552747567,0.548582676843437,simple2,COMPLETE
149,-0.0016559720935109083,2025-12-07 18:17:04.153341,2025-12-07 18:17:05.387770,0 days 00:00:01.234429,0.8199289059127213,0.007635824120655994,10,27,3342,102,1.4796189170761216,0.4685421226515572,0.5295254648558843,simple2,COMPLETE
150,-0.0016559720935109083,2025-12-07 18:17:05.387770,2025-12-07 18:17:06.299993,0 days 00:00:00.912223,0.7420274867818938,0.0646918567751627,12,54,2290,92,4.85248671366902,0.3594934039927178,0.6520595309410806,simple2,COMPLETE
151,-0.0016559720935109083,2025-12-07 18:17:06.299993,2025-12-07 18:17:07.274498,0 days 00:00:00.974505,0.5090534030241654,0.0065238704978554775,10,57,2383,83,2.047600638097227,16.640747338513805,0.6649336214611302,simple2,COMPLETE
152,-0.0016559720935109083,2025-12-07 18:17:07.276533,2025-12-07 18:17:08.145308,0 days 00:00:00.868775,0.5220156015369538,0.00687890917651126,11,60,2005,86,1.94070127634608,19.990747736787696,0.687338235559254,simple2,COMPLETE
153,-0.0016559720935109083,2025-12-07 18:17:08.145308,2025-12-07 18:17:09.517487,0 days 00:00:01.372179,0.5642762828504477,0.008677254847611416,11,63,3878,80,2.2238077633449764,13.684420454334932,0.6786291591435972,simple2,COMPLETE
154,-0.0016559720935109083,2025-12-07 18:17:09.517487,2025-12-07 18:17:10.549775,0 days 00:00:01.032288,0.5012073283128534,0.007491574367689499,12,52,2623,78,2.2302950737625933,17.796853058739607,0.7002477258215319,simple2,COMPLETE
155,-0.0016559720935109083,2025-12-07 18:17:10.551794,2025-12-07 18:17:11.113414,0 days 00:00:00.561620,0.598259355307172,0.099556644573216,3,12,838,106,3.3425625243454697,2.130254745199767,0.7219643585498471,simple2,COMPLETE
156,-0.0016559720935109083,2025-12-07 18:17:11.113414,2025-12-07 18:17:11.584069,0 days 00:00:00.470655,0.5826339024033926,0.05509097408426831,11,60,484,76,2.3495052504059757,5.531048217966532,0.5890551599032098,simple2,COMPLETE
157,-0.006443778810620415,2025-12-07 18:17:11.584069,2025-12-07 18:17:13.187891,0 days 00:00:01.603822,0.636760346307171,0.005220293641987958,10,74,1952,85,0.5705185276922973,8.745205559862814,0.7462186687488959,simple2,COMPLETE
158,-0.0016559720935109083,2025-12-07 18:17:13.189933,2025-12-07 18:17:13.856463,0 days 00:00:00.666530,0.6263882141322501,0.02302748136027691,12,30,1254,73,4.421392583391189,14.071957422874512,0.7297718606721237,simple2,COMPLETE
159,-0.0016559720935109083,2025-12-07 18:17:13.856463,2025-12-07 18:17:14.737301,0 days 00:00:00.880838,0.6622336496495463,0.009088832060912187,12,40,2122,70,1.5842551943416412,1.6807664337334836,0.7833527009984742,simple2,COMPLETE
160,-0.0016559720935109083,2025-12-07 18:17:14.737301,2025-12-07 18:17:15.210140,0 days 00:00:00.472839,0.5364261612022824,0.04694098961459273,5,49,549,96,3.929580660075355,11.858021144276377,0.5711571310519143,simple2,COMPLETE
161,-0.0016559720935109083,2025-12-07 18:17:15.210140,2025-12-07 18:17:16.509699,0 days 00:00:01.299559,0.5861195097284753,0.09600082718752065,11,98,3492,123,2.0391313052549345,6.126664954933488,0.9809697283301776,simple2,COMPLETE
162,-0.0016559720935109083,2025-12-07 18:17:16.509699,2025-12-07 18:17:17.110803,0 days 00:00:00.601104,0.5980906878238352,0.09006697327929766,10,93,953,115,1.7815925369768044,4.934843381912439,0.9442016391040591,simple2,COMPLETE
163,-0.0016559720935109083,2025-12-07 18:17:17.110803,2025-12-07 18:17:18.393258,0 days 00:00:01.282455,0.64539015003967,0.08198090889054456,12,95,3703,112,1.6762878302083943,7.175899955534182,0.9618761822595048,simple2,COMPLETE
164,-0.0016559720935109083,2025-12-07 18:17:18.395262,2025-12-07 18:17:19.331831,0 days 00:00:00.936569,0.5737225423003619,0.020118875048127382,3,68,2256,119,3.784413217214832,0.12877264782812095,0.6401729754035572,simple2,COMPLETE
165,-0.0016559720935109083,2025-12-07 18:17:19.331831,2025-12-07 18:17:20.602717,0 days 00:00:01.270886,0.5538999928934871,0.0059895971977676245,7,100,3564,116,1.4004283339050294,9.734583067510783,0.8670943932925481,simple2,COMPLETE
166,-0.0016559720935109083,2025-12-07 18:17:20.602717,2025-12-07 18:17:21.883200,0 days 00:00:01.280483,0.677165439074267,0.011508941134145521,11,65,3250,128,2.970854299000101,1.2435645595905986,0.9281616339280168,simple2,COMPLETE
167,-0.0016559720935109083,2025-12-07 18:17:21.883200,2025-12-07 18:17:23.221839,0 days 00:00:01.338639,0.518536121238202,0.007154004690495744,10,58,3758,109,4.25753825424328,3.7713824662551483,0.6602950885559697,simple2,COMPLETE
168,-0.0016559720935109083,2025-12-07 18:17:23.223342,2025-12-07 18:17:24.334561,0 days 00:00:01.111219,0.5448328841369484,0.07747965276117035,12,23,2853,83,3.1197122835282673,8.153730607512513,0.8139194079264738,simple2,COMPLETE
169,-0.0016559720935109083,2025-12-07 18:17:24.334561,2025-12-07 18:17:24.759899,0 days 00:00:00.425338,0.9967159894522877,0.08651166164739205,6,91,279,88,1.7271096641971684,16.546126834471053,0.6032534251291305,simple2,COMPLETE
170,-0.0016559720935109083,2025-12-07 18:17:24.759899,2025-12-07 18:17:25.245041,0 days 00:00:00.485142,0.9388472754555164,0.043203959934159646,7,62,422,111,4.585926964809965,0.66084708345237,0.9895566872109162,simple2,COMPLETE
171,-0.0016559720935109083,2025-12-07 18:17:25.245041,2025-12-07 18:17:25.859438,0 days 00:00:00.614397,0.6147422767594627,0.07007253901815068,3,86,1036,113,1.5184662415216708,2.4535623239839053,0.5772338747954867,simple2,COMPLETE
172,-0.0016559720935109083,2025-12-07 18:17:25.859438,2025-12-07 18:17:26.513901,0 days 00:00:00.654463,0.5917226491459279,0.09501023062704275,4,79,1163,109,1.6383195476177725,1.8773133374668187,0.5953587285981932,simple2,COMPLETE
173,-0.0016559720935109083,2025-12-07 18:17:26.513901,2025-12-07 18:17:27.059619,0 days 00:00:00.545718,0.6043771960473279,0.03673882459886992,3,89,771,121,4.770323525390304,1.940443183424689,0.5582688303775459,simple2,COMPLETE
