number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
27,-0.0016559720935109083,2025-12-07 18:42:29.379586,2025-12-07 18:42:33.369984,0 days 00:00:03.990398,0.7202432327296192,0.07943745388616107,11,84,1430,103,2.995838663306057,0.1423931953325825,0.761162884743261,advanced,COMPLETE
28,-0.007413717209403425,2025-12-07 18:42:33.370564,2025-12-07 18:42:38.593120,0 days 00:00:05.222556,0.6574781052216495,0.02815618561033593,12,66,1922,109,0.9717006794531449,5.2226235034698085,0.5617394184926987,advanced,COMPLETE
29,-0.0015967666655041974,2025-12-07 18:42:38.594640,2025-12-07 18:42:41.063577,0 days 00:00:02.468937,0.5866727917045693,0.04420400692053112,4,58,517,93,1.4965182156313488,2.4053203451289176,0.6129162605887319,advanced,COMPLETE
30,-0.0016559720935109083,2025-12-07 18:42:41.064291,2025-12-07 18:42:42.999559,0 days 00:00:01.935268,0.5789211019091118,0.04945849917739954,4,51,212,90,2.3076547174924427,2.54629728173647,0.5691926350609694,advanced,COMPLETE
31,-0.0018867480229338707,2025-12-07 18:42:43.001327,2025-12-07 18:42:45.496048,0 days 00:00:02.494721,0.5982676045134744,0.09714054491956199,3,58,536,95,1.3088402350211636,1.5555865652930188,0.6072549730365343,advanced,COMPLETE
32,-0.0015982242298963427,2025-12-07 18:42:45.498023,2025-12-07 18:42:48.652742,0 days 00:00:03.154719,0.5577556945884249,0.07406446307238934,4,70,976,101,1.4659236082008376,2.4137111529433053,0.6601321290045847,advanced,COMPLETE
33,-0.0016559720935109083,2025-12-07 18:42:48.653761,2025-12-07 18:42:50.968562,0 days 00:00:02.314801,0.660769563406926,0.05225067785683946,5,61,490,86,1.8889505458619424,7.436225845235207,0.611540021231892,advanced,COMPLETE
34,-0.009416170749923403,2025-12-07 18:42:50.968562,2025-12-07 18:42:55.436214,0 days 00:00:04.467652,0.6108339824203781,0.00508196730404413,3,43,1288,94,0.8408177174093622,0.4874193992725627,0.5725527395782424,advanced,COMPLETE
35,-0.03512439003598322,2025-12-07 18:42:55.436214,2025-12-07 18:42:58.200691,0 days 00:00:02.764477,0.5136510837209981,0.035393842379858896,6,70,368,97,0.5136724770811113,0.8858950621113109,0.6546677564908338,advanced,COMPLETE
36,-0.0016111543063822193,2025-12-07 18:42:58.200691,2025-12-07 18:43:03.035415,0 days 00:00:04.834724,0.7057072064841013,0.044066569862129125,4,53,1786,82,1.6294273351354338,12.41454964092453,0.5930389349637954,advanced,COMPLETE
