number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
89,-0.0016559721242364045,2025-12-07 17:09:59.988515,2025-12-07 17:10:01.222398,0 days 00:00:01.233883,0.025956326731481266,advanced,COMPLETE
90,-0.0016559721242364045,2025-12-07 17:10:01.222398,2025-12-07 17:10:02.481241,0 days 00:00:01.258843,2.3051836331648867,advanced,COMPLETE
91,-0.0006514227989612061,2025-12-07 17:10:02.481241,2025-12-07 17:10:03.763556,0 days 00:00:01.282315,0.0007616210081534453,advanced,COMPLETE
92,-0.009431836055155185,2025-12-07 17:10:03.765530,2025-12-07 17:10:05.066014,0 days 00:00:01.300484,0.00038864467293742036,advanced,COMPLETE
93,-0.0015602765062262176,2025-12-07 17:10:05.067518,2025-12-07 17:10:06.306838,0 days 00:00:01.239320,0.0010422340501149905,advanced,COMPLETE
94,-0.0003664922619472562,2025-12-07 17:10:06.308685,2025-12-07 17:10:07.604607,0 days 00:00:01.295922,0.0005545355798174198,advanced,COMPLETE
95,-0.12408113594783865,2025-12-07 17:10:07.604607,2025-12-07 17:10:09.004696,0 days 00:00:01.400089,0.00020632246146388844,advanced,COMPLETE
96,-0.03570898150996449,2025-12-07 17:10:09.006086,2025-12-07 17:10:10.575059,0 days 00:00:01.568973,0.00028793659454141363,advanced,COMPLETE
97,-0.0016559721242364045,2025-12-07 17:10:10.575059,2025-12-07 17:10:11.807971,0 days 00:00:01.232912,0.0021928920646720335,advanced,COMPLETE
98,-0.00019760462813204574,2025-12-07 17:10:11.809664,2025-12-07 17:10:13.083188,0 days 00:00:01.273524,0.0006922106334396602,advanced,COMPLETE
99,-0.32061201651114213,2025-12-07 17:10:13.085194,2025-12-07 17:10:15.510538,0 days 00:00:02.425344,0.00014977717625035532,advanced,COMPLETE
100,-0.0016559721242364045,2025-12-07 17:10:15.512545,2025-12-07 17:10:16.763429,0 days 00:00:01.250884,0.004073914075944961,advanced,COMPLETE
101,5.24279480878335e-05,2025-12-07 17:10:16.763429,2025-12-07 17:10:18.098141,0 days 00:00:01.334712,0.0006394672688739031,advanced,COMPLETE
102,-0.0016559721242364045,2025-12-07 17:10:18.098141,2025-12-07 17:10:19.352894,0 days 00:00:01.254753,0.0011166217694653922,advanced,COMPLETE
103,-0.005447675860976053,2025-12-07 17:10:19.353904,2025-12-07 17:10:20.675015,0 days 00:00:01.321111,0.0004143923802337237,advanced,COMPLETE
104,-0.0002951366124671617,2025-12-07 17:10:20.676015,2025-12-07 17:10:22.113781,0 days 00:00:01.437766,0.0005643477684104641,advanced,COMPLETE
105,-0.0016559721242364045,2025-12-07 17:10:22.113781,2025-12-07 17:10:23.427069,0 days 00:00:01.313288,0.0013414101241140174,advanced,COMPLETE
106,-0.023222597660853477,2025-12-07 17:10:23.427069,2025-12-07 17:10:24.966071,0 days 00:00:01.539002,0.00032586441077183276,advanced,COMPLETE
107,-0.0009111001714517583,2025-12-07 17:10:24.966071,2025-12-07 17:10:26.220706,0 days 00:00:01.254635,0.0008291256538364953,advanced,COMPLETE
108,-0.0016949543225035872,2025-12-07 17:10:26.220706,2025-12-07 17:10:27.526592,0 days 00:00:01.305886,0.00046246823719925693,advanced,COMPLETE
109,-3.219749669406783e-05,2025-12-07 17:10:27.526592,2025-12-07 17:10:28.699767,0 days 00:00:01.173175,0.0006653831698883705,advanced,COMPLETE
110,-0.0013073803405147337,2025-12-07 17:10:28.699767,2025-12-07 17:10:29.939835,0 days 00:00:01.240068,0.0009355400941490124,advanced,COMPLETE
111,-0.0016559721242364045,2025-12-07 17:10:29.941843,2025-12-07 17:10:31.225281,0 days 00:00:01.283438,0.0014338082899272725,advanced,COMPLETE
112,-2.7157856288262394e-06,2025-12-07 17:10:31.225281,2025-12-07 17:10:32.367328,0 days 00:00:01.142047,0.000657829876460945,advanced,COMPLETE
113,-7.50101706071445e-05,2025-12-07 17:10:32.367328,2025-12-07 17:10:33.640406,0 days 00:00:01.273078,0.0006103031860621202,advanced,COMPLETE
114,-0.008327764202511615,2025-12-07 17:10:33.642414,2025-12-07 17:10:34.941719,0 days 00:00:01.299305,0.0003945075610222206,advanced,COMPLETE
115,-0.0010057413285933976,2025-12-07 17:10:34.941719,2025-12-07 17:10:36.194774,0 days 00:00:01.253055,0.000849198952956455,advanced,COMPLETE
116,-0.07499643390432535,2025-12-07 17:10:36.196117,2025-12-07 17:10:37.842280,0 days 00:00:01.646163,0.0002336399570370044,advanced,COMPLETE
117,-0.00045688265357513025,2025-12-07 17:10:37.842280,2025-12-07 17:10:39.051146,0 days 00:00:01.208866,0.0005320327219689866,advanced,COMPLETE
118,-0.0016559721242364045,2025-12-07 17:10:39.051146,2025-12-07 17:10:40.302146,0 days 00:00:01.251000,0.0017213617602059041,advanced,COMPLETE
119,-0.0016559721242364045,2025-12-07 17:10:40.302146,2025-12-07 17:10:41.574219,0 days 00:00:01.272073,0.0023721889768812563,advanced,COMPLETE
120,-0.03328897783142337,2025-12-07 17:10:41.574219,2025-12-07 17:10:43.253196,0 days 00:00:01.678977,0.00029410561753131305,advanced,COMPLETE
121,-5.093842418324446e-05,2025-12-07 17:10:43.253196,2025-12-07 17:10:44.535844,0 days 00:00:01.282648,0.0006694892349225322,advanced,COMPLETE
122,-0.0016559721242364045,2025-12-07 17:10:44.537483,2025-12-07 17:10:45.822117,0 days 00:00:01.284634,0.0011109969043990966,advanced,COMPLETE
123,-0.0004927566231973287,2025-12-07 17:10:45.822117,2025-12-07 17:10:47.128801,0 days 00:00:01.306684,0.0007232632528907573,advanced,COMPLETE
124,-0.0014425354112051296,2025-12-07 17:10:47.128801,2025-12-07 17:10:48.411758,0 days 00:00:01.282957,0.0004720981114836548,advanced,COMPLETE
125,-0.0014550807666345496,2025-12-07 17:10:48.413766,2025-12-07 17:10:49.684926,0 days 00:00:01.271160,0.0010000338711984092,advanced,COMPLETE
126,5.106785881444272e-05,2025-12-07 17:10:49.686932,2025-12-07 17:10:50.951122,0 days 00:00:01.264190,0.0006390500441362724,advanced,COMPLETE
127,-0.018387004549778114,2025-12-07 17:10:50.952814,2025-12-07 17:10:52.366742,0 days 00:00:01.413928,0.0003470840707224948,advanced,COMPLETE
128,-0.0002224504664649999,2025-12-07 17:10:52.366742,2025-12-07 17:10:53.618179,0 days 00:00:01.251437,0.000578342770042129,advanced,COMPLETE
129,-0.0016559721242364045,2025-12-07 17:10:53.618179,2025-12-07 17:10:54.857727,0 days 00:00:01.239548,0.0012408417664679721,advanced,COMPLETE
130,-0.0038086558774516797,2025-12-07 17:10:54.859850,2025-12-07 17:10:56.143009,0 days 00:00:01.283159,0.00042862412069817314,advanced,COMPLETE
131,-7.061704501446868e-05,2025-12-07 17:10:56.145017,2025-12-07 17:10:57.412880,0 days 00:00:01.267863,0.0006734104092980752,advanced,COMPLETE
132,-0.0008478897923864803,2025-12-07 17:10:57.414888,2025-12-07 17:10:58.687038,0 days 00:00:01.272150,0.0008166537562294941,advanced,COMPLETE
133,-0.00041287831366776384,2025-12-07 17:10:58.688542,2025-12-07 17:11:00.000667,0 days 00:00:01.312125,0.0005413744831436711,advanced,COMPLETE
134,-0.000307487741877166,2025-12-07 17:11:00.000667,2025-12-07 17:11:01.271558,0 days 00:00:01.270891,0.0007043294595019491,advanced,COMPLETE
135,-0.0013726170696120032,2025-12-07 17:11:01.272763,2025-12-07 17:11:02.498639,0 days 00:00:01.225876,0.0009648812121957364,advanced,COMPLETE
136,-0.016646746238980104,2025-12-07 17:11:02.502828,2025-12-07 17:11:03.832120,0 days 00:00:01.329292,0.0003548942417601818,advanced,COMPLETE
137,-0.0016559721242364045,2025-12-07 17:11:03.834059,2025-12-07 17:11:04.973896,0 days 00:00:01.139837,0.0015302997993513398,advanced,COMPLETE
138,-0.12434249009526195,2025-12-07 17:11:04.973896,2025-12-07 17:11:06.351487,0 days 00:00:01.377591,0.00020620526048585716,advanced,COMPLETE
139,-0.041661136450308556,2025-12-07 17:11:06.351487,2025-12-07 17:11:08.060836,0 days 00:00:01.709349,0.0002748415739742342,advanced,COMPLETE
140,-0.0018541914721793191,2025-12-07 17:11:08.060836,2025-12-07 17:11:09.366692,0 days 00:00:01.305856,0.00045681370203084045,advanced,COMPLETE
141,-2.0101326678401144e-05,2025-12-07 17:11:09.366692,2025-12-07 17:11:10.649226,0 days 00:00:01.282534,0.0006624800859663223,advanced,COMPLETE
142,-3.0572180988711985e-05,2025-12-07 17:11:10.651545,2025-12-07 17:11:11.899706,0 days 00:00:01.248161,0.0006650060480560404,advanced,COMPLETE
143,-0.0006716223129703547,2025-12-07 17:11:11.901180,2025-12-07 17:11:13.157106,0 days 00:00:01.255926,0.000778317820992679,advanced,COMPLETE
144,-0.0016559721242364045,2025-12-07 17:11:13.157632,2025-12-07 17:11:14.397596,0 days 00:00:01.239964,0.001167867588358834,advanced,COMPLETE
145,-0.0011726118009766455,2025-12-07 17:11:14.399605,2025-12-07 17:11:15.636797,0 days 00:00:01.237192,0.0008868882030072105,advanced,COMPLETE
146,-0.00026232762071842775,2025-12-07 17:11:15.638806,2025-12-07 17:11:16.968518,0 days 00:00:01.329712,0.0005690896864706605,advanced,COMPLETE
147,-0.006715659471005646,2025-12-07 17:11:16.968518,2025-12-07 17:11:18.371516,0 days 00:00:01.402998,0.0004047916411446515,advanced,COMPLETE
148,-0.0006586337784700488,2025-12-07 17:11:18.373022,2025-12-07 17:11:19.715173,0 days 00:00:01.342151,0.0005097511351341529,advanced,COMPLETE
149,-0.0014651732608590429,2025-12-07 17:11:19.715173,2025-12-07 17:11:21.002391,0 days 00:00:01.287218,0.0010042033706901914,advanced,COMPLETE
150,-4.4849345170239197e-05,2025-12-07 17:11:21.004367,2025-12-07 17:11:22.302722,0 days 00:00:01.298355,0.0006163682785654928,advanced,COMPLETE
151,5.506087355548287e-05,2025-12-07 17:11:22.302722,2025-12-07 17:11:23.573445,0 days 00:00:01.270723,0.0006418908235701464,advanced,COMPLETE
152,-0.0006878467090005724,2025-12-07 17:11:23.575090,2025-12-07 17:11:24.840396,0 days 00:00:01.265306,0.0007820696617398004,advanced,COMPLETE
153,-0.0016559721242364045,2025-12-07 17:11:24.840865,2025-12-07 17:11:26.087147,0 days 00:00:01.246282,0.04451919744992844,advanced,COMPLETE
154,-0.0016559721242364045,2025-12-07 17:11:26.087147,2025-12-07 17:11:27.352751,0 days 00:00:01.265604,0.001309031082801581,advanced,COMPLETE
155,-0.017720896203387904,2025-12-07 17:11:27.354747,2025-12-07 17:11:28.604084,0 days 00:00:01.249337,0.0003500540443091883,advanced,COMPLETE
156,3.926879348055875e-05,2025-12-07 17:11:28.604084,2025-12-07 17:11:29.875121,0 days 00:00:01.271037,0.0006467775751666979,advanced,COMPLETE
157,-0.0011619995203171103,2025-12-07 17:11:29.880742,2025-12-07 17:11:31.083415,0 days 00:00:01.202673,0.0004835796450642556,advanced,COMPLETE
158,-0.0016559721242364045,2025-12-07 17:11:31.083415,2025-12-07 17:11:32.323896,0 days 00:00:01.240481,0.0018097333483587433,advanced,COMPLETE
159,-0.0015274618483562818,2025-12-07 17:11:32.325115,2025-12-07 17:11:33.640978,0 days 00:00:01.315863,0.0010293578336916533,advanced,COMPLETE
160,-0.0006578167065782367,2025-12-07 17:11:33.641503,2025-12-07 17:11:34.897181,0 days 00:00:01.255678,0.0007715675778059122,advanced,COMPLETE
161,5.155861548863013e-05,2025-12-07 17:11:34.897181,2025-12-07 17:11:36.055564,0 days 00:00:01.158383,0.0006434785049838579,advanced,COMPLETE
162,-0.0004001712752203697,2025-12-07 17:11:36.056185,2025-12-07 17:11:37.339443,0 days 00:00:01.283258,0.0005454817814519106,advanced,COMPLETE
163,-0.0020489593173903162,2025-12-07 17:11:37.339443,2025-12-07 17:11:38.624669,0 days 00:00:01.285226,0.00045097985145149715,advanced,COMPLETE
164,-2.3948287315112005e-05,2025-12-07 17:11:38.626237,2025-12-07 17:11:39.864526,0 days 00:00:01.238289,0.0006210559640596671,advanced,COMPLETE
165,-0.0011127534384837527,2025-12-07 17:11:39.866534,2025-12-07 17:11:41.119683,0 days 00:00:01.253149,0.0008738087721529224,advanced,COMPLETE
166,-0.027494426828392166,2025-12-07 17:11:41.119683,2025-12-07 17:11:42.687054,0 days 00:00:01.567371,0.0003113164497362622,advanced,COMPLETE
167,5.353644220166635e-05,2025-12-07 17:11:42.689060,2025-12-07 17:11:43.989228,0 days 00:00:01.300168,0.0006398132456888377,advanced,COMPLETE
168,-0.0016559721242364045,2025-12-07 17:11:43.989228,2025-12-07 17:11:45.230187,0 days 00:00:01.240959,1.2102885599135218,advanced,COMPLETE
169,-0.0016559721242364045,2025-12-07 17:11:45.230187,2025-12-07 17:11:46.486127,0 days 00:00:01.255940,0.1067023873481789,advanced,COMPLETE
170,-0.006696116638038004,2025-12-07 17:11:46.486127,2025-12-07 17:11:47.786518,0 days 00:00:01.300391,0.000404934593230542,advanced,COMPLETE
171,-0.00015154091546942805,2025-12-07 17:11:47.786518,2025-12-07 17:11:49.040252,0 days 00:00:01.253734,0.0005905501494544743,advanced,COMPLETE
172,-0.0010875224494169,2025-12-07 17:11:49.040252,2025-12-07 17:11:50.292063,0 days 00:00:01.251811,0.0008681555496436601,advanced,COMPLETE
173,3.828436191288809e-05,2025-12-07 17:11:50.292063,2025-12-07 17:11:51.673367,0 days 00:00:01.381304,0.0006352809681870263,advanced,COMPLETE
174,-0.0003400478723191158,2025-12-07 17:11:51.675370,2025-12-07 17:11:53.021410,0 days 00:00:01.346040,0.0005579976368265603,advanced,COMPLETE
175,-0.0016559721242364045,2025-12-07 17:11:53.021410,2025-12-07 17:11:54.324611,0 days 00:00:01.303201,0.001114557884723194,advanced,COMPLETE
