number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
53,-0.0013250610096344762,2025-12-07 17:16:19.151179,2025-12-07 17:16:20.985604,0 days 00:00:01.834425,0.0009436391719495003,extensive,COMPLETE
54,-0.07278513998072038,2025-12-07 17:16:20.985604,2025-12-07 17:16:22.864608,0 days 00:00:01.879004,0.00024016138386702236,extensive,COMPLETE
55,-0.0016559721242364045,2025-12-07 17:16:22.866708,2025-12-07 17:16:24.559498,0 days 00:00:01.692790,0.0013252950453252297,extensive,COMPLETE
56,-0.0016559721242364045,2025-12-07 17:16:24.561007,2025-12-07 17:16:26.177348,0 days 00:00:01.616341,0.0026652713935942074,extensive,COMPLETE
57,-0.00022191030202186232,2025-12-07 17:16:26.179390,2025-12-07 17:16:27.842350,0 days 00:00:01.662960,0.0006950536221481456,extensive,COMPLETE
58,-0.008496218619108578,2025-12-07 17:16:27.842350,2025-12-07 17:16:29.563659,0 days 00:00:01.721309,0.00043563385310059477,extensive,COMPLETE
59,-0.0016559721242364045,2025-12-07 17:16:29.564198,2025-12-07 17:16:31.206697,0 days 00:00:01.642499,0.005554237075440987,extensive,COMPLETE
60,-0.0016559721242364045,2025-12-07 17:16:31.208395,2025-12-07 17:16:32.823051,0 days 00:00:01.614656,0.6750994385978152,extensive,COMPLETE
61,3.896575762189306e-05,2025-12-07 17:16:32.824499,2025-12-07 17:16:34.532624,0 days 00:00:01.708125,0.0006468547822057459,extensive,COMPLETE
62,-0.0016559721242364045,2025-12-07 17:16:34.534838,2025-12-07 17:16:36.196156,0 days 00:00:01.661318,0.0012698322342278693,extensive,COMPLETE
63,-0.2699071815942969,2025-12-07 17:16:36.197908,2025-12-07 17:16:39.020023,0 days 00:00:02.822115,0.00015669827587930582,extensive,COMPLETE
64,-0.02964488479082787,2025-12-07 17:16:39.020023,2025-12-07 17:16:40.739634,0 days 00:00:01.719611,0.000344826988084426,extensive,COMPLETE
65,-0.00043852264032240296,2025-12-07 17:16:40.740639,2025-12-07 17:16:42.390345,0 days 00:00:01.649706,0.000717402258175492,extensive,COMPLETE
66,-0.0016559721242364045,2025-12-07 17:16:42.390345,2025-12-07 17:16:43.898654,0 days 00:00:01.508309,0.0025178135047733722,extensive,COMPLETE
67,-0.05879009056004114,2025-12-07 17:16:43.899654,2025-12-07 17:16:45.840102,0 days 00:00:01.940448,0.00025872293454507297,extensive,COMPLETE
68,-0.0006457552106807393,2025-12-07 17:16:45.842110,2025-12-07 17:16:47.517463,0 days 00:00:01.675353,0.0005605808865815861,extensive,COMPLETE
69,-0.0016559721242364045,2025-12-07 17:16:47.519724,2025-12-07 17:16:49.151451,0 days 00:00:01.631727,0.0017308404457781448,extensive,COMPLETE
70,-0.0016559721242364045,2025-12-07 17:16:49.153459,2025-12-07 17:16:50.656214,0 days 00:00:01.502755,0.01014409889509678,extensive,COMPLETE
71,-0.00019335316619221535,2025-12-07 17:16:50.657207,2025-12-07 17:16:52.318610,0 days 00:00:01.661403,0.0005970443975915699,extensive,COMPLETE
72,-0.001276294741016167,2025-12-07 17:16:52.318610,2025-12-07 17:16:53.951007,0 days 00:00:01.632397,0.0009210146527235384,extensive,COMPLETE
73,-0.01950966108981711,2025-12-07 17:16:53.951007,2025-12-07 17:16:55.654203,0 days 00:00:01.703196,0.00038550048366385874,extensive,COMPLETE
74,-0.0016559721242364045,2025-12-07 17:16:55.656211,2025-12-07 17:16:57.272348,0 days 00:00:01.616137,0.0012631266016656455,extensive,COMPLETE
75,-0.0010416729373711926,2025-12-07 17:16:57.272348,2025-12-07 17:16:58.950878,0 days 00:00:01.678530,0.000535151801249724,extensive,COMPLETE
76,-0.17222193919591663,2025-12-07 17:16:58.953046,2025-12-07 17:17:01.919235,0 days 00:00:02.966189,0.00018803414792031243,extensive,COMPLETE
77,-0.04830721311834788,2025-12-07 17:17:01.921242,2025-12-07 17:17:03.717455,0 days 00:00:01.796213,0.0002806259685751827,extensive,COMPLETE
78,-0.0006909673391090424,2025-12-07 17:17:03.719464,2025-12-07 17:17:05.363339,0 days 00:00:01.643875,0.0007827854477333064,extensive,COMPLETE
79,-0.0030932890395731403,2025-12-07 17:17:05.363926,2025-12-07 17:17:07.072451,0 days 00:00:01.708525,0.0004767876263407084,extensive,COMPLETE
80,-0.0016559721242364045,2025-12-07 17:17:07.072451,2025-12-07 17:17:08.704639,0 days 00:00:01.632188,0.16756406438381566,extensive,COMPLETE
81,-0.00044607028663201653,2025-12-07 17:17:08.704639,2025-12-07 17:17:10.368727,0 days 00:00:01.664088,0.0005752486472833993,extensive,COMPLETE
82,-0.0016559721242364045,2025-12-07 17:17:10.370734,2025-12-07 17:17:12.019627,0 days 00:00:01.648893,0.001534312036869071,extensive,COMPLETE
83,-0.0015387109359355684,2025-12-07 17:17:12.021503,2025-12-07 17:17:13.569582,0 days 00:00:01.548079,0.0010337998074721553,extensive,COMPLETE
84,-5.679562380260054e-05,2025-12-07 17:17:13.569582,2025-12-07 17:17:15.209804,0 days 00:00:01.640222,0.0006706932774329518,extensive,COMPLETE
