,feature,coverage,folds_used,frac_folds_r2_pos,r2_train_mean,r2_train_medium,r2_train_std,r2_test_mean,r2_test_medium,r2_te_std,mse_train_mean,mse_train_median,mse_train_std,mse_test_mean,mse_test_median,mse_test_std,mse_improve_vs_baseline_mean,pearson_test_mean,spearman_test_mean
10,y_lag1,1.0,5,0.2,0.002303640247582228,0.0023014690091465173,3.878436841915394e-05,-0.013236856890383498,-0.002112811933103753,0.02024425757564118,0.00011190839616091054,0.00011204712041248267,3.6675613564850165e-07,9.922158270972606e-05,9.295032415662318e-05,7.35364663749462e-05,4.500914508856962e-07,0.08329491936073508,0.10877496159754226
11,D9_lag10,1.0,5,0.4,0.0004112474283247014,0.00040748049290462163,3.3960863587460426e-05,-0.013634501986535796,-0.008531374592868124,0.018638804582452397,0.00011212066608942128,0.00011225963319258503,3.69839565025535e-07,9.929185462326431e-05,9.235509216671101e-05,7.385200204764474e-05,3.79819537347435e-07,0.09263392438238953,0.11424892823369848
12,D3_lag21,1.0,5,0.4,0.00018314108029946486,0.00016162656391793817,4.6115770001895166e-05,-0.014119052351615879,-0.020820378757328895,0.01437532688244145,0.00011214625589556642,0.00011228877416657884,3.71391827227434e-07,9.934228313887489e-05,9.264927620138656e-05,7.399205146869188e-05,3.2939102173684477e-07,0.12185780632749328,0.14264211928300977
13,y_max126,1.0,5,0.4,0.000169549247316203,0.00015909016273274457,2.7577356675142272e-05,-0.014312361148952624,-0.010493637880836015,0.017159371281254398,0.0001121477766234921,0.00011228764940668991,3.6993154276041077e-07,9.93999663769794e-05,9.270029046691951e-05,7.391942306209864e-05,2.717077836323386e-07,0.08582806936889611,0.10837531767062077
14,y_lag5,1.0,5,0.2,0.0006823079865521553,0.0006963776792175969,3.9229720662459606e-05,-0.01490530643324497,-0.009845528536367665,0.017863776374145057,0.00011209027235561559,0.00011222738113847468,3.7361697397177667e-07,9.977148537724627e-05,9.271350511489708e-05,7.468635847635857e-05,-9.98112166345161e-08,0.0695782533783678,0.055117127496159754
15,y_max252,1.0,5,0.4,0.00015148571680780875,0.00014142743340805897,3.0320252406175758e-05,-0.014926378057186728,-0.012537420631622442,0.016979116713301875,0.00011214980239115813,0.00011228970515227614,3.698039459298997e-07,9.940755108617094e-05,9.269973090392532e-05,7.389323534189962e-05,2.641230744408204e-07,0.10728508671112014,0.10837531767062077
16,D8_lag30,1.0,5,0.2,0.00010543583036384251,9.694466414955638e-05,2.8872301535937638e-05,-0.015271110886643147,-0.021571402443548493,0.015535938814339808,0.00011215497292971132,0.00011229581804369757,3.718100316600747e-07,9.946228854030277e-05,9.257200400975219e-05,7.40897738238381e-05,2.0938562030898136e-07,0.10164578293221767,0.1276377436257345
17,D7_lag1,1.0,5,0.2,9.950285382791524e-05,0.00010287629385485886,2.5266438218640207e-05,-0.01542698494747059,-0.018285708639904863,0.01597876171922571,0.00011215564034236083,0.00011229632472941534,3.725358748004244e-07,9.950875415520685e-05,9.252617831103318e-05,7.418365569986687e-05,1.6292000540490313e-07,0.1098756221027005,0.09181996426095772
18,M6_min126,1.0,5,0.0,0.00024198268502462206,0.0002449790993906964,2.0485198883794895e-05,-0.01565737282869022,-0.01341630889559009,0.018567229925255592,0.00011213965684216427,0.00011227807572151437,3.7173308534194506e-07,9.967926757540146e-05,9.284636735368108e-05,7.426635555042532e-05,-7.593414789723476e-09,0.02617537983378653,0.006778377547430511
19,M6_is_missing_max126,1.0,5,0.0,0.0002419778803703032,0.0002449738480007069,2.0483604562801625e-05,-0.015657490734893066,-0.013417035786009501,0.018566922481145786,0.00011213965738107745,0.00011227807631127482,3.717330823000584e-07,9.967926593376861e-05,9.284636394167278e-05,7.426635038174148e-05,-7.591773156863825e-09,-6.651222629052551e-18,
